age(kyr) mean(permil) sigma(permil)
0.000000 3.247460 0.104650
0.100000 3.246811 0.102919
0.200000 3.246648 0.101596
0.300000 3.247240 0.100767
0.400000 3.248516 0.100475
0.500000 3.250345 0.100650
0.600000 3.252511 0.100978
0.700000 3.254380 0.101296
0.800000 3.255327 0.101586
0.900000 3.254900 0.101943
1.000000 3.252782 0.102247
1.100000 3.249452 0.102345
1.200000 3.245210 0.102056
1.300000 3.240693 0.101315
1.400000 3.236253 0.100242
1.500000 3.232636 0.098879
1.600000 3.229594 0.097168
1.700000 3.227327 0.095194
1.800000 3.225531 0.093118
1.900000 3.224244 0.091056
2.000000 3.223186 0.089216
2.100000 3.222246 0.087573
2.200000 3.221201 0.086142
2.300000 3.220006 0.084885
2.400000 3.219092 0.083886
2.500000 3.218369 0.083157
2.600000 3.218131 0.082521
2.700000 3.218362 0.081965
2.800000 3.218977 0.081489
2.900000 3.219626 0.081306
3.000000 3.219967 0.081315
3.100000 3.219653 0.081421
3.200000 3.218704 0.081642
3.300000 3.217349 0.082012
3.400000 3.215474 0.082678
3.500000 3.213201 0.083772
3.600000 3.211017 0.085078
3.700000 3.208956 0.086643
3.800000 3.207017 0.088536
3.900000 3.205678 0.090855
4.000000 3.205277 0.093583
4.100000 3.205797 0.096531
4.200000 3.207268 0.099622
4.300000 3.209792 0.102800
4.400000 3.213133 0.106100
4.500000 3.217158 0.109306
4.600000 3.221391 0.112225
4.700000 3.225775 0.114811
4.800000 3.229981 0.116969
4.900000 3.233842 0.118718
5.000000 3.237517 0.120251
5.100000 3.240796 0.121449
5.200000 3.243771 0.122309
5.300000 3.246166 0.123007
5.400000 3.247829 0.123616
5.500000 3.248437 0.124193
5.600000 3.248167 0.124604
5.700000 3.247034 0.124802
5.800000 3.245796 0.124834
5.900000 3.244418 0.124756
6.000000 3.243392 0.124626
6.100000 3.243201 0.124378
6.200000 3.243453 0.123997
6.300000 3.244124 0.123418
6.400000 3.245783 0.122575
6.500000 3.248463 0.121485
6.600000 3.251595 0.120307
6.700000 3.255471 0.119112
6.800000 3.259799 0.118030
6.900000 3.264458 0.117178
7.000000 3.268824 0.116705
7.100000 3.273021 0.116590
7.200000 3.277466 0.116887
7.300000 3.281881 0.117753
7.400000 3.286095 0.119388
7.500000 3.290121 0.121813
7.600000 3.294098 0.124937
7.700000 3.298242 0.128701
7.800000 3.302826 0.133011
7.900000 3.308235 0.137783
8.000000 3.314919 0.142846
8.100000 3.322730 0.147890
8.200000 3.330997 0.152726
8.300000 3.339968 0.157081
8.400000 3.349680 0.160748
8.500000 3.360030 0.163455
8.600000 3.370682 0.165108
8.700000 3.380962 0.165702
8.800000 3.390837 0.165343
8.900000 3.399596 0.164127
9.000000 3.407132 0.162417
9.100000 3.413548 0.160345
9.200000 3.419601 0.158138
9.300000 3.425018 0.156030
9.400000 3.430082 0.154267
9.500000 3.434859 0.152968
9.600000 3.439657 0.152111
9.700000 3.444343 0.151679
9.800000 3.449089 0.151604
9.900000 3.453953 0.151817
10.000000 3.459411 0.152169
10.100000 3.465245 0.152437
10.200000 3.471992 0.152542
10.300000 3.479685 0.152436
10.400000 3.489008 0.152013
10.500000 3.499508 0.151305
10.600000 3.510946 0.150146
10.700000 3.523398 0.148496
10.800000 3.536747 0.146324
10.900000 3.550593 0.143725
11.000000 3.564642 0.140915
11.100000 3.579116 0.138263
11.200000 3.592969 0.136447
11.300000 3.606464 0.136091
11.400000 3.619645 0.137524
11.500000 3.632865 0.140670
11.600000 3.646291 0.145188
11.700000 3.660898 0.150869
11.800000 3.676665 0.157533
11.900000 3.694663 0.165027
12.000000 3.715315 0.172789
12.100000 3.738401 0.179847
12.200000 3.763873 0.185244
12.300000 3.791659 0.188144
12.400000 3.821085 0.188139
12.500000 3.851613 0.185464
12.600000 3.882085 0.181024
12.700000 3.911387 0.175853
12.800000 3.939226 0.170734
12.900000 3.964530 0.165870
13.000000 3.987077 0.161541
13.100000 4.007177 0.157416
13.200000 4.024931 0.152951
13.300000 4.040257 0.147551
13.400000 4.053578 0.140948
13.500000 4.065172 0.133372
13.600000 4.075787 0.125510
13.700000 4.086148 0.118479
13.800000 4.096531 0.113310
13.900000 4.107257 0.111034
14.000000 4.118864 0.111949
14.100000 4.131686 0.115292
14.200000 4.145823 0.120009
14.300000 4.161527 0.125280
14.400000 4.179009 0.130699
14.500000 4.198268 0.136031
14.600000 4.218510 0.141011
14.700000 4.239724 0.145407
14.800000 4.261908 0.148889
14.900000 4.285063 0.150931
15.000000 4.309242 0.151089
15.100000 4.334351 0.149058
15.200000 4.360547 0.145298
15.300000 4.387782 0.141031
15.400000 4.416430 0.137933
15.500000 4.446237 0.136940
15.600000 4.477421 0.137411
15.700000 4.509518 0.138539
15.800000 4.542047 0.140187
15.900000 4.574591 0.142188
16.000000 4.606463 0.144010
16.100000 4.637272 0.144993
16.200000 4.667143 0.144733
16.300000 4.696593 0.143429
16.400000 4.725556 0.141812
16.500000 4.754043 0.140383
16.600000 4.781854 0.139422
16.700000 4.808589 0.139199
16.800000 4.833435 0.139488
16.900000 4.856217 0.139737
17.000000 4.876980 0.139006
17.100000 4.896166 0.137037
17.200000 4.913315 0.134175
17.300000 4.928729 0.131326
17.400000 4.941994 0.129311
17.500000 4.952820 0.128516
17.600000 4.961709 0.128974
17.700000 4.969696 0.130265
17.800000 4.977236 0.131532
17.900000 4.984489 0.132019
18.000000 4.992184 0.131690
18.100000 5.000564 0.131110
18.200000 5.009374 0.131038
18.300000 5.018262 0.131439
18.400000 5.026749 0.131385
18.500000 5.033899 0.129843
18.600000 5.039476 0.126381
18.700000 5.042776 0.121195
18.800000 5.043325 0.115030
18.900000 5.040910 0.109318
19.000000 5.036301 0.105386
19.100000 5.030370 0.103483
19.200000 5.024153 0.103278
19.300000 5.018340 0.104040
19.400000 5.013958 0.105245
19.500000 5.011191 0.106532
19.600000 5.009472 0.107588
19.700000 5.008614 0.108238
19.800000 5.008604 0.108440
19.900000 5.008507 0.108300
20.000000 5.008085 0.107979
20.100000 5.007522 0.107579
20.200000 5.006587 0.107212
20.300000 5.004919 0.106829
20.400000 5.003093 0.106522
20.500000 5.000911 0.106202
20.600000 4.998264 0.105637
20.700000 4.995371 0.104707
20.800000 4.992368 0.103322
20.900000 4.989042 0.101560
21.000000 4.985500 0.099489
21.100000 4.981984 0.097080
21.200000 4.978312 0.094498
21.300000 4.974692 0.091949
21.400000 4.971040 0.089786
21.500000 4.967363 0.088301
21.600000 4.963495 0.087625
21.700000 4.959574 0.087908
21.800000 4.955259 0.089215
21.900000 4.950188 0.091539
22.000000 4.944189 0.094733
22.100000 4.937330 0.098364
22.200000 4.929741 0.102214
22.300000 4.921487 0.106023
22.400000 4.912593 0.109627
22.500000 4.903272 0.112944
22.600000 4.894097 0.115757
22.700000 4.884681 0.118070
22.800000 4.875042 0.119992
22.900000 4.865534 0.121715
23.000000 4.856418 0.123261
23.100000 4.847358 0.124474
23.200000 4.838606 0.125102
23.300000 4.830623 0.124725
23.400000 4.823695 0.123275
23.500000 4.817770 0.120891
23.600000 4.813376 0.117905
23.700000 4.811056 0.114858
23.800000 4.811259 0.112172
23.900000 4.814564 0.110107
24.000000 4.821109 0.108570
24.100000 4.829661 0.107411
24.200000 4.839421 0.106480
24.300000 4.848986 0.105756
24.400000 4.857087 0.105310
24.500000 4.862814 0.105109
24.600000 4.866067 0.104878
24.700000 4.866854 0.104545
24.800000 4.865487 0.104062
24.900000 4.862461 0.103525
25.000000 4.858568 0.102938
25.100000 4.854367 0.102192
25.200000 4.849979 0.101415
25.300000 4.845901 0.100772
25.400000 4.842133 0.100745
25.500000 4.838307 0.101758
25.600000 4.834281 0.104018
25.700000 4.830488 0.107601
25.800000 4.826928 0.112243
25.900000 4.823877 0.117583
26.000000 4.821611 0.123179
26.100000 4.820344 0.128446
26.200000 4.819626 0.133111
26.300000 4.818824 0.137052
26.400000 4.816898 0.140294
26.500000 4.813211 0.142877
26.600000 4.807649 0.144774
26.700000 4.799707 0.145906
26.800000 4.789750 0.146327
26.900000 4.778066 0.145923
27.000000 4.764940 0.144600
27.100000 4.751256 0.142420
27.200000 4.737803 0.139604
27.300000 4.724801 0.136235
27.400000 4.712807 0.132705
27.500000 4.702819 0.129492
27.600000 4.694303 0.126835
27.700000 4.687508 0.124646
27.800000 4.682399 0.123024
27.900000 4.678565 0.122260
28.000000 4.675660 0.122381
28.100000 4.673081 0.123249
28.200000 4.670679 0.124798
28.300000 4.667812 0.126840
28.400000 4.664353 0.128839
28.500000 4.659247 0.130212
28.600000 4.653105 0.130721
28.700000 4.645520 0.130224
28.800000 4.637478 0.129282
28.900000 4.630011 0.128327
29.000000 4.624154 0.127563
29.100000 4.620362 0.127113
29.200000 4.619356 0.127250
29.300000 4.621095 0.127606
29.400000 4.625773 0.127769
29.500000 4.633047 0.127560
29.600000 4.641458 0.126699
29.700000 4.649978 0.125350
29.800000 4.658013 0.123782
29.900000 4.664088 0.122269
30.000000 4.667760 0.121260
30.100000 4.669103 0.120961
30.200000 4.668236 0.121409
30.300000 4.665475 0.122519
30.400000 4.661474 0.123980
30.500000 4.656783 0.125415
30.600000 4.652229 0.126265
30.700000 4.648489 0.126228
30.800000 4.645451 0.125339
30.900000 4.644075 0.123594
31.000000 4.644250 0.121272
31.100000 4.645978 0.118460
31.200000 4.649060 0.115279
31.300000 4.653454 0.111847
31.400000 4.657442 0.108337
31.500000 4.660766 0.105093
31.600000 4.663094 0.102569
31.700000 4.663629 0.101079
31.800000 4.662190 0.100487
31.900000 4.659060 0.100499
32.000000 4.654425 0.100656
32.100000 4.648637 0.100579
32.200000 4.643073 0.100353
32.300000 4.637903 0.100020
32.400000 4.634475 0.099661
32.500000 4.632949 0.099387
32.600000 4.632883 0.099473
32.700000 4.632993 0.100178
32.800000 4.633230 0.101403
32.900000 4.632316 0.102990
33.000000 4.629807 0.104693
33.100000 4.625774 0.105886
33.200000 4.620603 0.106220
33.300000 4.614505 0.105610
33.400000 4.607545 0.104169
33.500000 4.600215 0.102283
33.600000 4.593013 0.100317
33.700000 4.586215 0.098589
33.800000 4.579671 0.097249
33.900000 4.574177 0.096660
