Age(kyr) mean(permil) sigma(permil)
1.5	2.96	0.09
2	3.02	0.1
2.5	3.03	0.21
3	3.04	0.25
3.5	3.01	0.25
4	3.1	0.37
4.5	3.09	0.38
5	3.26	0.34
5.5	3.3	0.36
6	3.3	0.27
6.5	3.33	0.27
7	3.28	0.31
7.5	3.3	0.03
8	3.33	0.13
8.5	3.35	0.26
9	3.36	0.27
9.5	3.48	0.25
10	3.49	0.35
10.5	3.53	0.34
11	3.49	0.44
11.5	3.63	0.39
12	3.63	0.33
12.5	3.71	0.43
13	3.76	0.4
13.5	3.75	0.42
14	3.88	0.43
14.5	3.94	0.43
15	4.11	0.43
15.5	4.27	0.41
16	4.34	0.25
16.5	4.41	0.3
17	4.49	0.26
17.5	4.51	0.28
18	4.5	0.27
18.5	4.51	0.25
19	4.48	0.26
19.5	4.48	0.24
20	4.44	0.21
20.5	4.43	0.21
21	4.46	0.19
21.5	4.39	0.18
22	4.39	0.17
22.5	4.43	0.16
23	4.42	0.19
23.5	4.42	0.19
24	4.44	0.18
24.5	4.39	0.23
25	4.41	0.22
25.5	4.45	0.23
26	4.43	0.23
26.5	4.43	0.08
27	4.39	0.08
27.5	4.37	0.22
28	4.34	0.21
28.5	4.3	0.21
29	4.29	0.23
29.5	4.25	0.18
30	4.25	0.19
30.5	4.26	0.2
31	4.25	0.2
31.5	4.3	0.21
32	4.25	0.21
32.5	4.29	0.2
33	4.27	0.19
33.5	4.25	0.19
34	4.25	0.18
34.5	4.23	0.17
35	4.22	0.21
35.5	4.2	0.19
36	4.16	0.19
36.5	4.13	0.22
37	4.15	0.19
37.5	4.08	0.23
38	4.07	0.23
38.5	4.04	0.21
39	4.01	0.22
39.5	4.05	0.21
40	4.09	0.2
40.5	4.12	0.21
41	4.12	0.21
41.5	4.11	0.2
42	4.11	0.19
42.5	4.11	0.15
43	4.1	0.17
43.5	4.14	0.15
44	4.11	0.17
44.5	4.1	0.17
45	4.08	0.16
45.5	4.08	0.15
46	4.05	0.17
46.5	3.97	0.25
47	3.98	0.23
47.5	3.97	0.24
48	4.01	0.24
48.5	4.1	0.15
49	4.11	0.16
49.5	4.11	0.16
50	4.11	0.15
50.5	4.09	0.14
51	4.07	0.14
51.5	4.06	0.14
52	4.01	0.17
52.5	3.98	0.18
53	3.91	0.22
53.5	3.88	0.22
54	3.87	0.21
54.5	3.85	0.26
55	3.91	0.24
55.5	3.93	0.23
56	3.9	0.32
56.5	3.94	0.29
57	3.95	0.3
57.5	3.93	0.3
58	3.94	0.2
58.5	3.94	0.14
59	3.84	0.2
59.5	3.79	0.23
60	3.78	0.25
60.5	3.8	0.28
61	3.88	0.25
61.5	3.99	0.24
62	4.11	0.18
62.5	4.11	0.19
63	4.17	0.2
63.5	4.14	0.2
64	4.05	0.24
64.5	4.04	0.26
65	3.96	0.18
65.5	4.02	0.25
66	4.08	0.23
66.5	4.06	0.2
67	4.12	0.21
67.5	4.11	0.18
68	4.09	0.18
68.5	4.13	0.2
69	4.02	0.15
69.5	4.04	0.16
70	4.06	0.16
70.5	4.02	0.14
71	3.8	0.34
71.5	3.79	0.32
72	3.78	0.31
72.5	3.75	0.24
73	3.87	0.22
73.5	3.82	0.2
74	3.79	0.25
74.5	3.85	0.28
75	3.81	0.29
75.5	3.81	0.29
76	3.84	0.3
76.5	3.78	0.3
77	3.73	0.2
77.5	3.79	0.23
78	3.79	0.23
78.5	3.79	0.23
79	3.62	0.23
79.5	3.7	0.3
80	3.61	0.36
80.5	3.63	0.31
81	3.69	0.29
81.5	3.64	0.29
82	3.68	0.26
82.5	3.65	0.21
83	3.62	0.19
83.5	3.6	0.18
84	3.55	0.14
84.5	3.58	0.14
85	3.52	0.15
85.5	3.53	0.17
86	3.61	0.17
86.5	3.59	0.29
87	3.81	0.32
87.5	3.81	0.32
88	3.9	0.24
88.5	3.9	0.24
89	3.73	0.34
89.5	3.76	0.35
90	3.64	0.32
90.5	3.66	0.31
91	3.73	0.26
91.5	3.63	0.15
92	3.73	0.24
92.5	3.71	0.26
93	3.59	0.24
93.5	3.57	0.33
94	3.49	0.17
94.5	3.49	0.17
95	3.52	0.17
95.5	3.52	0.17
96	3.51	0.16
96.5	3.48	0.13
97	3.51	0.14
97.5	3.54	0.14
98	3.46	0.15
98.5	3.47	0.21
99	3.47	0.14
99.5	3.52	0.23
100	3.58	0.21
100.5	3.57	0.17
101	3.55	0.19
101.5	3.51	0.06
102	3.5	0.06
102.5	3.44	0.17
103	3.44	0.21
103.5	3.45	0.19
104	3.49	0.12
104.5	3.52	0.12
105	3.54	0.1
105.5	3.55	0.11
106	3.57	0.1
106.5	3.59	0.11
107	3.6	0.1
107.5	3.54	0.17
108	3.52	0.23
108.5	3.53	0.24
109	3.71	0.25
109.5	3.83	0.25
110	3.76	0.23
110.5	3.73	0.27
111	3.68	0.15
111.5	3.63	0.15
112	3.62	0.18
112.5	3.63	0.23
113	3.64	0.21
113.5	3.62	0.16
114	3.65	0.11
114.5	3.65	0.11
115	3.62	0.09
115.5	3.68	0.31
116	3.68	0.31
116.5	3.66	0.27
117	3.66	0.27
117.5	3.51	0.14
118	3.44	0.14
118.5	3.4	0.18
119	3.36	0.18
119.5	3.35	0.18
120	3.33	0.19
120.5	3.27	0.22
121	3.24	0.21
121.5	3.25	0.22
122	3.22	0.22
122.5	3.28	0.3
123	3.26	0.3
123.5	3.23	0.31
124	3.27	0.36
124.5	3.27	0.38
125	3.25	0.43
125.5	3.27	0.41
126	3.26	0.41
126.5	3.24	0.37
127	3.25	0.34
127.5	3.24	0.29
128	3.28	0.42
128.5	3.29	0.45
129	3.32	0.48
129.5	3.43	0.48
130	3.37	0.45
130.5	3.46	0.46
131	3.51	0.46
131.5	3.57	0.46
132	3.73	0.37
132.5	3.73	0.28
133	3.74	0.28
133.5	3.96	0.29
134	4.13	0.35
134.5	4.21	0.28
135	4.27	0.25
135.5	4.3	0.26
136	4.24	0.23
136.5	4.28	0.27
137	4.2	0.2
137.5	4.17	0.19
138	4.29	0.3
138.5	4.22	0.25
139	4.31	0.26
139.5	4.24	0.23
140	4.16	0.18
140.5	4.13	0.21
141	4.17	0.25
141.5	4.17	0.26
142	4.16	0.23
142.5	4.25	0.26
143	4.19	0.22
143.5	4.02	0.28
144	4.12	0.41
144.5	3.97	0.31
145	3.97	0.31
