Age(kyr) mean(permil) sigma(permil)
0	3.01	0.26
0.5	3.05	0.26
1	3.02	0.61
1.5	3.02	0.51
2	3.09	0.3
2.5	3.07	0.37
3	3.03	0.42
3.5	3.03	0.37
4	3.13	0.25
4.5	3.08	0.39
5	3.03	0.41
5.5	3.07	0.35
6	3.16	0.37
6.5	3.12	0.38
7	3.14	0.44
7.5	3.21	0.43
8	3.13	0.45
8.5	3.15	0.51
9	3.33	0.4
9.5	3.28	0.42
10	3.37	0.4
10.5	3.41	0.36
11	3.41	0.43
11.5	3.55	0.45
12	3.55	0.43
12.5	3.59	0.38
13	3.81	0.42
13.5	3.81	0.4
14	3.83	0.37
14.5	3.92	0.41
15	3.87	0.41
15.5	3.92	0.41
16	4.06	0.48
16.5	4.25	0.52
17	4.37	0.49
17.5	4.6	0.52
18	4.92	0.44
18.5	4.97	0.47
19	4.88	0.51
19.5	4.77	0.53
20	4.87	0.54
20.5	4.85	0.52
21	4.82	0.48
21.5	4.74	0.46
22	4.7	0.47
22.5	4.62	0.49
23	4.42	0.51
23.5	4.58	0.45
24	4.65	0.43
24.5	4.58	0.32
25	4.58	0.39
25.5	4.64	0.42
26	4.83	0.41
26.5	4.67	0.41
27	4.41	0.44
27.5	4.55	0.33
28	4.58	0.36
28.5	4.61	0.39
29	4.53	0.41
29.5	4.41	0.42
30	4.39	0.38
30.5	4.47	0.37
31	4.57	0.33
31.5	4.58	0.29
32	4.52	0.29
32.5	4.42	0.36
33	4.47	0.38
33.5	4.43	0.29
34	4.37	0.31
34.5	4.37	0.36
35	4.39	0.35
35.5	4.37	0.3
36	4.26	0.27
36.5	4.34	0.26
37	4.38	0.35
37.5	4.3	0.37
38	4.16	0.26
38.5	4.12	0.34
39	4.39	0.31
39.5	4.52	0.34
40	4.47	0.33
40.5	4.5	0.34
41	4.46	0.38
41.5	4.34	0.4
42	4.39	0.39
42.5	4.45	0.33
43	4.46	0.33
43.5	4.49	0.32
44	4.44	0.22
44.5	4.38	0.23
45	4.41	0.2
45.5	4.43	0.19
46	4.3	0.3
46.5	4.21	0.28
47	4.13	0.28
47.5	4.11	0.31
48	4.25	0.32
48.5	4.4	0.28
49	4.37	0.36
49.5	4.35	0.38
50	4.4	0.25
50.5	4.39	0.33
51	4.39	0.34
51.5	4.41	0.24
52	4.4	0.21
52.5	4.29	0.29
53	4.16	0.25
53.5	4.12	0.2
54	4.06	0.25
54.5	4.08	0.29
55	4.22	0.28
55.5	4.3	0.26
56	4.34	0.23
56.5	4.37	0.29
57	4.29	0.32
57.5	4.22	0.27
58	4.1	0.36
58.5	4.15	0.34
59	4.05	0.33
59.5	3.99	0.27
60	4.11	0.26
60.5	4.15	0.3
61	4.18	0.22
61.5	4.25	0.19
62	4.32	0.22
62.5	4.43	0.31
63	4.58	0.33
63.5	4.6	0.29
64	4.48	0.34
64.5	4.47	0.34
65	4.56	0.27
65.5	4.59	0.27
66	4.39	0.4
66.5	4.26	0.36
67	4.35	0.3
67.5	4.49	0.31
68	4.46	0.27
68.5	4.28	0.26
69	4.04	0.36
69.5	4.29	0.71
70	4.3	0.45
70.5	4.07	0.31
71	4.08	0.39
71.5	4.13	0.36
72	3.76	0.63
72.5	3.86	0.55
73	4.19	0.25
73.5	4.23	0.28
74	3.96	0.32
74.5	3.92	0.31
75	3.76	0.72
75.5	3.8	0.86
76	4.12	0.13
76.5	4.03	0.35
77	3.93	0.36
77.5	3.99	0.35
78	4.1	0.35
78.5	4.2	0.22
79	4.21	0.25
79.5	4.13	0.3
80	3.94	0.34
80.5	3.88	0.44
81	3.95	0.26
81.5	3.93	0.26
82	3.74	0.34
82.5	3.73	0.34
83	3.81	0.33
83.5	3.84	0.29
84	3.79	0.2
84.5	3.68	0.2
85	3.58	0.48
85.5	3.57	0.42
86	3.82	0.62
86.5	4.14	0.46
87	4.07	0.38
87.5	4.17	0.35
88	4.18	0.29
88.5	4.2	0.27
89	4.16	0.25
89.5	4.14	0.22
90	4.04	0.27
90.5	3.91	0.31
91	3.92	0.3
91.5	3.9	0.25
92	3.8	0.27
92.5	3.83	0.28
93	3.86	0.24
93.5	3.79	0.17
94	3.74	0.28
94.5	3.95	0.42
95	4.08	0.42
95.5	3.8	0.38
96	3.82	0.31
96.5	3.72	0.39
97	3.54	0.33
97.5	3.45	0.28
98	3.29	0.08
98.5	3.59	0.28
99	3.54	0.28
99.5	3.58	0.39
100	3.69	0.57
100.5	3.74	0.56
101	3.73	0.26
101.5	3.69	0.35
102	3.81	0.38
102.5	3.7	0.31
103	3.69	0.27
103.5	3.49	0.37
104	3.84	0.3
104.5	4.04	0.39
105	4	0.4
105.5	4.14	0.22
106	4.01	0.48
106.5	3.88	0.43
107	3.92	0.35
107.5	3.86	0.48
108	3.93	0.46
108.5	3.98	0.37
109	4.14	0.42
109.5	4.18	0.37
110	4.08	0.24
110.5	4.03	0.18
111	3.97	0.22
111.5	3.93	0.22
112	3.96	0.26
112.5	3.99	0.24
113	3.98	0.29
113.5	3.98	0.16
114	3.78	0.38
114.5	3.6	0.3
115	3.57	0.23
115.5	3.58	0.26
116	3.59	0.09
116.5	3.53	0.09
117	3.44	0.08
117.5	3.39	0.44
118	3.37	0.47
118.5	3.28	0.22
119	3.22	0.22
119.5	3.25	0.2
120	3.25	0.11
120.5	3.2	0.09
121	3.14	0.25
121.5	3.13	0.32
122	3.13	0.34
122.5	3.22	0.31
123	3.02	0.42
123.5	2.83	0.32
124	3.02	0.33
124.5	3.22	0.07
125	3.22	0.25
125.5	3.1	0.28
126	2.96	0.28
126.5	2.92	0.21
127	3.03	0.27
127.5	3.08	0.31
128	3	0.36
128.5	3.1	0.28
129	3.19	0.12
129.5	3.21	0.21
130	3.22	0.25
130.5	3.28	0.2
131	3.31	0.21
131.5	3.32	0.25
132	3.21	0.3
132.5	3.41	0.5
133	3.59	0.4
133.5	3.7	0.47
134	4.35	0.73
134.5	4.54	0.62
135	4.62	0.62
135.5	5.04	0.19
136	4.98	0.19
136.5	4.96	0.2
137	5.01	0.2
137.5	4.99	0.18
138	5.03	0.17
138.5	4.97	0.21
139	4.92	0.24
139.5	4.99	0.28
140	5.19	0.09
140.5	4.96	0.28
141	4.94	0.26
141.5	4.96	0.2
142	4.93	0.2
142.5	4.87	0.23
143	4.94	0.27
143.5	5	0.26
144	4.7	0.28
144.5	4.64	0.28
145	4.5	0.2
145.5	4.71	0.32
146	4.77	0.28
146.5	4.29	0.4
147	4.49	0.4
147.5	4.69	0.27
148	4.41	0.53
148.5	4.52	0.54
149	4.65	0.49
149.5	4.67	0.33
150	4.85	0.2
