Age(kyr) mean(permil) sigma(permil)
0	3.06	0.25
0.5	3.19	0.28
1	3.27	0.23
1.5	3.2	0.19
2	3.24	0.22
2.5	3.2	0.25
3	3.16	0.23
3.5	3.14	0.22
4	3.14	0.27
4.5	3.17	0.26
5	3.12	0.26
5.5	3.15	0.32
6	3.23	0.32
6.5	3.25	0.33
7	3.2	0.3
7.5	3.18	0.29
8	3.36	0.31
8.5	3.47	0.31
9	3.4	0.27
9.5	3.47	0.34
10	3.56	0.36
10.5	3.56	0.33
11	3.54	0.35
11.5	3.6	0.32
12	3.73	0.29
12.5	3.85	0.27
13	4.04	0.27
13.5	4.03	0.27
14	3.98	0.28
14.5	4.15	0.31
15	4.28	0.29
15.5	4.34	0.35
16	4.38	0.33
16.5	4.55	0.32
17	4.67	0.31
17.5	4.68	0.29
18	4.69	0.27
18.5	4.69	0.27
19	4.72	0.3
19.5	4.65	0.3
20	4.63	0.24
20.5	4.72	0.24
21	4.66	0.28
21.5	4.64	0.26
22	4.68	0.26
22.5	4.61	0.25
23	4.65	0.27
23.5	4.61	0.28
24	4.54	0.33
24.5	4.6	0.35
25	4.52	0.29
25.5	4.45	0.29
26	4.48	0.27
26.5	4.52	0.29
27	4.46	0.28
27.5	4.41	0.34
28	4.41	0.33
28.5	4.36	0.24
29	4.35	0.29
29.5	4.42	0.33
30	4.45	0.32
30.5	4.47	0.26
31	4.38	0.25
31.5	4.3	0.24
32	4.35	0.24
32.5	4.34	0.23
33	4.35	0.24
33.5	4.27	0.28
34	4.28	0.31
34.5	4.4	0.32
35	4.26	0.3
35.5	4.26	0.29
36	4.27	0.29
36.5	4.27	0.26
37	4.26	0.24
37.5	4.17	0.26
38	4.1	0.26
38.5	4.07	0.26
39	4.15	0.24
39.5	4.17	0.24
40	4.26	0.3
40.5	4.31	0.32
41	4.21	0.29
41.5	4.19	0.26
42	4.28	0.29
42.5	4.29	0.26
43	4.29	0.23
43.5	4.26	0.23
44	4.24	0.2
44.5	4.19	0.2
45	4.19	0.23
45.5	4.23	0.28
46	4.1	0.28
46.5	4.04	0.25
47	4.04	0.22
47.5	4.12	0.27
48	4.14	0.31
48.5	4.15	0.33
49	4.18	0.29
49.5	4.19	0.25
50	4.21	0.29
50.5	4.16	0.31
51	4.06	0.3
51.5	4.06	0.25
52	4.12	0.23
52.5	4.06	0.25
53	4.03	0.26
53.5	4.03	0.21
54	4.03	0.15
