Age(kyr) mean(permil) sigma(permil)
0	2.98	0.13
0.5	2.98	0.13
1	3.13	0.02
1.5	3.06	0.02
2	3.01	0.05
2.5	3.05	0.14
3	3.09	0.15
3.5	3.18	0.14
4	3.11	0.22
4.5	3.08	0.22
5	3	0.22
5.5	2.99	0.17
6	3.12	0.16
6.5	3.15	0.28
7	3.14	0.28
7.5	3.17	0.2
8	3.14	0.16
8.5	3.24	0.36
9	3.39	0.33
9.5	3.3	0.14
10	3.37	0.22
10.5	3.34	0.2
11	3.44	0.23
11.5	3.59	0.25
12	3.63	0.22
12.5	3.7	0.27
13	3.73	0.33
13.5	3.8	0.3
14	4.02	0.22
14.5	4.16	0.18
15	4.13	0.32
15.5	4.16	0.34
16	4.28	0.16
16.5	4.37	0.21
17	4.5	0.23
17.5	4.5	0.18
18	4.57	0.25
18.5	4.71	0.22
19	4.77	0.19
19.5	4.82	0.2
20	4.76	0.24
20.5	4.76	0.26
21	4.79	0.24
21.5	4.74	0.24
22	4.73	0.23
22.5	4.78	0.23
23	4.7	0.28
23.5	4.58	0.26
24	4.52	0.22
24.5	4.6	0.22
25	4.61	0.17
25.5	4.56	0.17
26	4.54	0.19
26.5	4.56	0.2
27	4.48	0.22
27.5	4.42	0.27
28	4.35	0.33
28.5	4.43	0.24
29	4.57	0.11
29.5	4.51	0.2
30	4.49	0.24
30.5	4.45	0.22
31	4.33	0.16
31.5	4.34	0.19
32	4.49	0.18
32.5	4.45	0.18
33	4.39	0.18
33.5	4.4	0.16
34	4.44	0.21
34.5	4.41	0.21
35	4.35	0.17
35.5	4.27	0.18
36	4.27	0.21
36.5	4.28	0.2
37	4.16	0.15
37.5	4.14	0.21
38	4.16	0.27
38.5	4.25	0.22
39	4.37	0.22
39.5	4.33	0.2
40	4.36	0.21
40.5	4.35	0.22
41	4.33	0.19
41.5	4.37	0.26
42	4.38	0.31
42.5	4.4	0.26
43	4.43	0.22
43.5	4.36	0.2
44	4.37	0.16
44.5	4.36	0.21
45	4.32	0.21
45.5	4.28	0.17
46	4.21	0.21
46.5	4.15	0.2
47	4.13	0.21
47.5	4.16	0.23
48	4.2	0.18
48.5	4.25	0.14
49	4.3	0.17
49.5	4.35	0.18
50	4.39	0.18
50.5	4.36	0.2
51	4.32	0.19
51.5	4.27	0.13
52	4.22	0.14
52.5	4.22	0.18
53	4.2	0.18
53.5	4.15	0.19
54	4.17	0.14
54.5	4.14	0.16
55	4.13	0.17
55.5	4.18	0.2
56	4.18	0.27
56.5	4.19	0.17
57	4.2	0.18
57.5	4.13	0.19
58	4.08	0.12
58.5	4.07	0.09
59	4.08	0.08
59.5	4.12	0.08
60	4.16	0.07
60.5	4.22	0.12
61	4.26	0.17
61.5	4.29	0.18
62	4.33	0.17
