age(kyr) mean(permil) sigma(permil)
0.000000 2.837435 0.105008
0.100000 2.837054 0.100987
0.200000 2.837245 0.097466
0.300000 2.838261 0.094947
0.400000 2.839931 0.093715
0.500000 2.842073 0.093694
0.600000 2.844120 0.094735
0.700000 2.845536 0.096442
0.800000 2.845838 0.098639
0.900000 2.844981 0.100997
1.000000 2.842838 0.102853
1.100000 2.839818 0.104138
1.200000 2.836267 0.105111
1.300000 2.832172 0.105856
1.400000 2.828208 0.106311
1.500000 2.824816 0.106369
1.600000 2.822110 0.106004
1.700000 2.819816 0.105674
1.800000 2.817977 0.105488
1.900000 2.815985 0.105631
2.000000 2.814049 0.105791
2.100000 2.811611 0.105352
2.200000 2.808908 0.104197
2.300000 2.806365 0.102730
2.400000 2.804377 0.101553
2.500000 2.801826 0.100770
2.600000 2.799232 0.100302
2.700000 2.796653 0.099961
2.800000 2.793892 0.099701
2.900000 2.790591 0.099550
3.000000 2.787671 0.099623
3.100000 2.785149 0.099873
3.200000 2.783156 0.100278
3.300000 2.781879 0.100791
3.400000 2.781025 0.101302
3.500000 2.780682 0.101736
3.600000 2.780838 0.102443
3.700000 2.781122 0.103077
3.800000 2.781362 0.104167
3.900000 2.782067 0.105830
4.000000 2.783043 0.107856
4.100000 2.784306 0.109570
4.200000 2.786156 0.110991
4.300000 2.788467 0.112485
4.400000 2.791043 0.113206
4.500000 2.793907 0.113167
4.600000 2.796818 0.113651
4.700000 2.799319 0.114797
4.800000 2.801880 0.114991
4.900000 2.804750 0.115856
5.000000 2.807741 0.117706
5.100000 2.810813 0.119958
5.200000 2.814144 0.121992
5.300000 2.817219 0.123522
5.400000 2.820127 0.123935
5.500000 2.822376 0.122173
5.600000 2.824020 0.120979
5.700000 2.825085 0.119292
5.800000 2.825501 0.118920
5.900000 2.824878 0.120002
6.000000 2.824015 0.120857
6.100000 2.823073 0.120339
6.200000 2.822463 0.120120
6.300000 2.823489 0.119741
6.400000 2.826361 0.120202
6.500000 2.830419 0.121885
6.600000 2.836128 0.125242
6.700000 2.843395 0.131020
6.800000 2.851514 0.136356
6.900000 2.860183 0.141004
7.000000 2.869354 0.145130
7.100000 2.878227 0.149965
7.200000 2.885913 0.155903
7.300000 2.891668 0.162194
7.400000 2.895757 0.167964
7.500000 2.898483 0.168478
7.600000 2.899964 0.164763
7.700000 2.900857 0.156243
7.800000 2.901885 0.153068
7.900000 2.903601 0.159727
8.000000 2.907033 0.175682
8.100000 2.912592 0.196409
8.200000 2.920819 0.209946
8.300000 2.931711 0.206899
8.400000 2.944674 0.198038
8.500000 2.958098 0.194262
8.600000 2.971361 0.187124
8.700000 2.983314 0.166329
8.800000 2.994210 0.150848
8.900000 3.003993 0.141880
9.000000 3.012708 0.135257
9.100000 3.020543 0.132949
9.200000 3.028333 0.131202
9.300000 3.036212 0.129762
9.400000 3.044142 0.126787
9.500000 3.052578 0.125245
9.600000 3.062236 0.126409
9.700000 3.072081 0.130317
9.800000 3.081221 0.131233
9.900000 3.089448 0.133312
10.000000 3.096301 0.137306
10.100000 3.101145 0.140191
10.200000 3.104386 0.138571
10.300000 3.105674 0.136573
10.400000 3.105280 0.139766
10.500000 3.103813 0.143573
10.600000 3.101004 0.147788
10.700000 3.097420 0.151048
10.800000 3.094117 0.152333
10.900000 3.091697 0.151617
11.000000 3.090909 0.151155
11.100000 3.092405 0.151964
11.200000 3.096591 0.154925
11.300000 3.103913 0.161160
11.400000 3.114737 0.167994
11.500000 3.128167 0.173585
11.600000 3.144212 0.180600
11.700000 3.162179 0.187928
11.800000 3.182068 0.192823
11.900000 3.203677 0.195279
12.000000 3.226697 0.197536
12.100000 3.250946 0.198428
12.200000 3.276436 0.197878
12.300000 3.303371 0.197045
12.400000 3.330516 0.198204
12.500000 3.357317 0.199847
12.600000 3.383852 0.197022
12.700000 3.409642 0.190341
12.800000 3.434303 0.181999
12.900000 3.458014 0.173881
13.000000 3.480509 0.168182
13.100000 3.501457 0.164948
