depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.175000 0.424042 2.026088 3.975511 3.819356 5.560230 6.241907
0.225000 1.227593 2.958844 4.882749 4.620157 6.183516 6.799115
0.275000 2.347021 3.917100 5.733659 5.415321 6.761657 7.333109
0.375000 4.288273 5.903636 7.258892 6.940890 7.839058 8.318238
0.450000 6.083317 7.493289 8.244662 8.061490 8.648026 8.968571
0.525000 8.580017 8.858115 9.153873 9.136396 9.392220 9.670258
0.555000 8.914479 9.262324 9.537185 9.520850 9.791394 10.048741
0.605000 9.547613 9.855115 10.118455 10.110385 10.372222 10.606089
0.655000 10.228162 10.472314 10.702176 10.701875 10.946931 11.129914
0.705000 10.773310 11.062978 11.309119 11.300667 11.554252 11.763931
0.725000 11.043477 11.327538 11.568365 11.560903 11.801529 12.015260
0.755000 11.498126 11.711021 11.943296 11.942763 12.177560 12.389105
0.805000 12.098761 12.305851 12.513798 12.520592 12.737394 12.958961
0.855000 12.742134 12.883121 13.081265 13.089358 13.291740 13.481696
0.905000 13.199492 13.403922 13.621195 13.625610 13.854524 14.074104
0.955000 13.711306 13.922554 14.145795 14.149991 14.372643 14.594757
1.005000 14.215061 14.488977 14.731415 14.717926 14.949866 15.161155
1.055000 14.906261 15.210912 15.522956 15.569271 15.933821 16.466365
1.075000 15.431226 15.838368 16.299630 16.313032 16.825087 17.290877
1.105000 16.886247 17.157040 17.410085 17.421589 17.675334 17.977373
1.155000 17.518828 17.754689 18.023715 18.026739 18.285420 18.620743
1.205000 18.010419 18.286168 18.553832 18.567039 18.829735 19.219639
1.305000 19.037844 19.408643 19.881654 19.960726 20.474318 21.403434
1.405000 20.153061 20.829347 21.519233 21.496185 22.111465 22.883501
1.505000 22.568735 23.004148 23.420378 23.446558 23.898990 24.395756
1.605000 24.106608 24.804431 25.649289 25.632813 26.451093 27.108012
1.705000 27.303333 27.716116 28.107026 28.121787 28.551062 28.985471
1.755000 28.093919 28.600077 29.178905 29.310741 29.996992 31.336872
1.805000 28.803924 29.481039 30.329516 30.489119 31.470618 32.897735
1.905000 30.314001 31.541979 33.026806 33.082616 34.582501 36.122788
2.005000 33.694386 35.183514 36.736585 36.648444 38.079694 39.123306
2.105000 36.060782 37.730169 39.465755 39.268843 40.619613 42.015813
2.205000 38.319013 40.388446 41.796098 41.694220 43.035200 44.449597
