age(kyr) mean(permil) sigma(permil)
0.000000 3.225772 0.224455
0.100000 3.284927 0.130459
0.200000 3.288729 0.109387
0.300000 3.286914 0.103388
0.400000 3.269216 0.095925
0.500000 3.266288 0.093915
0.600000 3.259468 0.093624
0.700000 3.252192 0.092960
0.800000 3.250498 0.094338
0.900000 3.249266 0.095883
1.000000 3.245756 0.097408
1.100000 3.240619 0.096545
1.200000 3.237050 0.095099
1.300000 3.235764 0.093636
1.400000 3.235726 0.092961
1.500000 3.235704 0.093639
1.600000 3.236448 0.094573
1.700000 3.237268 0.095268
1.800000 3.238177 0.095403
1.900000 3.240462 0.095416
2.000000 3.241918 0.095859
2.100000 3.241291 0.098264
2.200000 3.238858 0.099404
2.300000 3.234746 0.101346
2.400000 3.230856 0.102728
2.500000 3.226398 0.104756
2.600000 3.223252 0.105058
2.700000 3.220286 0.105222
2.800000 3.217370 0.105065
2.900000 3.215132 0.105161
3.000000 3.212568 0.104846
3.100000 3.208097 0.104370
3.200000 3.203941 0.103957
3.300000 3.200530 0.103545
3.400000 3.198847 0.104212
3.500000 3.195645 0.104360
3.600000 3.192667 0.104014
3.700000 3.193704 0.105017
3.800000 3.190787 0.105100
3.900000 3.191580 0.106243
4.000000 3.191625 0.105766
4.100000 3.194928 0.105248
4.200000 3.198604 0.104565
4.300000 3.201969 0.103863
4.400000 3.204277 0.103043
4.500000 3.206414 0.103895
4.600000 3.207114 0.104059
4.700000 3.209932 0.104261
4.800000 3.214391 0.105277
4.900000 3.220918 0.106201
5.000000 3.226505 0.105382
5.100000 3.231359 0.104113
5.200000 3.234530 0.103050
5.300000 3.235550 0.102629
5.400000 3.235549 0.102307
5.500000 3.234558 0.102698
5.600000 3.233064 0.103162
5.700000 3.231490 0.103450
5.800000 3.229779 0.103638
5.900000 3.228679 0.103595
6.000000 3.227312 0.103225
6.100000 3.226130 0.102907
6.200000 3.226294 0.102909
6.300000 3.228453 0.103096
6.400000 3.232766 0.103690
6.500000 3.239098 0.104305
6.600000 3.246195 0.104597
6.700000 3.254024 0.105269
6.800000 3.261882 0.105001
6.900000 3.269994 0.104325
7.000000 3.277958 0.103877
7.100000 3.285540 0.102759
7.200000 3.292332 0.101808
7.300000 3.298039 0.101180
7.400000 3.302728 0.100529
7.500000 3.306874 0.100385
7.600000 3.310019 0.099963
7.700000 3.312199 0.100508
7.800000 3.314387 0.101056
7.900000 3.317462 0.101731
8.000000 3.322292 0.103211
8.100000 3.328663 0.104858
8.200000 3.336750 0.106151
8.300000 3.346231 0.106578
8.400000 3.355792 0.105931
8.500000 3.364627 0.104811
8.600000 3.371714 0.104041
8.700000 3.377807 0.103458
8.800000 3.383513 0.102889
8.900000 3.390046 0.102962
9.000000 3.396809 0.103210
9.100000 3.403801 0.103342
9.200000 3.412808 0.104794
9.300000 3.424072 0.106815
9.400000 3.437941 0.108810
9.500000 3.453294 0.110375
9.600000 3.467049 0.109154
9.700000 3.480906 0.107893
9.800000 3.491740 0.106589
9.900000 3.498579 0.105153
10.000000 3.503020 0.103788
10.100000 3.509598 0.103606
10.200000 3.520728 0.105119
10.300000 3.536647 0.107222
10.400000 3.555137 0.109087
10.500000 3.574658 0.109845
10.600000 3.593848 0.109121
10.700000 3.612242 0.107331
10.800000 3.629545 0.105401
10.900000 3.644356 0.104371
11.000000 3.657206 0.104350
11.100000 3.667515 0.107389
11.200000 3.681233 0.110424
11.300000 3.698530 0.112434
11.400000 3.719590 0.114473
11.500000 3.743194 0.115964
11.600000 3.767928 0.116353
11.700000 3.793540 0.115593
11.800000 3.819643 0.113880
11.900000 3.845226 0.111938
12.000000 3.869303 0.109984
12.100000 3.892361 0.108368
12.200000 3.914820 0.107124
12.300000 3.934415 0.106280
12.400000 3.949930 0.105934
