depth	d18O
0.03	3.13
0.08	3.12
0.13	3.07
0.18	3.18
0.23	3.08
0.28	3.2
0.33	3.1
0.38	3.03
0.43	3.08
0.48	3.05
0.53	3.14
0.58	3.05
0.63	3.12
0.68	3.2
0.73	3.19
0.78	3.08
0.83	3.01
0.88	3.14
0.93	3.15
0.98	3.21
1.03	3.22
1.08	3.17
1.13	3.17
1.18	3.32
1.23	3.25
1.28	3.3
1.33	3.24
1.38	3.34
1.43	3.56
1.48	3.3
1.53	3.37
1.58	3.65
1.63	3.56
1.68	3.68
1.73	3.34
1.78	3.18
1.83	3.93
1.88	4.16
1.93	3.92
1.98	3.62
2.03	3.97
2.08	3.95
2.13	4.15
2.18	4.03
2.23	4.27
2.28	4.55
2.33	4.22
2.38	4.62
2.43	4.88
2.48	4.81
2.53	4.97
2.58	4.92
2.63	4.95
2.68	4.85
2.73	5.04
2.78	4.44
2.83	4.99
2.88	4.86
2.93	4.67
2.98	4.75
3.03	4.83
3.08	4.81
3.13	4.65
3.18	4.69
3.23	4.24
3.28	4.65
3.33	4.67
3.38	4.71
3.43	4.86
3.48	4.47
3.53	4.48
3.58	4.55
3.63	4.57
3.68	4.66
3.73	4.67
3.78	4.64
3.83	4.72
3.88	4.66
3.93	4.39
3.98	4.55
4.03	4.48
4.08	4.54
4.13	4.39
4.18	4.36
4.23	4.45
4.28	4.4
4.33	4.37
4.38	4.2
4.43	3.85
4.48	4.22
4.53	4.3
4.63	4.44
4.68	4.41
4.73	4.48
4.78	4.5
4.83	4.42
4.88	4.11
4.93	4.56
4.98	4.54
5.03	4.61
5.08	4.52
5.13	4.43
5.18	4.62
5.23	4.5
5.28	4.5
5.33	4.29
5.38	4.44
5.43	4.39
5.48	4.5
5.53	4.34
5.58	4.1
5.63	4.21
5.68	4.15
5.73	4.19
5.78	4.2
5.83	4.58
5.88	4.43
5.93	4.5
5.98	4.57
6.03	4.56
6.08	4.54
6.13	4.5
6.18	4.52
6.23	4.57
6.28	4.45
6.33	4.32
6.38	4.47
6.43	4.44
6.48	4.34
6.53	4.26
6.58	4.3
6.63	4.17
6.68	4.29
6.73	4.29
6.78	4.13
6.83	4.09
6.88	4.21
6.93	4.47
6.98	4.37
7.03	4.32
7.08	4.29
7.13	4.32
7.18	4.29
7.23	4.24
7.28	4.42
7.33	4.29
7.38	4.18
7.43	4.06
7.48	4.2
7.53	4.17
7.58	4.19
7.63	4.28
7.68	4.18
7.73	4.33
7.78	4.34
7.83	4.34
7.88	4.34
7.93	4.55
7.98	4.5
8.03	4.52
8.08	4.55
8.13	4.64
8.18	4.6
8.23	4.6
8.28	4.59
8.33	4.49
8.38	4.49
8.43	4.52
8.48	4.7
8.58	4.56
8.63	4.51
8.68	4.57
8.73	4.58
8.78	4.56
8.83	4.48
8.88	4.47
8.93	4.51
8.98	4.38
9.03	4.39
9.08	4.27
9.13	3.81
9.18	3.99
9.23	3.96
9.28	4.05
9.33	3.85
9.38	4.08
9.43	4.07
9.48	4.33
9.53	4.3
9.58	4.19
9.63	4.35
9.68	4.13
9.73	4.09
9.78	4.17
9.83	4.1
9.88	4
9.93	3.83
9.98	3.65
10.03	3.7
10.08	3.78
10.13	3.8
10.18	3.78
10.23	3.92
10.28	3.87
10.33	4
10.38	4.01
10.43	4.05
10.48	4
10.53	4.02
10.58	3.99
10.63	3.83
10.68	4.14
10.73	3.85
10.78	3.83
10.83	3.81
10.88	3.81
10.93	3.59
10.98	3.61
11.03	3.79
11.08	3.65
11.13	3.64
11.18	3.69
11.23	3.56
11.28	3.6
11.33	3.7
11.38	3.45
11.43	3.5
11.48	3.56
11.53	3.46
11.58	3.45
11.63	3.53
11.68	3.6
11.73	3.84
11.78	3.8
11.83	3.8
11.88	3.97
11.93	3.58
11.98	4.2
12.03	4.14
12.08	4.31
12.13	4.21
12.18	4.28
12.23	4.24
12.28	4.03
12.33	4.13
12.38	4.02
12.43	3.86
12.48	3.85
12.53	3.92
12.58	3.9
12.63	3.97
12.68	3.86
12.73	3.92
12.78	3.5
12.83	3.91
12.88	3.91
12.93	3.8
12.98	3.89
13.03	3.74
13.08	3.81
13.13	3.71
13.18	3.65
13.23	3.59
13.28	3.61
13.33	3.67
13.38	3.53
13.43	3.6
13.48	3.51
13.53	3.64
13.58	3.67
13.63	3.66
13.68	3.58
13.73	3.61
13.78	3.62
13.83	3.79
13.88	3.64
13.93	3.54
13.98	3.76
14.03	3.59
14.08	3.48
14.13	3.74
14.18	3.74
14.23	3.67
14.28	3.52
14.33	3.64
14.38	3.52
14.43	3.64
14.48	3.81
14.53	3.86
14.58	3.89
14.63	3.88
14.68	3.86
14.73	3.96
14.78	3.87
14.83	3.85
14.88	3.9
14.93	3.85
14.98	3.84
15.03	3.66
15.08	3.69
15.13	3.84
15.18	3.7
15.23	3.92
15.28	3.97
15.33	4.1
15.38	4.01
15.43	4.01
15.48	4.12
15.53	3.86
15.58	3.97
15.63	3.92
15.68	3.9
15.73	3.79
15.78	3.83
15.83	3.76
15.88	3.68
15.93	3.59
15.98	3.83
16.03	3.46
16.08	3.57
16.13	3.68
16.18	3.6
