depth	age	error	dR	dSTD	cc
0.245	1.57	0.03	0	0.2	2
0.545	2.565	0.03	0	0.2	2
1.045	4.1	0.03	0	0.2	2
1.545	4.915	0.03	0	0.2	2
1.545	4.95	0.03	0	0.2	2
1.845	6.045	0.03	0	0.2	2
2.045	6.585	0.03	0	0.2	2
2.245	7.645	0.03	0	0.2	2
2.845	9.06	0.03	0	0.2	2
3.045	10.56	0.03	0	0.2	2
3.545	10.905	0.035	0	0.2	2
4.585	13.55	0.06	0	0.2	2
4.595	13.5	0.055	0	0.2	2
4.81	13.82	0.07	0	0.2	2
5.385	14.7	0.055	0	0.2	2
5.395	14.65	0.065	0	0.2	2
5.605	15.11	0.08	0	0.2	2
6.405	16.38	0.09	0	0.2	2
6.585	16.85	0.1	0	0.2	2
7.405	18.82	0.1	0	0.2	2
8	20.12	0.21	0	0.2	2
8.415	20.9	0.11	0	0.2	2
9.185	22.3	0.11	0	0.2	2
9.215	22.3	0.13	0	0.2	2
10.12	24.95	0.27	0	0.2	2
10.195	24.9	0.12	0	0.2	2
10.48	25.76	0.29	0	0.2	2
10.785	26.2	0.12	0	0.2	2
10.795	26	0.11	0	0.2	2
11.75	29.03	0.39	0	0.2	2
11.995	29.6	0.24	0	0.2	2
12.03	29.66	0.14	0	0.2	2
12.16	29.95	0.36	0	0.2	2
12.67	32.41	0.42	0	0.2	2
12.795	31.8	0.36	0	0.2	2
12.83	32.27	0.19	0	0.2	2
13.36	34.32	0.72	0	0.2	2
13.405	33.74	0.43	0	0.2	2
13.51	33.74	0.23	0	0.2	2
13.615	35.3	0.46	0	0.2	2
13.785	35.7	0.49	0	0.2	2
14.04	36.01	0.6	0	0.2	2
14.16	36.64	0.97	0	0.2	2
14.39	37.7	0.68	0	0.2	2
14.74	40.45	0.43	0	0.2	2
14.815	41.37	1.12	0	0.2	2
14.83	42.2	1.1	0	0.2	2
15.35	46.94	0.96	0	0.2	2
15.405	45.2	1.7	0	0.2	2
15.46	45.2	0.77	0	0.2	2
15.48	46.9	1.8	0	0.2	2
15.815	46.1	1.8	0	0.2	2
15.98	48.13	1.4	0	0.2	2
