depth	d18O
0.05	3.11
0.1	3.05
0.15	3.19
0.2	3.02
0.25	3.14
0.3	3.06
0.35	3.17
0.4	3.32
0.45	3.53
0.49	3.01
0.54	3.14
0.59	3.02
0.64	3.52
0.69	3.1
0.74	3.18
0.79	3.13
0.84	3.1
0.89	3.11
0.94	3.16
0.99	3.07
1.03	3.59
1.08	3.57
1.13	3.57
1.18	2.98
1.23	3.31
1.28	3.11
1.33	3.08
1.38	3.05
1.43	3.08
1.5	3.08
1.55	3.15
1.6	3.24
1.65	3.16
1.7	3.19
1.75	3.18
1.8	3.14
1.85	3.53
1.9	3.48
2.01	3.29
2.03	3.7
2.08	3.25
2.13	3.1
2.18	3.31
2.33	3.37
2.38	3.41
2.43	3.21
2.48	3.24
2.51	3.63
2.56	3.63
2.61	3.77
2.66	3.8
2.71	3.73
2.76	3.73
2.81	3.89
2.86	3.88
2.91	3.95
3	4.28
3.05	3.92
3.1	4.15
3.15	4.16
3.2	4.28
3.25	4.89
3.3	4.93
3.35	4.88
3.4	4.63
3.45	4.86
3.5	4.69
3.53	4.76
3.58	4.86
3.63	4.81
3.68	4.85
3.73	4.85
3.78	4.82
3.83	4.81
3.88	4.75
3.94	4.77
3.98	4.74
4.01	4.73
4.06	4.6
4.11	4.39
4.16	4.53
4.21	4.58
4.26	4.55
4.31	4.64
4.36	4.6
4.41	4.52
4.6	4.38
4.65	4.56
4.7	4.42
4.75	4.52
4.8	4.39
4.85	4.4
4.9	4.21
4.95	4.2
5	4.26
5.04	4.16
5.09	4.33
5.14	4.36
5.19	4.43
5.24	4.38
5.29	4.39
5.34	4.49
5.39	4.54
5.44	4.48
5.49	4.35
5.53	4.41
5.58	4.37
5.63	4.44
5.68	4.43
5.73	4.42
5.78	4.32
5.83	4.36
5.88	4.46
5.93	4.39
6	4.47
6.05	4.45
6.1	4.35
6.15	4.4
6.2	4.4
6.25	4.58
6.3	4.45
6.35	4.39
