depth	age	error	dR	dSTD	cc
0.125	1.44	0.19	0	0.2	2
0.298	1.81	0.08	0	0.2	2
0.4975	3.45	0.1	0	0.2	2
0.695	4.94	0.24	0	0.2	2
0.898	5.64	0.14	0	0.2	2
1.11	7.19	0.14	0	0.2	2
1.295	7.99	0.12	0	0.2	2
1.41	9.16	0.13	0	0.2	2
1.495	9.76	0.13	0	0.2	2
1.695	10.79	0.13	0	0.2	2
1.8	10.68	0.14	0	0.2	2
1.895	11.08	0.14	0	0.2	2
2	11.41	0.17	0	0.2	2
2.085	12.16	0.2	0	0.2	2
2.295	12.66	0.17	0	0.2	2
2.495	12.86	0.15	0	0.2	2
2.6	13.1	0.17	0	0.2	2
2.8	13.98	0.19	0	0.2	2
2.99	14.35	0.18	0	0.2	2
3.295	14.99	0.19	0	0.2	2
3.6	15.63	0.24	0	0.2	2
4	17.51	0.24	0	0.2	2
4.41	16.59	0.24	0	0.2	2
5.21	21.25	0.24	0	0.2	2
5.51	19.73	0.24	0	0.2	2
6.31	23.25	0.24	0	0.2	2
6.91	22.28	0.24	0	0.2	2
