depth	d18O
0.1	3.5
0.2	3.29
0.3	3.45
0.4	3.26
0.5	3.36
0.6	3.28
0.7	3.28
0.8	3.19
0.9	3.56
1	3.19
1.1	3.37
1.2	3.33
1.3	2.86
1.35	3.6
1.39	3.52
1.45	3.26
1.5	3.69
1.51	3.56
1.55	3.76
1.6	3.58
1.7	3.68
1.8	3.89
1.9	3.83
2	3.86
2.1	4.08
2.2	4.02
2.25	4.17
2.3	4.26
2.35	4.04
2.4	4.18
2.45	4.36
2.49	4.38
2.5	4.04
2.55	4.28
2.6	4.67
2.65	4.34
2.7	4.6
2.75	4.7
2.8	4.62
2.85	4.85
2.9	4.81
2.95	4.61
2.995	5.03
3.05	5.04
3.1	5.17
3.15	4.9
3.2	5.2
3.25	5.21
3.3	4.93
3.35	5.12
3.4	5.14
3.45	4.77
3.5	4.82
3.55	4.83
3.6	5.02
3.7	4.73
3.8	5.34
3.9	5.15
4	5.19
4.1	4.9
