age(kyr) mean(permil) sigma(permil)
0.000000 3.248943 0.106742
0.100000 3.248252 0.104630
0.200000 3.248081 0.102932
0.300000 3.248746 0.101767
0.400000 3.249912 0.100772
0.500000 3.251762 0.100364
0.600000 3.253754 0.100444
0.700000 3.255479 0.100597
0.800000 3.256041 0.100811
0.900000 3.255658 0.100698
1.000000 3.253522 0.100549
1.100000 3.249911 0.100416
1.200000 3.245328 0.099988
1.300000 3.240500 0.099224
1.400000 3.236000 0.097908
1.500000 3.232356 0.096363
1.600000 3.229979 0.094826
1.700000 3.228586 0.093178
1.800000 3.228035 0.091499
1.900000 3.227491 0.089554
2.000000 3.227025 0.087704
2.100000 3.226296 0.086213
2.200000 3.225013 0.084941
2.300000 3.223387 0.083981
2.400000 3.221737 0.083008
2.500000 3.219997 0.082398
2.600000 3.218376 0.082101
2.700000 3.217386 0.081926
2.800000 3.216688 0.081786
2.900000 3.216403 0.081256
3.000000 3.216743 0.080956
3.100000 3.217019 0.081015
3.200000 3.216864 0.081189
3.300000 3.216429 0.081545
3.400000 3.215611 0.081828
3.500000 3.214235 0.082398
3.600000 3.212762 0.083394
3.700000 3.211056 0.084677
3.800000 3.209396 0.086323
3.900000 3.207900 0.088035
4.000000 3.206846 0.090214
4.100000 3.206394 0.092945
4.200000 3.207063 0.095890
4.300000 3.208681 0.099004
4.400000 3.210971 0.101933
4.500000 3.214048 0.104906
4.600000 3.217931 0.107801
4.700000 3.222137 0.110457
4.800000 3.226386 0.112741
4.900000 3.230373 0.114471
5.000000 3.233984 0.115894
5.100000 3.237395 0.117134
5.200000 3.240415 0.118117
5.300000 3.243164 0.118963
5.400000 3.245571 0.119507
5.500000 3.247556 0.120007
5.600000 3.248782 0.120545
5.700000 3.249698 0.120990
5.800000 3.250200 0.121359
5.900000 3.250587 0.121434
6.000000 3.250799 0.121477
6.100000 3.250905 0.121523
6.200000 3.250784 0.121451
6.300000 3.250839 0.121236
6.400000 3.251399 0.120685
6.500000 3.252733 0.120003
6.600000 3.254966 0.119167
6.700000 3.258058 0.118175
6.800000 3.261796 0.117152
6.900000 3.265763 0.116030
7.000000 3.270060 0.115207
7.100000 3.274542 0.114749
7.200000 3.278965 0.114757
7.300000 3.283282 0.115393
7.400000 3.287297 0.116497
7.500000 3.290839 0.118410
7.600000 3.293909 0.121251
7.700000 3.296866 0.124783
7.800000 3.300269 0.128863
7.900000 3.304218 0.133154
