depth	d18O
0.02	2.78
0.04	2.84
0.06	2.72
0.08	2.93
0.08	2.73
0.1	2.79
0.12	2.8
0.12	2.77
0.14	1.96
0.14	2.97
0.14	2.82
0.16	2.82
0.16	2.86
0.18	2.9
0.18	2.63
0.18	2.68
0.2	2.77
0.24	2.79
0.26	2.79
0.28	2.97
0.3	2.9
0.3	2.12
0.32	2.67
0.32	1.98
0.36	2.91
0.36	2.86
0.36	2.8
0.38	2.94
0.38	2.61
0.4	2.78
0.4	1.73
0.42	2.74
0.44	2.87
0.46	2.9
0.48	2.63
0.48	2.73
0.5	2.61
0.5	3.21
0.52	2.84
0.54	2.32
0.56	2.8
0.58	2.73
0.6	2.88
0.62	3.05
0.62	2.84
0.64	2.79
0.64	3.1
0.66	2.62
0.66	2.74
0.66	2.58
0.68	3.16
0.68	2.85
0.7	2.83
0.7	1.87
0.72	2.92
0.72	2.39
0.74	3.04
0.74	3.1
0.74	2.36
0.76	2.79
0.78	2.78
0.8	2.85
0.8	2.87
0.84	2.79
0.86	2.94
0.86	2.73
0.88	2.93
0.88	2.77
0.9	2.94
0.9	2.87
0.9	2.8
0.92	2.88
0.92	3.09
0.92	2.78
0.94	2.98
0.96	2.78
0.96	2.85
0.98	2.87
0.98	2.79
1	3.01
1.02	2.99
1.02	2.51
1.04	2.84
1.04	2.59
1.06	2.39
1.06	2.73
1.08	2.92
1.08	2.9
1.1	2.77
1.1	2.9
1.12	2.33
1.12	2.97
1.14	3
1.14	2.5
1.16	2.47
1.16	3.03
1.16	2.39
1.2	3.06
1.2	1.66
1.22	3.13
1.24	3.08
1.24	2.88
1.26	3.09
1.26	2.9
1.28	2.93
1.3	3.13
1.32	3.04
1.32	3.03
1.32	3.05
1.32	3.12
1.34	3.04
1.34	3.08
1.36	3.2
1.38	2.67
1.4	3.05
1.42	3.05
1.44	2.98
1.44	3.22
1.44	3.15
1.46	3.09
1.46	3.26
1.46	3.02
1.48	3.15
1.48	3.06
1.52	2.9
1.56	3.07
1.58	3.21
1.62	3.11
1.64	3.07
1.68	3.13
1.68	3.24
1.7	3.17
1.72	3.12
1.74	3.18
1.76	3.25
1.78	3.2
1.82	3.12
1.84	3.29
1.86	3.08
1.86	3.17
1.88	3.31
1.9	2.51
1.9	3.12
1.92	3.26
1.92	2.92
1.94	3.22
1.96	3.22
1.96	3.24
1.98	3.27
2	3.13
2.02	3.29
2.04	3.09
2.06	3.27
2.08	3.28
2.1	3.2
2.12	3.21
2.14	3.2
2.14	3.33
2.16	3.33
2.18	3.09
2.18	3.29
2.2	3.27
2.22	3.13
2.24	3.33
2.26	3.27
2.28	3.18
2.28	3.06
2.32	3.24
2.34	3.27
2.36	3.26
2.38	3.21
2.4	3.1
2.42	3.17
2.44	3.16
2.46	3.2
2.48	3.16
2.5	3.15
2.54	2.97
2.62	3.03
2.62	3.15
2.64	3.11
2.66	3.25
2.68	3.29
2.7	3.13
2.7	2.98
2.72	3.02
2.74	3.08
2.76	3.36
2.78	3.15
2.8	3.31
2.82	3.34
2.84	3.36
2.86	3.17
2.88	3.19
2.9	3.17
2.92	3.32
2.94	3.19
2.96	3.27
2.98	3.16
3	3.29
3.02	3.22
3.04	3.43
3.06	3.19
3.08	3.46
3.1	3.36
3.12	3.32
3.14	3.35
3.16	3.48
3.18	3.28
3.2	3.41
3.22	3.43
3.24	3.4
3.26	3.47
3.28	3.29
3.3	2.98
3.32	3.33
3.34	3.35
3.36	3.34
3.38	3.46
3.4	3.41
3.42	3.47
3.44	3.43
3.46	3.47
3.48	3.43
3.5	3.33
3.52	3.49
3.54	3.29
3.56	3.58
3.58	3.49
3.6	3.7
3.62	3.65
3.64	3.66
3.66	3.44
3.68	3.56
3.7	3.61
3.72	3.33
3.76	3.78
3.78	3.8
3.8	3.78
3.82	2.82
3.84	3.47
3.86	3.71
3.86	3.61
3.88	3.51
3.9	3.63
3.92	3.65
3.94	3.67
3.96	3.55
3.98	3.86
4	3.66
4.01	3.77
4.02	4.21
4.04	3.51
4.06	3.55
4.49	3.77
4.51	3.79
5.01	2.99
5.32	4
5.78	3.31
5.82	3.76
6	4.03
6.01	4.16
6.22	2.46
6.44	4.12
6.46	4.34
6.52	4.35
6.54	4.39
6.56	4.45
6.58	4.31
6.6	4.42
6.62	4.21
6.66	4.52
6.68	4.61
6.74	4.1
6.76	4.39
6.9	4.5
6.96	4.33
6.98	4.63
7.08	4.25
7.38	4.24
7.54	4.39
7.58	4.29
7.62	3.99
7.62	4.09
7.64	4.34
7.68	4.1
7.7	4.1
7.7	4.07
7.74	3.83
7.78	3.96
7.8	4.11
7.8	4.01
7.82	4.29
7.84	4.03
7.84	4.1
7.86	3.97
7.86	3.74
7.88	4.02
7.88	3.76
7.92	4.12
7.94	3.99
7.94	3.33
7.96	4
