depth	d18O
0.005	2.85466
0.005	2.51466
0.005	3.00466
0.045	2.97466
0.045	2.93966
0.045	2.78666
0.085	2.87666
0.085	3.00766
0.085	2.86066
0.125	2.97566
0.125	2.86766
0.125	2.90966
0.165	2.48366
0.165	2.89466
0.165	2.88966
0.205	2.86166
0.205	3.05166
0.205	2.96266
0.245	2.87066
0.245	2.83366
0.245	2.84866
0.285	2.77266
0.285	2.89966
0.285	2.86066
0.325	2.91566
0.325	3.12666
0.365	2.99166
0.365	2.89566
0.365	3.08066
0.405	2.79666
0.405	2.80966
0.405	2.79666
0.445	2.83566
0.445	2.78266
0.445	2.88566
0.485	2.81266
0.485	2.75266
0.485	2.82266
0.525	2.94866
0.525	2.85266
0.525	2.81166
0.565	2.82766
0.565	2.96666
0.565	2.71066
0.605	2.99966
0.605	2.79666
0.605	3.14266
0.645	2.91466
0.645	3.01966
0.645	2.92066
0.685	3.15466
0.685	2.88666
0.685	2.89266
0.725	3.10566
0.725	3.04066
0.725	3.11066
0.765	2.98266
0.765	3.05866
0.765	3.07366
0.805	3.09766
0.805	3.23666
0.805	2.55366
0.845	3.23366
0.845	2.95666
0.845	3.11366
0.885	3.19466
0.885	2.99666
0.885	3.10766
0.925	2.94466
0.925	2.94166
0.925	3.09166
0.965	3.12866
0.965	3.14466
0.965	2.79166
1.005	3.12966
1.005	2.92566
1.005	3.19966
1.045	3.30766
1.045	3.15066
1.045	3.19666
1.085	3.21866
1.085	3.37566
1.085	2.55266
1.125	3.00366
1.125	2.94566
1.125	2.96366
1.165	2.44166
1.165	3.08866
1.165	3.00166
1.165	3.09766
1.205	2.99266
1.205	2.80566
1.205	2.48966
1.245	2.80266
1.245	3.08866
1.245	2.85166
1.285	3.20366
1.285	3.13566
1.285	2.62366
1.325	2.69566
1.325	3.11466
1.325	3.11366
1.365	3.07166
1.365	3.07366
1.365	3.01166
1.405	2.97866
1.405	3.05866
1.405	3.15166
1.445	3.21966
1.445	3.09766
1.445	2.80366
1.485	3.06666
1.485	3.07466
1.485	2.84666
1.525	2.97666
1.525	2.91066
1.525	3.15566
1.565	3.03866
1.565	3.51466
1.605	3.09166
1.605	2.92266
1.605	2.68466
1.645	3.50466
1.645	3.73166
1.645	3.50766
1.685	3.77366
1.685	2.94866
1.685	3.71866
1.725	3.66566
1.725	3.55566
1.725	3.29866
1.765	3.55366
1.765	3.41966
1.765	3.32266
1.805	3.26866
1.805	3.34166
1.805	3.15466
1.845	3.34466
1.845	3.82566
1.845	3.41866
1.885	3.74166
1.885	3.34966
1.885	3.67266
1.925	3.52566
1.925	3.38966
1.925	3.50966
1.965	3.49166
1.965	4.00866
1.965	3.80266
2.005	3.79766
2.005	4.10666
2.005	3.91566
2.045	3.40866
2.045	3.87466
2.045	3.73466
2.085	4.02466
2.085	3.92966
2.085	3.94166
2.125	3.51066
2.125	4.38766
2.125	3.75366
2.125	4.289
2.165	3.92966
2.165	3.76266
2.165	4.10866
2.205	4.19466
2.205	4.06066
2.205	4.43166
2.205	4.338
2.205	4.284
2.245	4.16766
2.245	3.95166
2.245	3.56266
2.245	4.009
2.245	4.436
2.285	4.41366
2.285	3.81366
2.285	3.70366
2.285	4.282
2.325	4.38966
2.325	4.43366
2.325	3.69266
2.325	4.328
2.325	4.231
2.365	4.45266
2.365	4.40466
2.365	4.38066
2.405	4.57766
2.405	4.45466
2.405	4.40366
2.445	4.07266
2.445	4.31266
2.445	4.35166
2.485	4.35566
2.485	4.34366
2.485	3.99166
2.525	4.34266
2.525	4.09866
2.525	4.24866
2.565	3.90766
2.565	3.93766
2.565	4.25466
2.605	4.43366
2.605	4.13266
2.605	4.26066
2.685	4.03866
2.685	4.23666
2.685	4.15566
2.725	4.34266
2.725	4.28166
2.725	4.28366
2.765	4.37666
2.765	3.94066
2.765	4.06166
2.805	4.29866
2.805	4.27966
2.805	4.30466
2.845	3.99666
2.845	4.21766
2.845	4.02466
