depth	d18O
0.1	2.7
0.15	2.72
0.2	2.57
0.3	2.9
0.35	2.67
0.4	2.65
0.5	2.54
0.55	2.71
0.6	2.6
0.65	2.63
0.7	2.52
0.8	2.61
0.85	2.59
0.9	2.54
0.95	2.74
1	2.53
1.05	2.63
1.1	2.68
1.15	2.58
1.2	2.74
1.25	2.68
1.3	2.76
1.35	1.79
1.4	2.54
1.45	2.65
1.5	2.67
1.55	2.56
1.6	2.8
1.65	2.51
1.7	2.86
1.75	2.67
1.8	3.04
1.85	2.97
1.95	2.89
2	3.1
2.05	2.76
2.1	2.6
2.15	2.88
2.2	2.99
2.25	3.09
2.35	3.36
2.4	2.84
2.45	3.49
2.5	3.39
2.55	3.39
2.6	3.55
2.65	3.41
2.7	3.66
2.75	3.22
2.75	3.06
2.8	3.82
2.8	2.81
2.85	3.75
2.85	2.45
2.9	3.34
2.95	3.42
2.95	3.18
3	4.19
3.05	4.25
3.05	3.68
3.1	4.2
3.15	4.17
3.2	4.29
3.25	4.27
3.3	4.27
3.35	4.17
3.4	4.17
3.5	4.04
3.55	4.22
3.6	3.87
3.65	3.88
3.7	3.9
3.75	3.88
3.8	4.17
3.85	4.2
3.9	3.94
3.95	4.1
4	4.2
4.05	3.83
4.1	4.45
4.15	4.14
4.2	4.29
4.25	4.08
4.3	4.16
4.5	3.74
4.6	3.68
5.4	4
6	3.39
6.2	3.98
6.3	3.87
6.7	3.69
6.8	3.91
7.4	3.37
8.4	3.29
8.7	3.73
8.8	3.22
8.9	3.94
9	3.92
9.1	4.03
9.2	3.65
9.4	3.13
4	4.21
4.1	4.09
4.2	4.33
4.3	4.08
4.4	4.66
4.5	4.23
4.6	3.81
4.7	3.82
4.8	3.9
4.9	4.05
5	4.1
5.1	3.48
5.2	3.78
5.3	3.24
5.4	3.78
5.6	3.41
5.8	3.58
6	3.63
6.2	3.73
6.3	3.66
6.4	3.89
6.5	3.53
6.6	3.94
6.7	4
6.8	3.76
6.9	4.09
7	3.92
7.1	4.14
7.2	3.91
7.3	3.69
7.4	3.63
7.5	3.97
7.6	3.99
7.7	3.91
7.8	3.93
7.9	4
8	3.93
8.1	3.89
8.2	4.04
8.3	3.91
8.4	3.84
8.5	3.92
8.6	4.02
8.7	3.86
8.8	3.72
8.9	3.55
9	3.91
9.1	3.87
9.2	4.1
9.3	4.23
9.4	3.7
9.5	3.79
9.55	3.98
