depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.030000 0.016281 0.235984 0.593735
0.080000 0.265831 0.618948 1.109428
0.130000 0.505841 0.996109 1.730238
0.180000 0.762218 1.411764 2.211862
0.230000 1.050911 1.799533 2.664727
0.280000 1.390735 2.224556 3.121238
0.330000 1.762889 2.624648 3.495953
0.380000 2.150380 3.034619 3.828794
0.430000 2.608562 3.409823 4.125182
0.480000 3.057312 3.780272 4.419018
0.530000 3.497623 4.153824 4.747109
0.580000 3.813889 4.494362 5.219403
0.630000 4.131538 4.833689 5.635493
0.680000 4.399789 5.177981 6.004354
0.730000 4.721631 5.514426 6.373561
0.780000 5.076799 5.880243 6.700335
0.830000 5.426175 6.243269 7.008735
0.880000 5.808718 6.616886 7.294664
0.930000 6.243490 7.009611 7.560631
0.980000 6.676047 7.365018 7.824317
1.030000 7.085952 7.694691 8.135253
1.080000 7.389162 7.969711 8.432821
1.130000 7.676287 8.231737 8.706573
1.180000 7.901171 8.496458 8.991967
1.230000 8.201359 8.760895 9.258097
1.280000 8.465592 9.016554 9.547140
1.330000 8.759234 9.277553 9.811176
1.380000 9.066755 9.547755 10.086653
1.430000 9.347760 9.820529 10.347072
1.480000 9.634139 10.101627 10.606096
1.530000 9.897386 10.429430 10.965403
1.580000 10.201596 10.747170 11.355712
1.630000 10.454847 11.087236 11.702942
1.680000 10.736317 11.432807 12.036202
1.730000 11.034701 11.767072 12.342287
1.780000 11.395525 12.128719 12.602753
1.830000 11.779220 12.496940 12.893713
1.880000 12.272714 12.838334 13.207186
1.930000 12.725388 13.140712 13.463018
1.980000 12.983080 13.433580 13.835030
2.030000 13.273439 13.712032 14.233494
2.080000 13.531509 13.987794 14.602834
2.130000 13.817944 14.268822 14.993161
2.180000 14.129828 14.557159 15.330512
2.230000 14.412209 14.854163 15.691376
2.280000 14.770519 15.207678 16.110937
2.330000 15.137683 15.769393 16.686463
2.380000 15.649446 16.378084 17.266336
2.430000 16.198722 16.960350 17.776717
2.480000 16.727893 17.514275 18.246461
2.530000 17.277141 18.007824 18.706761
2.580000 17.793688 18.461866 19.122982
2.630000 18.315408 18.924644 19.531598
2.680000 18.873286 19.363052 19.993521
2.730000 19.310512 19.920556 20.729791
2.780000 19.822820 20.514727 21.332214
2.830000 20.359418 21.177897 21.904730
2.880000 20.953512 21.759370 22.495814
2.930000 21.594150 22.376508 23.026313
2.980000 22.226220 22.948035 23.592392
3.030000 22.601966 23.377396 24.267514
3.080000 22.945633 23.792784 24.907014
3.130000 23.344167 24.238560 25.562812
3.180000 23.696840 24.717618 26.285828
3.230000 24.077613 25.172064 26.817826
3.280000 24.465346 25.611877 27.320973
3.330000 24.838353 26.124998 27.769497
3.380000 25.215026 26.576929 28.345825
