depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.140000 2.916436 5.052409 6.431281
0.160000 3.010092 5.174446 6.516597
0.240000 3.546880 5.600543 6.909635
0.320000 3.980920 6.080343 7.342883
0.360000 4.252359 6.317301 7.593855
0.420000 4.654614 6.670908 7.882124
0.480000 5.166859 7.049068 8.152362
0.560000 5.729778 7.536449 8.583754
0.640000 6.424832 8.025435 8.943951
0.720000 7.070939 8.500273 9.330058
0.790000 7.684318 8.912487 9.732294
0.800000 7.722134 8.974049 9.784268
0.840000 7.973297 9.227767 9.990603
0.940000 8.945251 9.859808 10.458819
0.980000 9.228797 10.111933 10.706676
1.000000 9.390200 10.240240 10.829238
1.020000 9.542856 10.373263 10.973222
1.040000 9.712245 10.510134 11.085702
1.060000 9.850718 10.649040 11.224669
1.100000 10.198220 10.935066 11.519877
1.120000 10.310250 11.056186 11.673253
1.130000 10.363200 11.124482 11.736307
1.140000 10.419190 11.187031 11.810815
1.160000 10.544378 11.314906 11.978745
1.180000 10.710855 11.447660 12.111643
1.200000 10.879060 11.578675 12.254601
1.220000 11.011922 11.715959 12.391994
1.260000 11.335383 12.044485 12.754321
1.300000 11.691811 12.384717 13.169192
1.320000 11.858126 12.530432 13.312643
1.340000 12.007879 12.668476 13.489986
1.360000 12.136877 12.813072 13.627742
1.380000 12.281403 12.963651 13.793398
1.400000 12.440473 13.107244 13.892548
1.460000 13.030665 13.589415 14.252947
1.480000 13.180141 13.737992 14.379002
1.500000 13.362148 13.889630 14.494154
1.540000 13.638862 14.186724 14.745373
1.560000 13.762786 14.328668 14.893364
1.620000 14.094239 14.714805 15.312113
1.660000 14.354998 14.974033 15.569984
1.680000 14.488054 15.104439 15.719545
1.700000 14.610843 15.250560 15.838092
1.720000 14.731099 15.379676 15.956740
1.780000 15.156401 15.743659 16.331921
1.820000 15.428701 15.975833 16.569236
1.840000 15.555847 16.097909 16.703637
1.860000 15.700384 16.241022 16.863835
1.900000 15.913140 16.477627 17.114981
1.940000 16.132579 16.744792 17.352116
1.980000 16.343472 16.964106 17.558949
2.020000 16.542763 17.181507 17.767070
2.060000 16.759849 17.386378 17.977417
2.100000 16.931040 17.574959 18.145196
2.180000 17.367602 17.913929 18.542891
2.220000 17.546030 18.113818 18.772993
2.260000 17.738070 18.303062 18.996657
2.300000 17.929823 18.480187 19.155698
2.340000 18.094455 18.660441 19.336801
2.420000 18.443203 18.999704 19.669798
2.440000 18.542457 19.096567 19.762525
2.460000 18.644574 19.203373 19.849633
2.480000 18.752592 19.313903 19.957821
2.500000 18.868372 19.418398 20.101172
2.520000 18.960593 19.523428 20.224126
2.620000 19.366266 20.066518 20.779641
2.640000 19.478238 20.182649 20.920533
2.660000 19.609748 20.295372 21.030666
2.780000 20.264011 20.886700 21.548072
2.860000 20.641933 21.263000 21.962603
2.900000 20.865380 21.476362 22.188693
2.980000 21.246476 21.852728 22.613664
3.060000 21.651339 22.250706 23.034697
3.100000 21.868378 22.486164 23.210290
3.120000 21.981697 22.599022 23.334445
3.140000 22.120744 22.717946 23.441816
3.180000 22.358992 22.992938 23.702489
3.220000 22.588971 23.263731 23.950443
3.260000 22.843650 23.563312 24.214130
3.300000 23.153770 23.854172 24.524952
3.320000 23.278758 23.987983 24.665676
3.340000 23.408492 24.140243 24.771943
3.360000 23.534732 24.283543 24.908212
3.400000 23.870651 24.597536 25.171230
3.420000 24.005639 24.730606 25.315022
3.440000 24.131694 24.861989 25.431547
3.460000 24.261563 24.994255 25.580064
3.480000 24.384170 25.130869 25.736104
3.500000 24.525231 25.269608 25.865637
3.520000 24.659501 25.404304 25.982384
3.540000 24.819163 25.536301 26.141928
3.580000 25.178028 25.815283 26.406650
3.620000 25.476011 26.098661 26.689401
3.660000 25.764354 26.382173 26.996214
3.700000 26.082028 26.658204 27.335519
3.720000 26.233103 26.815631 27.472404
3.780000 26.673305 27.359574 28.009527
3.840000 27.119276 27.893293 28.475823
3.860000 27.279183 28.043543 28.607238
3.880000 27.411956 28.190486 28.725261
3.900000 27.582192 28.321384 28.854655
3.940000 27.879616 28.597986 29.179773
3.980000 28.165917 28.900204 29.473319
4.020000 28.468456 29.185038 29.809054
4.060000 28.762089 29.480842 30.099322
4.100000 29.059897 29.788148 30.371930
4.140000 29.333448 30.063849 30.663020
4.160000 29.477936 30.205291 30.815415
4.200000 29.693533 30.505958 31.115023
4.220000 29.842359 30.639856 31.248371
4.240000 29.970568 30.776700 31.401342
4.300000 30.338508 31.163391 31.793430
4.380000 30.797352 31.654263 32.414678
4.460000 31.227015 32.167299 32.947636
4.480000 31.352717 32.298501 33.152706
4.500000 31.459508 32.424222 33.274842
4.520000 31.590199 32.551865 33.385909
4.580000 31.896662 32.910702 33.789632
4.620000 32.139669 33.165042 34.020945
4.660000 32.395703 33.412233 34.307163
