depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.050000 0.001326 0.043689 0.243574
0.100000 0.079735 0.188256 0.386919
0.150000 0.188354 0.314430 0.531721
0.170000 0.245211 0.373577 0.598981
0.200000 0.323867 0.460286 0.709593
0.250000 0.448160 0.597141 0.865368
0.290000 0.551541 0.711064 1.017761
0.300000 0.585311 0.747306 1.044214
0.350000 0.708284 0.900482 1.246972
0.400000 0.842410 1.054508 1.432639
0.450000 0.991260 1.204019 1.607197
0.490000 1.091844 1.327814 1.770105
0.530000 1.218053 1.454954 1.926259
0.540000 1.249038 1.493193 1.965951
0.590000 1.412680 1.660475 2.182941
0.640000 1.579144 1.839442 2.439630
0.650000 1.625062 1.883031 2.483514
0.690000 1.770210 2.067722 2.677668
0.740000 1.944551 2.307072 2.929685
0.750000 1.986634 2.361949 2.986676
0.790000 2.189187 2.643398 3.205509
0.840000 2.486293 2.996794 3.488114
0.890000 2.789130 3.323917 3.751267
0.940000 3.069185 3.562770 4.028644
0.990000 3.332453 3.797063 4.281043
1.010000 3.442907 3.897084 4.386305
1.030000 3.523639 4.005533 4.482588
1.080000 3.740351 4.275650 4.771101
1.130000 3.983127 4.528587 5.015925
1.180000 4.248788 4.748155 5.243114
1.230000 4.485824 4.983050 5.463347
1.280000 4.722170 5.230217 5.798592
1.330000 4.989258 5.509875 6.073383
1.380000 5.255423 5.783477 6.366377
1.430000 5.526385 6.067214 6.613314
1.500000 5.980130 6.463626 6.944738
1.550000 6.332261 6.747371 7.180871
1.580000 6.501680 6.894286 7.322205
1.600000 6.595194 6.990568 7.417182
1.650000 6.787445 7.190646 7.658302
1.700000 6.979931 7.385996 7.884948
1.750000 7.162466 7.571692 8.130284
1.800000 7.337457 7.767686 8.321895
1.850000 7.584596 7.977664 8.552816
1.860000 7.616567 8.024517 8.609509
1.900000 7.834335 8.303971 8.930370
2.010000 8.571438 9.319219 9.771114
2.020000 8.620396 9.379189 9.824891
2.030000 8.679541 9.441131 9.874024
2.080000 8.926153 9.731446 10.201305
2.130000 9.148560 9.997323 10.517392
2.180000 9.479496 10.259709 10.795446
2.300000 10.317752 10.898961 11.370967
2.330000 10.466010 11.051544 11.540460
2.380000 10.735962 11.310838 11.864499
2.430000 10.933228 11.595215 12.137304
2.480000 11.185041 11.881252 12.410597
2.510000 11.338693 12.057752 12.545151
2.560000 11.575892 12.342158 12.800878
2.590000 11.724018 12.507055 12.955518
2.610000 11.831711 12.602733 13.075118
2.660000 12.057991 12.791952 13.359586
2.710000 12.318494 12.976288 13.616861
2.760000 12.643632 13.183664 13.851077
2.780000 12.734286 13.278423 13.979498
2.810000 12.882473 13.452507 14.161240
2.860000 13.187391 13.800051 14.500276
2.910000 13.556443 14.161610 14.830598
3.000000 14.186195 14.924608 15.566234
3.050000 14.536020 15.300004 15.877132
3.100000 14.899825 15.667450 16.288864
3.150000 15.271867 16.030903 16.669149
3.200000 15.721843 16.389787 16.984146
3.240000 16.042304 16.676356 17.259854
3.250000 16.099380 16.748527 17.303833
3.280000 16.339974 16.978873 17.487999
3.300000 16.513531 17.121290 17.634178
3.350000 16.961191 17.513069 18.039148
3.400000 17.346691 17.907119 18.449510
3.450000 17.734299 18.329093 18.785973
3.500000 18.170696 18.712411 19.164206
3.530000 18.331759 18.905974 19.385547
3.580000 18.586400 19.219806 19.786998
3.630000 18.855725 19.557698 20.216633
3.680000 19.158357 19.913866 20.602975
3.730000 19.491420 20.285564 20.993885
3.780000 19.817958 20.641129 21.357075
3.830000 20.178945 20.990647 21.734996
3.880000 20.573079 21.320687 22.072145
3.940000 21.072078 21.725791 22.496617
3.980000 21.372802 21.972282 22.756331
4.010000 21.578399 22.158849 22.891737
4.060000 21.945069 22.486438 23.138648
4.110000 22.338003 22.794347 23.428346
4.120000 22.398644 22.850026 23.491933
4.160000 22.612035 23.086290 23.792929
4.210000 22.797225 23.372601 24.190047
4.260000 23.023036 23.666872 24.575509
4.310000 23.216082 23.949944 24.893057
4.360000 23.437462 24.246993 25.276367
4.410000 23.672426 24.548212 25.630224
4.600000 24.534746 25.642797 27.625301
4.650000 24.771749 25.953065 27.900526
4.700000 25.046387 26.212700 28.179608
4.750000 25.356862 26.463634 28.474820
4.800000 25.635069 26.717943 28.782651
4.850000 25.955878 26.955675 29.056253
4.900000 26.282285 27.204688 29.369660
4.950000 26.572455 27.503015 29.684577
5.000000 26.861586 27.799201 29.937700
5.040000 27.039280 28.022777 30.197900
5.090000 27.321135 28.290891 30.464296
5.140000 27.543634 28.575182 30.737689
5.190000 27.748067 28.805060 31.000893
5.240000 28.001688 29.075738 31.320565
5.290000 28.221699 29.335807 31.592906
5.340000 28.417797 29.609067 31.804198
5.390000 28.612918 29.887709 32.094543
5.440000 28.840883 30.146243 32.326755
5.490000 29.031586 30.435172 32.602665
5.530000 29.246421 30.613729 32.781960
5.580000 29.443417 30.852309 33.009800
5.630000 29.665135 31.117055 33.273622
5.680000 29.921954 31.337711 33.579647
5.730000 30.131811 31.576853 33.839362
5.780000 30.379049 31.805792 34.164404
5.830000 30.680078 32.027498 34.340181
5.880000 30.941281 32.301555 34.541134
5.930000 31.157874 32.549426 34.782462
6.000000 31.455398 32.906546 35.097500
6.050000 31.670035 33.161117 35.336355
6.100000 31.910739 33.401178 35.557643
6.150000 32.083076 33.661834 35.780165
6.200000 32.325643 33.898974 36.017663
6.250000 32.583163 34.134765 36.320952
6.300000 32.800402 34.374068 36.622992
6.350000 33.110096 34.637804 36.968520
