depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.030000 0.013623 0.252734 0.738515
0.355000 1.628962 3.156148 4.659766
0.680000 5.657581 6.208108 6.922392
0.980000 8.689136 9.432495 10.025484
1.230000 10.493200 11.010999 11.615476
1.430000 11.214572 11.818391 12.470260
1.630000 11.979303 12.603673 13.178191
1.992500 13.131195 14.102252 15.294401
2.355000 14.275577 15.614334 17.053200
2.717500 15.741596 17.232678 18.508392
3.080000 18.667036 19.245184 20.071899
3.430000 21.854216 22.599996 23.238649
3.655000 23.229554 24.190580 25.087927
3.880000 24.676301 25.552252 26.061250
4.196667 25.969643 27.134854 28.447872
4.513333 27.250736 28.659493 29.875097
4.830000 29.301533 30.216856 30.858491
5.163333 30.463722 31.796385 33.275003
5.496667 31.895497 33.426704 34.968409
5.830000 34.344089 35.237414 36.267900
6.096667 35.486899 36.907598 38.578688
6.363333 36.900500 38.733899 40.413372
6.630000 38.664149 40.438150 41.810712
7.013333 40.336139 42.376149 44.668697
7.396667 42.013166 44.250345 47.467016
7.780000 43.776692 46.170218 49.984755
