depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
4.585000 14.466643 14.885200 15.302668
4.595000 14.482370 14.908830 15.326129
4.990000 15.292862 15.798502 16.299962
5.385000 16.360201 16.650922 17.029062
5.395000 16.384825 16.670278 17.049408
5.791667 16.957199 17.489910 18.185644
6.188333 17.701321 18.297041 18.942819
6.585000 18.791144 19.176599 19.687695
7.056667 19.511821 20.422625 21.786081
7.528333 20.640368 21.922579 22.904562
8.000000 22.591269 23.211049 23.693100
8.415000 23.722751 24.154968 24.525161
8.800000 24.466756 24.937450 25.416158
9.185000 25.438325 25.723855 25.964455
9.215000 25.521130 25.794865 26.054884
9.667500 26.286090 26.906980 27.605187
10.120000 27.681526 28.006333 28.393721
10.195000 27.878741 28.179343 28.536500
10.480000 28.435502 28.768422 29.206117
10.785000 29.024595 29.361719 29.878731
10.795000 29.040137 29.384942 29.903461
11.272500 29.824231 30.555746 31.572153
11.750000 31.244749 31.839886 32.670873
11.995000 31.885159 32.586627 33.288079
12.160000 32.392466 33.161062 33.788676
12.670000 34.029327 34.812978 35.585400
12.795000 34.365852 35.185688 36.016736
13.077500 35.182722 36.197331 37.260561
13.360000 36.350278 37.259321 38.201908
13.615000 37.338566 38.161514 38.965100
13.785000 37.961809 38.787642 39.582912
14.040000 38.991449 39.816582 40.609300
14.160000 39.464088 40.303262 41.124882
14.390000 40.453641 41.339860 42.124694
14.830000 42.399424 43.628212 45.156234
15.155000 43.326854 44.979357 46.748494
15.480000 44.373566 46.245382 48.193045
15.815000 45.365294 47.364990 49.445290
