depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.170000 0.004474 0.110408 0.396263
0.290000 0.241885 0.473906 0.726382
0.410000 0.508360 0.802838 1.141336
0.530000 0.827451 1.128921 1.479590
0.650000 1.231433 1.561041 1.945031
0.750000 1.517482 1.968153 2.591217
0.890000 2.533143 3.255849 3.837822
1.010000 3.274227 3.811767 4.361589
1.120000 3.796807 4.356553 4.970131
1.230000 4.375441 4.888903 5.491932
1.405000 5.143988 5.925862 6.635176
1.580000 6.166675 6.833421 7.332326
1.720000 6.756184 7.340088 7.947321
1.860000 7.437698 7.870116 8.639625
2.020000 8.625651 9.282706 9.890379
2.160000 9.444114 10.219795 10.872561
2.300000 10.498457 11.003482 11.575179
2.445000 11.118928 11.711291 12.363154
2.590000 11.763495 12.364136 12.919346
2.780000 12.568801 13.011910 13.620622
2.933333 13.183765 13.893786 14.905414
3.086667 13.932983 15.051166 16.079942
3.240000 15.261940 16.265515 16.991355
3.280000 15.713527 16.618811 17.293403
3.390000 16.711425 17.645090 18.369614
3.500000 17.967001 18.695903 19.264892
3.655000 18.871835 19.785369 20.845857
3.810000 19.720380 20.937734 21.876528
3.965000 20.848190 21.959803 22.775742
4.120000 22.371028 22.912193 23.523137
