depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.175000 1.151887 4.536068 5.868503
0.225000 2.098457 5.161838 6.369620
0.275000 3.126390 5.819865 6.877567
0.375000 5.293129 6.949464 7.825905
0.450000 6.480525 7.848514 8.509408
0.525000 8.096014 8.668893 9.116465
0.555000 8.415961 8.983932 9.473087
0.605000 8.976707 9.515983 10.004709
0.655000 9.567688 10.074878 10.520757
0.705000 10.140389 10.615358 11.070562
0.725000 10.360750 10.880357 11.317579
0.755000 10.742223 11.289833 11.711183
0.805000 11.480159 12.014110 12.544750
0.855000 12.234209 12.742475 13.263833
0.905000 12.832617 13.347644 13.884941
0.955000 13.402385 13.879963 14.452041
1.005000 14.000193 14.542878 15.099276
1.055000 15.095475 15.709973 16.434250
1.075000 15.678126 16.325466 16.987654
1.105000 16.559029 17.239197 17.778153
1.155000 17.182918 17.963827 18.530504
1.205000 17.948468 18.525575 19.209366
1.305000 18.955783 19.910251 21.656150
1.405000 20.302545 21.438022 23.352400
1.505000 22.185199 23.490035 24.770311
1.605000 24.244214 25.552242 26.935273
1.705000 27.204443 28.035324 28.791372
1.755000 28.120185 29.199439 30.123145
1.805000 29.187074 30.398639 31.555251
1.905000 30.997057 33.206819 34.970298
2.005000 32.917006 36.732903 38.001546
2.105000 34.956468 39.220512 41.804912
2.205000 36.554470 41.536247 44.416707
