depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.030000 0.039419 0.285935 0.554276
0.080000 0.325114 0.662097 1.307618
0.130000 0.563954 1.046796 1.759473
0.180000 0.824283 1.455545 2.301209
0.230000 1.116542 1.896330 2.708232
0.280000 1.413282 2.311773 3.147065
0.330000 1.820594 2.711690 3.534311
0.380000 2.222183 3.150706 3.946161
0.430000 2.660819 3.548807 4.238012
0.480000 3.169951 3.895041 4.555463
0.530000 3.674565 4.253299 4.859850
0.580000 3.989497 4.562372 5.164507
0.630000 4.248046 4.872948 5.488377
0.680000 4.488569 5.172897 5.867297
0.730000 4.820492 5.540867 6.170150
0.780000 5.265745 5.862074 6.471675
0.830000 5.558906 6.196942 6.790186
0.880000 5.859998 6.521465 7.055076
0.930000 6.183924 6.859735 7.363020
0.980000 6.548304 7.255082 7.632628
1.030000 6.987579 7.589821 7.936047
1.080000 7.270798 7.843957 8.230607
1.130000 7.574480 8.119327 8.537230
1.180000 7.849935 8.386801 8.777872
1.230000 8.057177 8.633903 9.027367
1.280000 8.388806 8.889880 9.261926
1.330000 8.663831 9.174525 9.508261
1.380000 9.014966 9.429751 9.764472
1.430000 9.287327 9.711394 10.082285
1.480000 9.593092 9.990443 10.340995
1.530000 9.861188 10.289683 10.580824
1.580000 10.175981 10.568660 10.893571
1.630000 10.475088 10.837938 11.218033
1.680000 10.733942 11.102229 11.526485
1.730000 10.985582 11.380509 11.833819
1.780000 11.317941 11.711626 12.191121
1.830000 11.738385 12.194825 12.763123
1.880000 12.012083 12.665697 13.036863
1.930000 12.518483 12.992970 13.315774
1.980000 12.751636 13.274298 13.672821
2.030000 13.131638 13.575219 13.938236
2.080000 13.410845 13.844332 14.287900
2.130000 13.699221 14.162354 14.628463
2.180000 14.050975 14.446594 14.945132
2.230000 14.329238 14.798997 15.241195
2.280000 14.682171 15.161735 15.684507
2.330000 15.154945 15.656146 16.165868
2.380000 15.884073 16.332815 16.834414
2.430000 16.381083 16.992131 17.579008
2.480000 16.903783 17.542875 18.165406
2.530000 17.381738 18.047950 18.654171
2.580000 17.920537 18.556879 19.161401
2.630000 18.328640 19.011832 19.602557
2.680000 18.944141 19.518197 20.104503
2.730000 19.394214 20.074618 20.731217
2.780000 19.955915 20.696666 21.423201
2.830000 20.657299 21.285497 21.961795
2.880000 21.239150 21.904223 22.490398
2.930000 21.872572 22.590480 23.156556
2.980000 22.319553 23.162443 23.709056
3.030000 22.842680 23.652027 24.449932
3.080000 23.349215 24.173707 24.968057
3.130000 23.773873 24.697087 25.632558
3.180000 24.140538 25.189338 26.348825
3.230000 24.634060 25.687051 26.832455
3.280000 25.187918 26.162472 27.214423
3.330000 25.600984 26.586573 27.629463
3.380000 25.935456 27.044667 28.098163
3.430000 26.456437 27.535003 28.564961
3.480000 26.888044 28.075017 29.100908
3.530000 27.496308 28.592118 29.531187
3.580000 27.906755 29.063743 29.949767
3.630000 28.360193 29.527871 30.405214
3.680000 28.821426 29.922075 30.965059
3.730000 29.334825 30.383607 31.383360
3.780000 29.832420 30.901024 31.841669
3.830000 30.297262 31.363300 32.312298
3.880000 30.724045 31.866724 32.859203
3.930000 31.107545 32.353383 33.461830
3.980000 31.648983 32.822249 33.945091
4.030000 32.230786 33.239906 34.394498
4.080000 32.694522 33.716910 34.777344
4.130000 33.250746 34.214482 35.150048
4.180000 33.711297 34.648538 35.617806
4.230000 34.144545 35.186001 35.970652
4.280000 34.776409 35.682211 36.426288
