depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.140000 1.885370 3.259690 4.391227
0.160000 2.048017 3.355380 4.533099
0.240000 2.665279 3.769260 4.995838
0.320000 3.050893 4.160514 5.499271
0.360000 3.436342 4.390364 5.716588
0.420000 3.831218 4.743954 6.017282
0.480000 4.295877 5.159233 6.324719
0.560000 4.808984 5.685760 6.713635
0.640000 5.270907 6.161717 7.174952
0.720000 5.905745 6.692126 7.702794
0.790000 6.346009 7.210152 8.327733
0.800000 6.387972 7.277464 8.400711
0.840000 6.739894 7.654478 8.621502
0.940000 7.979928 8.650747 9.546896
0.980000 8.354445 8.935157 9.795004
1.000000 8.473117 9.097309 9.907624
1.020000 8.724230 9.255659 10.030710
1.040000 8.894221 9.436418 10.133892
1.060000 9.037530 9.631891 10.282655
1.100000 9.516635 9.991808 10.532667
1.120000 9.708096 10.165790 10.661571
1.130000 9.800215 10.250061 10.748572
1.140000 9.889348 10.316337 10.820007
1.160000 10.130493 10.503973 10.980424
1.180000 10.263234 10.704455 11.177087
1.200000 10.443887 10.884575 11.322939
1.220000 10.622469 11.068903 11.500921
1.260000 11.090133 11.444647 11.827011
1.300000 11.574426 11.862203 12.204579
1.320000 11.728190 12.025361 12.318475
1.340000 11.907169 12.158802 12.466831
1.360000 12.042416 12.300857 12.603201
1.380000 12.161585 12.425214 12.728491
1.400000 12.274463 12.528541 12.917952
1.460000 12.599551 12.855373 13.329548
1.480000 12.699954 12.969364 13.525995
1.500000 12.806867 13.103022 13.659684
1.540000 13.019681 13.469144 14.000934
1.560000 13.142434 13.637581 14.111225
1.620000 13.533519 14.043956 14.495256
1.660000 13.789590 14.340022 14.783360
1.680000 13.872375 14.478217 14.964241
1.700000 14.055689 14.623290 15.146789
1.720000 14.188023 14.776981 15.240114
1.780000 14.818473 15.210187 15.593740
1.820000 15.135680 15.513976 15.903716
1.840000 15.297624 15.677777 16.030187
1.860000 15.463773 15.840846 16.184293
1.900000 15.781918 16.120560 16.439030
1.940000 16.068386 16.362837 16.704085
1.980000 16.256289 16.578553 16.877060
2.020000 16.453654 16.802217 17.156892
2.060000 16.715173 17.017069 17.452998
2.100000 16.931123 17.243724 17.731806
2.180000 17.220143 17.625486 18.142697
2.220000 17.430412 17.834171 18.354150
2.260000 17.624023 18.041500 18.584670
2.300000 17.868843 18.279486 18.892147
2.340000 18.079186 18.511369 19.074572
2.420000 18.423227 19.032693 19.448720
2.440000 18.552520 19.166799 19.557818
2.460000 18.665709 19.301665 19.645574
2.480000 18.768873 19.454847 19.865637
2.500000 18.879585 19.578211 19.991469
2.520000 18.989696 19.678348 20.112164
2.620000 19.529723 20.237366 20.748948
2.640000 19.605018 20.370813 20.863239
2.660000 19.738780 20.471300 20.967746
2.780000 20.313962 21.018011 21.499425
2.860000 20.621673 21.418804 21.933849
2.900000 20.910627 21.613435 22.182081
2.980000 21.275171 22.000377 22.642439
3.060000 21.777255 22.392735 22.991818
3.100000 21.948140 22.599344 23.174546
3.120000 22.066192 22.723130 23.270417
3.140000 22.261393 22.834079 23.386551
3.180000 22.544024 23.120333 23.660399
3.220000 22.786120 23.432738 23.961451
3.260000 23.186670 23.740450 24.281002
3.300000 23.510792 24.065697 24.452334
3.320000 23.617588 24.215883 24.602780
3.340000 23.748748 24.367492 24.693447
3.360000 23.869013 24.496584 24.816060
3.400000 24.180491 24.780752 25.091629
3.420000 24.285675 24.909126 25.211609
3.440000 24.415290 25.029813 25.361651
3.460000 24.560084 25.151200 25.516832
3.480000 24.746968 25.287673 25.660558
3.500000 24.856070 25.419687 25.797923
3.520000 25.038050 25.564993 25.968230
3.540000 25.202386 25.688045 26.111790
3.580000 25.514269 25.962141 26.354310
3.620000 25.767313 26.205852 26.621521
3.660000 26.001159 26.484220 27.000209
3.700000 26.279958 26.783054 27.356820
3.720000 26.387303 26.934206 27.458456
3.780000 26.780725 27.341992 27.946937
3.840000 27.218909 27.787639 28.370754
3.860000 27.348290 27.936190 28.516273
3.880000 27.481296 28.062663 28.657787
3.900000 27.686384 28.230390 28.804773
3.940000 27.957247 28.514019 29.117962
3.980000 28.193403 28.815238 29.458988
4.020000 28.466560 29.155847 29.746553
4.060000 28.753195 29.462687 30.083282
4.100000 29.070881 29.786215 30.327141
4.140000 29.417750 30.155170 30.623874
4.160000 29.665436 30.301445 30.757752
4.200000 29.978613 30.621545 31.051923
4.220000 30.083544 30.760976 31.238971
4.240000 30.196817 30.903574 31.359310
4.300000 30.621393 31.293040 31.829246
4.380000 31.075496 31.921460 32.528811
4.460000 31.683719 32.476549 33.123071
4.480000 31.747367 32.587993 33.315599
4.500000 31.879899 32.730880 33.462312
4.520000 32.003340 32.878506 33.579551
4.580000 32.355630 33.230255 33.970071
4.620000 32.599578 33.526277 34.282008
4.660000 32.833390 33.787694 34.641097
