depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.050000 0.000513 0.048534 0.158884
0.100000 0.082280 0.176772 0.292394
0.150000 0.199281 0.302975 0.429851
0.170000 0.253050 0.363074 0.497330
0.200000 0.319419 0.453261 0.583191
0.250000 0.433326 0.562365 0.732515
0.290000 0.528348 0.672107 0.879528
0.300000 0.555989 0.704357 0.912102
0.350000 0.687040 0.849772 1.074351
0.400000 0.808696 0.990262 1.278264
0.450000 0.952691 1.131104 1.441937
0.490000 1.040522 1.249762 1.594563
0.530000 1.169989 1.363864 1.759853
0.540000 1.211495 1.405206 1.791875
0.590000 1.372046 1.598639 1.917587
0.640000 1.516518 1.785626 2.116914
0.650000 1.552134 1.821338 2.162380
0.690000 1.694182 1.997498 2.410548
0.740000 1.884800 2.223425 2.698411
0.750000 1.922582 2.260306 2.742892
0.790000 2.114200 2.517067 3.000212
0.840000 2.359257 2.895168 3.355313
0.890000 2.783426 3.228662 3.668281
0.940000 3.063694 3.483621 3.900014
0.990000 3.359920 3.719927 4.195435
1.010000 3.454829 3.819684 4.338149
1.030000 3.556921 3.920036 4.423457
1.080000 3.846966 4.179178 4.768886
1.130000 4.048719 4.438730 4.988146
1.180000 4.278506 4.678608 5.120311
1.230000 4.475371 4.950514 5.380568
1.280000 4.751777 5.225964 5.777704
1.330000 4.994884 5.498591 6.183601
1.380000 5.272252 5.790308 6.494697
1.430000 5.587933 6.107153 6.728289
1.500000 6.030196 6.540368 7.031651
1.550000 6.294264 6.841962 7.285469
1.580000 6.448057 7.014866 7.409180
1.600000 6.529371 7.104848 7.478457
1.650000 6.724538 7.309448 7.705623
1.700000 6.939783 7.494867 7.876940
1.750000 7.100689 7.684347 8.095916
1.800000 7.327807 7.859163 8.290865
1.850000 7.509253 8.084513 8.550794
1.860000 7.569019 8.133169 8.618525
1.900000 7.808004 8.407900 8.908543
2.010000 8.607766 9.244218 9.554538
2.020000 8.642324 9.304960 9.621624
2.030000 8.700891 9.356817 9.686800
2.080000 8.926391 9.572702 9.988393
2.130000 9.231996 9.808321 10.250028
2.180000 9.508744 10.080544 10.483370
2.300000 10.296903 10.759552 11.111483
2.330000 10.404256 10.900473 11.264302
2.380000 10.624461 11.122086 11.561560
2.430000 10.883649 11.342608 11.853421
2.480000 11.093374 11.606976 12.040996
2.510000 11.262124 11.778305 12.209399
2.560000 11.575521 12.063288 12.424605
2.590000 11.719531 12.249018 12.632552
2.610000 11.838662 12.327541 12.699973
2.660000 12.133188 12.549022 12.912858
2.710000 12.414265 12.737265 13.082239
2.760000 12.618754 12.950482 13.256809
2.780000 12.710300 13.037855 13.369993
2.810000 12.894732 13.200185 13.575959
2.860000 13.153563 13.498225 13.899709
2.910000 13.429691 13.861371 14.315533
3.000000 14.069257 14.535414 15.062091
3.050000 14.316860 14.866239 15.382831
3.100000 14.720542 15.216631 15.710445
3.150000 15.124849 15.610350 16.109343
3.200000 15.532525 16.091484 16.612330
3.240000 15.870802 16.510859 17.005665
3.250000 15.952901 16.576735 17.081566
3.280000 16.271114 16.854249 17.299589
3.300000 16.380742 16.992002 17.450474
3.350000 16.884601 17.432624 17.927960
3.400000 17.272870 17.811877 18.367174
3.450000 17.635134 18.250308 18.677801
3.500000 18.063213 18.718578 19.107657
3.530000 18.266159 18.913481 19.356456
3.580000 18.577505 19.247057 19.727151
3.630000 18.877101 19.584164 20.263656
3.680000 19.215865 19.935227 20.630855
3.730000 19.540520 20.243178 21.054733
3.780000 19.865866 20.602540 21.349781
3.830000 20.279708 20.953297 21.606981
3.880000 20.518264 21.331900 21.947461
3.940000 21.133838 21.747506 22.308568
3.980000 21.473404 22.033015 22.594228
4.010000 21.715176 22.252975 22.759569
4.060000 22.086772 22.602933 23.057691
4.110000 22.489838 22.915963 23.469655
4.120000 22.578326 22.976379 23.512173
4.160000 22.786692 23.215225 23.761347
4.210000 23.042003 23.573904 24.263533
4.260000 23.212763 23.931420 24.638137
4.310000 23.456564 24.300021 24.993636
4.360000 23.709088 24.689126 25.454228
4.410000 23.955436 25.095057 25.807791
4.600000 25.741417 26.954357 27.742714
4.650000 26.050723 27.325955 28.015181
4.700000 26.279315 27.648456 28.211719
4.750000 26.686550 27.934769 28.454772
4.800000 27.101794 28.181556 28.697833
4.850000 27.417050 28.418593 28.919241
4.900000 27.627162 28.648725 29.178512
4.950000 27.927593 28.854090 29.445702
5.000000 28.174116 29.057570 29.785505
5.040000 28.309908 29.213589 30.081206
5.090000 28.630642 29.405140 30.381418
5.140000 28.854302 29.633949 30.647869
5.190000 29.030009 29.847338 30.833065
5.240000 29.257934 30.079614 31.146584
5.290000 29.457918 30.299438 31.513771
5.340000 29.733990 30.502599 31.801212
5.390000 29.940892 30.744656 32.024779
5.440000 30.082944 30.964204 32.255047
5.490000 30.313498 31.247720 32.490800
5.530000 30.494473 31.449899 32.685716
5.580000 30.679165 31.727386 32.812744
5.630000 30.883127 31.952553 33.040643
5.680000 31.032612 32.214692 33.289695
5.730000 31.287993 32.493404 33.475767
5.780000 31.464309 32.691651 33.659060
5.830000 31.638807 32.964616 33.837920
5.880000 31.814173 33.233041 34.022473
5.930000 31.976299 33.446153 34.225484
6.000000 32.220939 33.769655 34.573715
6.050000 32.357561 34.030889 34.709629
6.100000 32.520466 34.312654 34.948139
6.150000 32.697829 34.492575 35.221942
6.200000 32.867888 34.709270 35.419374
6.250000 33.076181 34.921084 35.623667
6.300000 33.271647 35.145973 35.861507
6.350000 33.496628 35.411964 36.163214
