depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.000000 0.044684 2.302247 3.940370
0.050000 1.064284 2.978407 4.723194
0.100000 1.943724 3.559546 5.420664
0.150000 2.870260 4.166859 6.089291
0.200000 3.624420 4.836017 6.685120
0.250000 4.244866 5.667959 7.363426
0.300000 5.123500 6.673681 8.285247
0.350000 5.956806 7.811650 9.308433
0.400000 7.224082 8.881805 10.014753
0.450000 8.794651 10.000347 10.799421
0.500000 10.244260 11.050356 11.491269
0.520000 10.689340 11.361522 11.859020
0.540000 11.220314 11.797674 12.257615
0.560000 11.687916 12.217667 12.726754
0.580000 11.961024 12.634827 13.235112
0.600000 12.305698 12.971319 13.596241
0.620000 12.518317 13.230941 13.858674
0.640000 12.849008 13.503540 14.064301
0.660000 13.081363 13.768732 14.279962
0.680000 13.414969 14.078473 14.568626
0.700000 13.856263 14.543895 15.003105
0.720000 14.877846 15.463264 15.930203
0.740000 15.383544 15.887916 16.257868
0.760000 15.850348 16.281492 16.684158
0.780000 16.428379 16.927570 17.378300
0.800000 16.954967 17.372456 17.884611
0.820000 17.334456 17.796304 18.406231
0.840000 17.615336 18.151690 18.915977
0.860000 17.914423 18.482434 19.238084
0.880000 18.139608 18.761513 19.650311
0.900000 18.419477 19.099517 19.913662
0.920000 18.644670 19.450052 20.268337
0.940000 19.032368 19.829182 20.676435
0.960000 19.340832 20.242811 21.015372
0.980000 19.789862 20.577248 21.300949
1.000000 20.199740 20.918365 21.501358
1.020000 20.393799 21.190853 21.773841
1.030000 20.580572 21.336222 21.895710
1.040000 20.706591 21.481305 22.004793
1.060000 20.897717 21.715404 22.218211
1.080000 21.257276 21.958730 22.441375
1.100000 21.501883 22.200583 22.781413
1.120000 21.898706 22.520290 23.125070
1.140000 22.235234 22.814950 23.434245
1.160000 22.633143 23.142039 23.735408
1.180000 22.938942 23.456136 23.971703
1.200000 23.231214 23.762039 24.184795
1.220000 23.479874 24.065603 24.521266
1.240000 23.666797 24.299635 24.763701
1.280000 24.111700 24.793765 25.299791
1.300000 24.351490 25.032399 25.482974
1.320000 24.572071 25.290301 25.717291
1.340000 24.866731 25.538738 25.928161
1.360000 25.142845 25.789122 26.302446
1.380000 25.336193 26.047230 26.676170
1.400000 25.663109 26.317513 27.136639
1.420000 25.875241 26.591708 27.445032
1.440000 26.051999 26.890886 27.760750
1.460000 26.322417 27.195834 28.253354
1.480000 26.588467 27.559257 28.666790
1.500000 26.799494 27.999449 29.102398
1.520000 27.250344 28.406554 29.545946
1.540000 27.443115 28.895726 29.887791
1.560000 27.816486 29.410549 30.249181
1.580000 28.187138 29.798225 30.494133
1.600000 28.774059 30.156530 30.822640
1.620000 29.420526 30.489334 31.093190
1.640000 29.890369 30.882688 31.583635
1.660000 30.461776 31.270890 32.071842
1.680000 30.848128 31.681650 32.614770
1.700000 31.275738 32.122033 33.082116
1.720000 31.592704 32.474342 33.483146
1.740000 31.870095 32.828055 33.835687
1.760000 32.217027 33.249905 34.134869
1.780000 32.594952 33.647782 34.435079
1.800000 33.039413 34.001706 34.717564
1.820000 33.413832 34.355112 34.995736
1.840000 33.802727 34.740407 35.310691
1.860000 34.289624 35.127692 35.670878
1.880000 34.849655 35.503342 36.055238
1.900000 35.268299 35.896995 36.546185
1.920000 35.704298 36.327782 36.985941
1.940000 36.185491 36.801218 37.526182
1.960000 36.629779 37.278725 37.790076
1.980000 37.102514 37.712733 38.182793
2.000000 37.458389 38.133923 38.685001
2.020000 37.841621 38.528503 39.156579
2.040000 38.230263 38.969649 39.613074
2.060000 38.608253 39.358030 40.207489
2.080000 38.909694 39.722126 40.597768
2.100000 39.238918 40.043171 41.111587
2.120000 39.663227 40.404878 41.558846
2.140000 40.012676 40.761329 41.995402
2.160000 40.291547 41.190747 42.401500
2.180000 40.556559 41.612795 42.988890
2.200000 40.939888 42.032794 43.457604
2.260000 42.453279 43.470594 45.047245
2.285000 43.032282 44.030522 45.469186
2.300000 43.284942 44.410048 45.707793
2.320000 43.732852 44.771822 45.996730
2.350000 44.314530 45.313641 46.308635
2.395000 45.460204 46.079783 46.849595
2.400000 45.522349 46.149751 46.903435
2.420000 45.766538 46.426095 47.186430
2.440000 46.005602 46.704444 47.456044
2.465000 46.327908 47.023967 47.780925
2.505000 46.944941 47.571893 48.236570
2.520000 47.148390 47.801766 48.446983
2.550000 47.518793 48.298910 49.270238
2.600000 48.176513 49.313031 50.870799
2.620000 48.505943 49.856688 51.333618
2.650000 49.101506 50.603733 51.727451
2.680000 49.894885 51.339031 52.213059
2.700000 50.212297 51.831401 52.618093
2.710000 50.394010 52.025988 52.764950
2.730000 50.920832 52.297872 53.071297
2.780000 52.120094 52.922902 53.562901
2.820000 52.820533 53.430950 54.010686
2.830000 52.969655 53.567695 54.196878
2.875000 53.544318 54.067482 54.731785
2.900000 53.878933 54.412694 55.028057
2.920000 54.089889 54.695368 55.390331
2.965000 54.619620 55.387840 56.627284
3.000000 55.111320 56.046290 57.280848
3.020000 55.437741 56.423391 57.570274
3.070000 56.639215 57.503393 58.146022
3.090000 57.186224 57.882958 58.386008
3.115000 57.695145 58.248884 58.676324
3.135000 58.151662 58.540655 58.871539
3.160000 58.496076 58.833586 59.168587
3.180000 58.748411 59.073341 59.400722
3.200000 58.996902 59.294062 59.634094
3.250000 59.498557 59.831568 60.239362
3.270000 59.701804 60.066981 60.472226
3.290000 59.889906 60.296179 60.755565
3.315000 60.116168 60.580878 60.981315
3.335000 60.314149 60.803787 61.211460
3.360000 60.548990 61.099054 61.521414
3.385000 60.837778 61.405101 61.924199
3.400000 61.117773 61.590000 62.144857
3.430000 61.577146 62.013242 62.458159
3.450000 61.790647 62.328632 62.689315
3.475000 62.191634 62.699208 63.390266
3.500000 62.569552 63.048056 64.051928
3.520000 62.795450 63.365312 64.445137
3.540000 63.019116 63.668678 64.918058
3.565000 63.309497 64.091669 65.429014
3.585000 63.547068 64.472193 65.748877
3.600000 63.769114 64.736113 66.052369
3.610000 63.956798 64.893053 66.181564
3.630000 64.281431 65.320376 66.466669
3.655000 64.661309 65.841313 66.976399
3.675000 65.090102 66.290586 67.389601
3.720000 66.338257 67.365641 68.297300
3.740000 66.707857 67.828590 68.641219
3.765000 67.183757 68.278736 69.060710
3.785000 67.545424 68.641385 69.322657
3.790000 67.614967 68.728053 69.403199
3.810000 68.155695 69.056641 69.621658
3.830000 68.764281 69.441954 69.875073
3.855000 69.262947 69.882551 70.228769
3.875000 69.559807 70.166865 70.429685
3.920000 70.342712 70.875197 71.785637
3.930000 70.585611 71.052923 72.037960
3.940000 70.765344 71.253365 72.186455
3.965000 71.071952 71.798101 72.565693
4.035000 72.073393 72.938515 74.175521
