depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.525000 8.163863 8.830524 9.389626
0.590000 8.971967 9.679520 10.316302
0.655000 9.868576 10.418032 11.023424
0.705000 10.608007 11.068187 11.610621
0.755000 11.169271 11.663268 12.071591
0.805000 11.709822 12.204439 12.695023
0.855000 12.239279 12.800960 13.224952
0.905000 12.773236 13.333614 13.886394
0.955000 13.398558 13.856767 14.573254
1.005000 13.969173 14.599017 15.459801
1.055000 14.922050 15.928360 17.024149
1.105000 16.124006 17.179541 17.771589
1.155000 16.932454 17.871410 18.688919
1.205000 17.778034 18.460860 19.299823
1.280000 18.618037 19.547402 21.110050
1.355000 19.499289 20.727434 22.430169
1.430000 20.696439 22.096173 23.654728
1.505000 22.756840 23.689680 24.971335
1.571667 24.004112 25.174564 26.828320
1.638333 25.324206 26.700833 28.122666
1.705000 27.418465 28.216168 29.229345
1.788333 28.625542 30.195166 32.215744
1.871667 30.045538 32.266390 35.161855
1.955000 31.281218 34.207907 37.635401
2.038333 32.482162 36.501392 39.909421
2.121667 33.750664 38.440728 42.451439
2.205000 35.085441 40.566291 44.292589
