depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.500000 11.558442 12.318415 13.084016
0.550000 12.497440 13.272684 14.328214
0.600000 13.655491 14.366939 15.117048
0.660000 14.682207 15.525035 16.269650
0.720000 15.794398 16.552151 17.162387
0.760000 16.228219 17.006942 17.623225
0.800000 16.793389 17.461548 18.197807
0.866667 17.682563 18.469784 19.871231
0.933333 18.837925 19.959890 21.054221
1.000000 20.459693 21.165785 21.733854
1.066667 21.240696 22.199987 22.928462
1.133333 22.200439 23.030029 23.799902
1.200000 23.258154 23.890572 24.513951
1.270000 24.002134 24.688573 25.523320
1.340000 24.783560 25.550152 26.295933
1.410000 25.642215 26.576990 28.038569
1.480000 26.542347 27.695165 29.251027
1.550000 27.978573 29.122743 30.234502
1.620000 29.586918 30.555587 31.255687
1.700000 31.214153 32.389208 33.508138
1.773333 32.333617 33.865304 35.391774
1.846667 33.527104 35.151375 36.652012
1.920000 35.078288 36.507574 38.032205
1.980000 36.099576 37.493996 38.972861
2.040000 36.619620 38.445705 40.097020
2.100000 37.519889 39.369868 41.219116
