depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.175000 1.046350 4.053597 6.164762
0.225000 2.082549 4.842025 6.552871
0.275000 2.917514 5.601171 6.979230
0.375000 5.068323 6.980549 7.905082
0.450000 6.597689 7.934579 8.584407
0.525000 8.231595 8.800110 9.304356
0.555000 8.591224 9.142889 9.663373
0.605000 9.099048 9.731790 10.329570
0.655000 9.708802 10.325278 10.838991
0.705000 10.244567 10.941086 11.485744
0.725000 10.565946 11.190185 11.737015
0.755000 11.014398 11.573506 12.135999
0.805000 11.651912 12.200978 12.656040
0.855000 12.349663 12.799561 13.231806
0.905000 12.909832 13.317740 13.885187
0.955000 13.475130 13.884533 14.546010
1.005000 14.047700 14.741223 15.488532
1.055000 15.143967 16.170379 17.060082
1.075000 15.567160 16.648659 17.412852
1.105000 16.445649 17.344438 17.985232
1.155000 17.106281 17.984148 18.795503
1.205000 17.979997 18.565915 19.406004
1.305000 18.870303 19.982458 21.573218
1.405000 20.146100 21.601373 23.115803
1.505000 22.584299 23.556790 24.832482
1.605000 24.384254 25.863782 27.311196
1.705000 27.456685 28.193984 29.056358
1.755000 28.400884 29.349084 30.591053
1.805000 28.936403 30.449324 32.174885
1.905000 30.901509 32.970889 35.158431
2.005000 32.599966 35.555035 38.258925
2.105000 33.919079 38.296216 40.841204
2.205000 35.831841 40.710313 43.750570
