depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.000000 0.197300 2.425992 4.918277
0.050000 0.983573 3.226715 5.550983
0.100000 1.930549 4.021437 6.109486
0.150000 2.693056 4.786521 6.850002
0.200000 3.894610 5.799119 8.045708
0.250000 4.394984 6.740732 8.668005
0.300000 5.829220 7.813518 9.494523
0.350000 6.918292 8.911902 10.335539
0.400000 8.006246 9.862936 10.992493
0.450000 9.443701 10.909783 11.776900
0.500000 11.138082 11.960912 12.521222
0.520000 11.551938 12.372566 12.923893
0.540000 12.032718 12.744363 13.346020
0.560000 12.452532 13.147710 13.857819
0.580000 12.986376 13.580082 14.169131
0.600000 13.554722 14.014484 14.505675
0.620000 13.831832 14.398728 14.946781
0.640000 14.223048 14.787204 15.309296
0.660000 14.563756 15.176275 15.700178
0.680000 14.913997 15.574758 16.117375
0.700000 15.423003 15.972201 16.495800
0.720000 15.885932 16.451437 16.970017
0.740000 16.183416 16.758806 17.233822
0.760000 16.487033 17.062859 17.475377
0.780000 16.834856 17.366264 17.934377
0.800000 17.157647 17.652559 18.333890
0.820000 17.491768 17.991505 18.618697
0.840000 17.765890 18.347172 19.040564
0.860000 18.035381 18.689786 19.429034
0.880000 18.297537 19.020118 19.878002
0.900000 18.610407 19.373647 20.191036
0.920000 18.880050 19.751887 20.638566
0.940000 19.227629 20.160656 20.963532
0.960000 19.618189 20.545927 21.213785
0.980000 20.140890 20.903624 21.502023
1.000000 20.488891 21.228130 21.802797
1.020000 20.750762 21.537153 22.020600
1.030000 20.839933 21.685504 22.216647
1.040000 20.972121 21.827623 22.296282
1.060000 21.274633 22.083423 22.557715
1.080000 21.593272 22.356028 22.846045
1.100000 21.870467 22.638523 23.094115
1.120000 22.134916 22.918456 23.412227
1.140000 22.432128 23.164467 23.640518
1.160000 22.840348 23.436640 23.943932
1.180000 23.076598 23.671479 24.220897
1.200000 23.385829 23.956789 24.468788
1.220000 23.621918 24.209923 24.745506
1.240000 23.864831 24.451773 25.021285
1.280000 24.394295 24.921095 25.437594
1.300000 24.702947 25.162640 25.657816
1.320000 24.911600 25.428181 25.913275
1.340000 25.273631 25.674010 26.183715
1.360000 25.523062 25.915319 26.519580
1.380000 25.762330 26.178653 26.922403
1.400000 25.999970 26.434463 27.401200
1.420000 26.244359 26.762423 27.784980
1.440000 26.551291 27.081616 28.128982
1.460000 26.767253 27.399851 28.518258
1.480000 26.967168 27.759119 29.004376
1.500000 27.258831 28.078912 29.316693
1.520000 27.652693 28.475747 29.733315
1.540000 27.969237 28.848266 30.050260
1.560000 28.364831 29.266191 30.339720
1.580000 28.757740 29.730999 30.654377
1.600000 29.143623 30.186660 30.968598
1.620000 29.659308 30.607774 31.256659
1.640000 30.103774 31.070620 31.747427
1.660000 30.651669 31.480457 32.297624
1.680000 31.126585 31.951475 32.781667
1.700000 31.493744 32.377296 33.274855
1.720000 31.842518 32.809092 33.664755
1.740000 32.191846 33.170328 34.073343
1.760000 32.549159 33.533319 34.440146
1.780000 32.957983 33.885764 34.815475
1.800000 33.296290 34.313283 35.157128
1.820000 33.820681 34.694842 35.506452
1.840000 34.120709 35.136163 35.946049
1.860000 34.389114 35.523511 36.336286
1.880000 34.917659 35.870786 36.744095
1.900000 35.378595 36.264691 37.123749
1.920000 35.703786 36.695043 37.664940
1.940000 36.089266 37.103700 38.053282
1.960000 36.409380 37.472190 38.431634
1.980000 36.841864 37.887597 38.884300
2.000000 37.190759 38.297048 39.216287
2.020000 37.632231 38.639976 39.689366
2.040000 37.930769 39.009293 39.934178
2.060000 38.248443 39.346098 40.242821
2.080000 38.567514 39.638556 40.677043
2.100000 38.965102 39.939035 41.007550
2.120000 39.329751 40.266512 41.444679
2.140000 39.574091 40.594255 41.843637
2.160000 39.971223 40.953260 42.133383
2.180000 40.142201 41.335696 42.460495
2.200000 40.450026 41.695751 42.874750
2.260000 41.263714 43.149732 44.672272
2.285000 41.621190 43.717147 45.189316
2.300000 41.856310 43.981021 45.348857
2.320000 42.362150 44.453676 45.712004
2.350000 42.973248 45.007706 46.072376
2.395000 44.047109 45.839114 46.857275
2.400000 44.150404 45.923886 46.931844
2.420000 44.542014 46.280906 47.302024
2.440000 45.008986 46.576743 47.729861
2.465000 45.495611 46.981117 47.995361
2.505000 46.194581 47.603915 48.512323
2.520000 46.431696 47.798739 48.762198
2.550000 46.992477 48.219041 49.299775
2.600000 47.882932 48.938588 50.363708
2.620000 48.124733 49.255264 50.796894
2.650000 48.686885 49.953406 51.156486
2.680000 49.064674 50.574344 51.856899
2.700000 49.423250 50.930747 52.169409
2.710000 49.595740 51.108469 52.374178
2.730000 50.026505 51.449147 52.647707
2.780000 51.169561 52.449609 53.598145
2.820000 51.776327 53.238131 54.497348
2.830000 51.937164 53.380187 54.703130
2.875000 52.884160 54.131158 55.519082
2.900000 53.408587 54.599935 55.971337
2.920000 53.812111 55.019084 56.216885
2.965000 54.708161 55.872068 57.023662
3.000000 55.266573 56.596815 57.598652
3.020000 55.453533 56.951069 57.892245
3.070000 56.568182 57.834800 58.457229
3.090000 57.070170 58.154751 58.710805
3.115000 57.593076 58.532439 59.004474
3.135000 58.016933 58.809282 59.278054
3.160000 58.564149 59.115855 59.555640
3.180000 58.814898 59.351163 59.840423
3.200000 59.153357 59.587147 60.102702
3.250000 59.699871 60.195576 60.755547
3.270000 59.952118 60.440262 61.036980
3.290000 60.194871 60.694761 61.387272
3.315000 60.463966 61.026304 61.792047
3.335000 60.708337 61.293023 62.071464
3.360000 61.021943 61.638223 62.459358
3.385000 61.365808 61.971034 62.904117
3.400000 61.502177 62.190764 63.138356
3.430000 61.923731 62.627583 63.570706
3.450000 62.196408 62.911183 63.839797
3.475000 62.555351 63.274087 64.328248
3.500000 62.790386 63.692195 64.678889
3.520000 63.016638 63.990498 64.963227
3.540000 63.248906 64.253452 65.323960
3.565000 63.743774 64.620753 65.740788
3.585000 64.027948 64.906678 66.047885
3.600000 64.259777 65.123474 66.237325
3.610000 64.379336 65.241883 66.405757
3.630000 64.778988 65.491097 66.763346
3.655000 65.155997 65.903312 67.191840
3.675000 65.451755 66.222462 67.365369
3.720000 65.842584 67.136519 67.994653
3.740000 66.130525 67.445891 68.415723
3.765000 66.635226 67.803951 68.654470
3.785000 66.893405 68.143474 68.931949
3.790000 66.931297 68.214209 69.009329
3.810000 67.337951 68.528666 69.314030
3.830000 67.662393 68.808994 69.624157
3.855000 68.145679 69.235729 70.187390
3.875000 68.504494 69.505515 70.686762
3.920000 69.334396 70.258947 71.914339
3.930000 69.481389 70.418025 72.092757
3.940000 69.640102 70.581202 72.226111
3.965000 69.921736 71.029568 72.649741
4.035000 70.766141 72.298355 74.274276
