depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.175000 1.100525 4.169234 6.029439
0.225000 1.808879 4.950427 6.616110
0.275000 2.731240 5.629659 7.052416
0.375000 4.709025 6.910360 7.984271
0.450000 5.871712 7.793563 8.457093
0.525000 8.025823 8.647922 9.140116
0.555000 8.319337 8.985887 9.463752
0.605000 8.913558 9.519653 10.013709
0.655000 9.598589 10.065744 10.529256
0.705000 10.099540 10.616508 11.101350
0.725000 10.383295 10.857858 11.315769
0.755000 10.846732 11.292036 11.743123
0.805000 11.512721 12.010089 12.513285
0.855000 12.392896 12.741864 13.226446
0.905000 12.859058 13.323412 13.949937
0.955000 13.374007 13.842279 14.288509
1.005000 13.988837 14.474557 15.035775
1.055000 15.048439 15.668215 16.353654
1.075000 15.747246 16.254449 16.904682
1.105000 16.513655 17.167158 17.659973
1.155000 17.350990 17.866656 18.551350
1.205000 18.005621 18.500531 19.153025
1.305000 18.724817 19.808473 21.845273
1.405000 19.939468 21.433663 23.283234
1.505000 22.164756 23.280734 24.365817
1.605000 24.136675 25.503800 27.041101
1.705000 27.104016 28.062899 28.808262
1.755000 28.200403 29.160975 30.171614
1.805000 29.228601 30.414576 31.692659
1.905000 30.969347 33.109377 34.997936
2.005000 32.934319 36.735160 38.236405
2.105000 35.796033 39.098243 41.281575
2.205000 37.777526 41.440675 43.740631
