depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.000000 0.033057 2.239369 3.704026
0.050000 0.681710 2.924131 4.431199
0.100000 1.659192 3.523732 5.187678
0.150000 2.686895 4.108712 5.948299
0.200000 3.627582 4.802697 6.452431
0.250000 4.322909 5.592844 7.510223
0.300000 5.183597 6.488090 8.566337
0.350000 6.516864 7.620002 9.557096
0.400000 7.423899 8.740128 10.182134
0.450000 9.069519 9.967199 10.815721
0.500000 10.296997 11.071539 11.517892
0.520000 10.860102 11.358949 11.832541
0.540000 11.343655 11.805662 12.332643
0.560000 11.680815 12.263787 12.770809
0.580000 12.063798 12.641137 13.212979
0.600000 12.369568 12.996996 13.576716
0.620000 12.516878 13.253513 13.853443
0.640000 12.831058 13.501765 14.123351
0.660000 13.166581 13.754110 14.423912
0.680000 13.484332 14.079614 14.721906
0.700000 14.002160 14.546253 15.024145
0.720000 14.920805 15.454215 15.910211
0.740000 15.406087 15.875522 16.263864
0.760000 15.797584 16.247712 16.712597
0.780000 16.375028 16.929540 17.448429
0.800000 16.816154 17.392276 17.944685
0.820000 17.247957 17.837816 18.434234
0.840000 17.602812 18.175169 18.796391
0.860000 17.902531 18.554508 19.233002
0.880000 18.230719 18.869490 19.517347
0.900000 18.515481 19.207590 19.835954
0.920000 18.765464 19.494525 20.126956
0.940000 19.029613 19.835884 20.514560
0.960000 19.402978 20.148737 20.788216
0.980000 19.787450 20.492550 21.049652
1.000000 20.133663 20.780398 21.305713
1.020000 20.470745 21.048103 21.623867
1.030000 20.575321 21.176327 21.763565
1.040000 20.700745 21.297792 21.901778
1.060000 20.975176 21.561182 22.221994
1.080000 21.196606 21.826138 22.433566
1.100000 21.445681 22.092642 22.785974
1.120000 21.819049 22.392718 23.013670
1.140000 22.085682 22.684150 23.296211
1.160000 22.448551 23.034263 23.658530
1.180000 22.791016 23.354352 23.916873
1.200000 22.972821 23.653158 24.219279
1.220000 23.293835 23.917669 24.598070
1.240000 23.522648 24.174077 24.806370
1.280000 23.959902 24.685927 25.283936
1.300000 24.172067 24.901746 25.503826
1.320000 24.458648 25.186055 25.733889
1.340000 24.704965 25.477096 25.921353
1.360000 24.907368 25.725823 26.235262
1.380000 25.108412 25.957631 26.495051
1.400000 25.325167 26.182059 26.887781
1.420000 25.628351 26.443177 27.266612
1.440000 25.922082 26.703178 27.640513
1.460000 26.140991 26.985739 27.912380
1.480000 26.444886 27.336852 28.417414
1.500000 26.770935 27.726746 28.944294
1.520000 27.078882 28.135228 29.380760
1.540000 27.362820 28.497252 29.923869
1.560000 27.870869 28.992161 30.189041
1.580000 28.376098 29.536991 30.442771
1.600000 28.889087 29.989755 30.722039
1.620000 29.608868 30.496108 31.071427
1.640000 30.111155 30.874404 31.580498
1.660000 30.532795 31.339964 32.073878
1.680000 30.881496 31.704265 32.509022
1.700000 31.391228 32.097617 32.931842
1.720000 31.692919 32.528004 33.403024
1.740000 32.006302 32.853222 33.821097
1.760000 32.351239 33.256370 34.298938
1.780000 32.719299 33.600071 34.591947
1.800000 33.039682 33.933519 34.853064
1.820000 33.324616 34.348679 35.234939
1.840000 33.736633 34.724176 35.530135
1.860000 34.258954 35.094569 35.846930
1.880000 34.713156 35.480502 36.208217
1.900000 35.167188 35.911068 36.524503
1.920000 35.538210 36.398711 36.951627
1.940000 36.016032 36.816183 37.368197
1.960000 36.591992 37.269552 37.810888
1.980000 37.182633 37.728258 38.252473
2.000000 37.651361 38.165871 38.743118
2.020000 38.035160 38.682058 39.233027
2.040000 38.479447 39.117327 39.839452
2.060000 38.784198 39.584655 40.404306
2.080000 39.153948 40.019826 40.905116
2.100000 39.411563 40.380465 41.373364
2.120000 39.707349 40.807675 41.916350
2.140000 40.016857 41.256392 42.373606
2.160000 40.431631 41.639533 42.847548
2.180000 40.868855 42.099580 43.292566
2.200000 41.349785 42.599899 43.700377
2.260000 42.716358 44.125649 44.984745
2.285000 43.211044 44.717825 45.511822
2.300000 43.521720 45.039946 45.812623
2.320000 43.879102 45.331821 45.984682
2.350000 44.405009 45.648774 46.320200
2.395000 45.567723 46.178153 46.816894
2.400000 45.663487 46.243789 46.908570
2.420000 45.953510 46.528427 47.090205
2.440000 46.201324 46.769848 47.369712
2.465000 46.478735 47.091979 47.666357
2.505000 46.955688 47.611380 48.223596
2.520000 47.177283 47.885951 48.555571
2.550000 47.746942 48.454797 49.341413
2.600000 48.371754 49.733352 50.935234
2.620000 48.796380 50.156539 51.371767
2.650000 49.459397 50.861299 51.839285
2.680000 50.208025 51.532402 52.241171
2.700000 50.646758 51.937008 52.714344
2.710000 50.780210 52.112124 52.840285
2.730000 51.210634 52.394273 53.158797
2.780000 52.231463 53.044593 53.754663
2.820000 52.837811 53.509923 54.179139
2.830000 52.973286 53.619956 54.330780
2.875000 53.606668 54.138376 54.791370
2.900000 53.927368 54.458031 55.173963
2.920000 54.199203 54.789234 55.549220
2.965000 54.715420 55.677176 56.631681
3.000000 55.265335 56.391899 57.307324
3.020000 55.563935 56.709209 57.563191
