depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.030000 0.033001 0.165125 0.379048 0.391733 0.585911 0.897287
0.680000 5.762506 6.100564 6.385093 6.385734 6.667121 7.033995
0.980000 9.099940 9.512221 9.833667 9.841314 10.164866 10.626929
1.230000 10.812802 11.291683 11.661060 11.663410 12.067797 12.447724
1.630000 12.022154 12.541499 12.819446 12.809082 13.084195 13.478224
3.080000 18.535657 18.898957 19.200008 19.214934 19.527602 19.968466
3.430000 21.997940 22.391105 22.686004 22.692574 22.985179 23.476653
3.880000 24.599251 25.083166 25.400795 25.379458 25.675912 26.018090
4.830000 29.308772 29.845511 30.178999 30.179102 30.562720 30.900878
5.830000 34.588038 35.195594 35.721634 35.728820 36.225262 37.038432
6.630000 39.057916 40.122629 40.836316 40.758755 41.408846 41.958480
7.780000 42.287881 43.636730 45.185782 45.267308 46.888143 48.853226
