depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.245000 0.488355 0.736180 0.974377 0.986904 1.226618 1.586285
0.545000 1.429744 1.765351 2.068340 2.077067 2.386370 2.759969
1.045000 3.268345 3.644658 3.965009 3.968610 4.298222 4.703667
1.545000 4.289350 4.682648 5.013063 5.002738 5.314430 5.664602
1.545000 4.291390 4.733142 5.044790 5.032004 5.336676 5.684233
1.845000 5.654992 5.991776 6.273902 6.273469 6.553034 6.901118
2.045000 6.254000 6.579561 6.861497 6.854598 7.126843 7.424710
2.245000 7.370277 7.681011 7.936230 7.944187 8.204288 8.558260
2.845000 8.861250 9.303919 9.624812 9.629353 9.963077 10.378492
3.045000 10.874986 11.316614 11.666478 11.673812 12.052305 12.435914
3.545000 11.333852 11.784391 12.147141 12.122974 12.460062 12.752261
4.585000 14.582899 15.136617 15.486600 15.479015 15.839419 16.245260
4.595000 14.504628 15.079336 15.424696 15.414032 15.763810 16.179965
4.810000 15.040918 15.491611 15.843394 15.836395 16.181413 16.598812
5.385000 16.217659 16.631976 16.958228 16.960251 17.283581 17.720526
5.395000 16.137761 16.567381 16.904339 16.899258 17.231426 17.672115
5.605000 16.722666 17.141983 17.474425 17.469772 17.809669 18.138442
6.405000 18.240775 18.607554 18.895275 18.905844 19.217887 19.663677
6.585000 18.768139 19.106200 19.438441 19.448647 19.793239 20.213408
7.405000 21.040177 21.479490 21.839758 21.821698 22.149981 22.548089
8.000000 22.406516 22.894423 23.272366 23.273812 23.661328 24.149693
8.415000 23.394937 23.836769 24.134378 24.148956 24.488481 24.910175
9.185000 24.964465 25.363805 25.671959 25.656895 25.927363 26.309748
9.215000 24.956100 25.354566 25.668722 25.659190 25.946331 26.347997
10.120000 27.381582 27.855437 28.276326 28.278600 28.694923 29.226384
10.195000 27.596905 27.910779 28.222699 28.223889 28.536410 28.872805
10.480000 28.076724 28.681847 29.134587 29.132251 29.611953 30.052281
10.785000 28.914895 29.262518 29.565469 29.554428 29.842104 30.156140
10.795000 28.728357 29.096841 29.380644 29.377462 29.677278 29.951199
11.750000 31.205378 31.807108 32.465540 32.485810 33.158664 33.890235
11.995000 31.956543 32.609280 33.199032 33.147304 33.646805 34.097155
12.030000 32.255780 32.904187 33.293127 33.263337 33.647965 34.000617
12.160000 32.010181 32.931057 33.569175 33.503825 34.075308 34.676039
12.670000 34.732350 35.453052 36.053882 36.095332 36.735442 37.737355
12.795000 34.307247 34.876358 35.408810 35.423329 35.944797 36.699737
12.830000 35.071693 35.529054 35.887446 35.886230 36.222643 36.765890
13.360000 36.017895 37.171159 38.307420 38.248891 39.272083 40.317803
13.405000 36.133403 36.922742 37.661063 37.667791 38.458647 39.133376
13.510000 36.570042 37.121735 37.647473 37.666846 38.224063 38.799286
13.615000 37.567286 38.742949 39.452263 39.380296 40.045560 40.695742
13.785000 38.078009 39.238367 39.838808 39.783230 40.397939 40.961891
14.040000 38.075285 39.364781 40.079740 40.009903 40.715604 41.370075
14.160000 37.729869 39.442061 40.481703 40.373194 41.361482 42.122875
14.390000 39.648370 40.654267 41.330980 41.245660 41.840109 42.356936
14.740000 42.225506 42.545246 42.863817 42.948574 43.392721 44.015442
14.815000 41.720317 42.718945 43.617532 43.691990 44.640604 46.169135
14.830000 42.296649 43.194395 44.205584 44.283689 45.359332 46.850419
15.350000 45.988045 47.372403 48.697753 48.782224 50.183761 51.934614
15.405000 43.376300 45.106310 46.856064 46.922353 48.696215 51.033664
15.460000 44.809873 45.851383 46.767910 46.831272 47.798336 49.233051
15.480000 44.801120 46.591667 48.623302 48.698743 50.836253 53.219738
15.815000 44.055071 45.901983 47.783301 47.898724 49.962989 52.246157
15.980000 46.431732 48.256336 50.136446 50.214187 52.155770 54.329633
