depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.170000 0.095042 0.335885 0.558185 0.573288 0.806185 1.140654
0.290000 0.300655 0.580884 0.798326 0.816665 1.052167 1.395206
0.530000 0.505825 0.759616 0.998716 1.013130 1.256974 1.611316
0.650000 1.413156 1.755623 2.057341 2.064931 2.367427 2.763535
0.750000 0.931537 1.263780 1.532801 1.544479 1.829593 2.213663
0.890000 3.485059 3.881565 4.212580 4.211495 4.548453 4.967386
1.010000 3.426459 3.794991 4.121950 4.125767 4.455053 4.851440
1.230000 4.493082 4.884269 5.202023 5.190922 5.486490 5.843882
1.580000 6.755267 7.134550 7.394523 7.389275 7.640817 7.997441
1.860000 7.338380 7.626858 7.876307 7.889049 8.149420 8.512122
2.020000 9.169043 9.564223 9.896411 9.904391 10.234797 10.735256
2.300000 10.803057 11.269066 11.613435 11.622753 12.008365 12.431119
2.590000 12.556999 12.858743 13.106194 13.119188 13.374339 13.779213
2.780000 12.557604 12.860726 13.115323 13.126783 13.381102 13.804194
3.240000 13.891490 14.312640 14.728250 14.714453 15.091623 15.498876
3.280000 16.402650 16.834509 17.163472 17.161166 17.493713 17.891718
3.500000 18.354468 18.746529 19.025308 19.041760 19.346838 19.779753
4.120000 22.435210 22.801696 23.090142 23.099505 23.415758 23.739688
