depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.125000 0.201444 0.555081 0.858070 0.882333 1.202990 1.700674
0.298000 0.649657 0.935645 1.213717 1.229737 1.512319 1.950852
0.497500 2.383430 2.811930 3.147302 3.151037 3.490254 3.973884
0.695000 3.942063 4.522062 5.018036 4.998711 5.455663 5.987834
0.898000 5.018192 5.503210 5.837560 5.831928 6.163547 6.591995
1.110000 6.715895 7.171142 7.481612 7.475854 7.782711 8.199436
1.295000 7.634914 8.000758 8.308547 8.330010 8.671618 9.119245
1.410000 8.870593 9.389391 9.746099 9.756147 10.128646 10.640916
1.495000 9.641478 10.160970 10.545946 10.551877 10.969512 11.457259
1.695000 11.081176 11.553926 11.998880 11.970532 12.381113 12.698411
1.800000 10.849296 11.390244 11.821273 11.811170 12.252743 12.623508
1.895000 11.357652 11.913527 12.343205 12.298752 12.670502 13.038740
2.000000 11.683661 12.318076 12.734189 12.701946 13.069140 13.541244
2.085000 12.740711 13.167330 13.553368 13.597845 14.020615 14.800704
2.295000 13.333281 13.782335 14.215578 14.245373 14.731411 15.270815
2.495000 13.577864 14.031273 14.491559 14.493521 14.939091 15.457685
2.600000 13.800155 14.301008 14.831660 14.817357 15.300619 15.850587
2.800000 14.967668 15.599632 16.047692 16.034631 16.490430 16.987558
2.990000 15.528780 16.096059 16.523481 16.512042 16.928788 17.453462
3.295000 16.314917 16.895352 17.318748 17.314921 17.745917 18.211568
3.600000 17.032928 17.588992 18.067986 18.049523 18.507807 19.034191
4.000000 19.190916 19.735644 20.233844 20.238534 20.715558 21.381045
4.410000 18.173578 18.721226 19.147538 19.162230 19.625982 20.209982
5.210000 23.594002 24.093511 24.539303 24.531732 24.971814 25.483329
5.510000 21.864987 22.436424 22.846298 22.846427 23.278461 23.782165
6.310000 25.797345 26.209675 26.612123 26.605749 26.987288 27.423557
6.910000 24.658949 25.231190 25.647326 25.635016 26.030899 26.608688
