depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.030000 0.122249 0.278479 0.472267 0.487747 0.668242 0.999464
0.055000 0.228534 0.416869 0.626868 0.643488 0.864340 1.208228
0.105000 0.453558 0.709537 0.993897 1.092414 1.461635 2.269369
0.130000 0.569160 0.831130 1.199200 1.268056 1.681413 2.447486
0.205000 0.960734 1.385050 1.969584 2.117602 2.906703 3.872036
0.230000 1.087998 1.530505 2.156938 2.291557 3.090632 4.060912
0.255000 1.220738 1.700599 2.353105 2.468159 3.286197 4.284689
0.280000 1.397632 1.872891 2.535551 2.640823 3.445671 4.467581
0.305000 1.545618 2.030072 2.709987 2.813278 3.593232 4.672820
0.330000 1.675795 2.178697 2.917362 2.981630 3.766854 4.776126
0.355000 1.836376 2.343003 3.093081 3.151017 3.947633 4.912103
0.380000 2.001513 2.538470 3.312294 3.337496 4.131777 5.031184
0.455000 3.199705 3.898997 4.532084 4.497792 5.057775 5.582859
0.480000 3.441692 4.127800 4.732555 4.688162 5.233181 5.731844
0.505000 3.651241 4.353222 4.918349 4.875912 5.401477 5.881210
0.530000 3.879176 4.549652 5.098956 5.067905 5.555091 6.027606
0.555000 4.184352 4.828787 5.321636 5.281016 5.719077 6.166548
0.580000 4.521181 5.065769 5.526721 5.490208 5.912953 6.305621
0.605000 4.861292 5.322128 5.742968 5.720347 6.100097 6.470376
0.630000 5.175046 5.615044 5.969433 5.948161 6.270364 6.570089
0.655000 5.578439 5.913157 6.188651 6.176998 6.445315 6.746143
0.680000 5.912561 6.179668 6.393624 6.397920 6.627446 6.903399
0.705000 6.089119 6.360318 6.608645 6.636590 6.908529 7.303585
0.730000 6.302000 6.558231 6.816628 6.867411 7.208669 7.600361
0.755000 6.496483 6.747026 7.064668 7.102464 7.477327 7.909181
0.780000 6.696908 6.968330 7.312641 7.346188 7.729251 8.187572
0.805000 6.854504 7.171804 7.574630 7.593494 8.031800 8.471794
0.830000 7.035150 7.392377 7.834406 7.851515 8.332054 8.743731
0.855000 7.291726 7.646009 8.110133 8.121965 8.598258 9.044277
0.880000 7.551715 7.931807 8.402678 8.401302 8.880305 9.265257
