depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.000000 0.032774 0.196765 0.474324 0.470528 0.718630 0.956210
0.040000 0.135934 0.317634 0.574979 0.571240 0.807868 1.041708
0.120000 0.338269 0.548772 0.760597 0.763487 0.992761 1.182826
0.200000 0.566306 0.750822 0.953545 0.956144 1.160774 1.338087
0.245000 0.713445 0.880350 1.069048 1.076438 1.265822 1.440478
0.322500 0.912888 1.110905 1.321849 1.328663 1.543803 1.779261
0.400000 1.153223 1.353236 1.578773 1.584708 1.812856 2.074793
0.545000 1.624184 1.831134 2.048482 2.057202 2.276306 2.524548
0.600000 1.771438 1.996903 2.257132 2.262263 2.524847 2.820419
0.733333 2.081425 2.407511 2.747702 2.755778 3.114707 3.460025
0.866667 2.481545 2.874881 3.238032 3.222753 3.582374 3.887223
1.000000 3.162463 3.433893 3.727337 3.715156 3.966371 4.191994
1.045000 3.351385 3.623625 3.878775 3.865804 4.094199 4.316269
1.122500 3.575344 3.829914 4.084969 4.074189 4.314301 4.522447
1.200000 3.800485 4.020808 4.289660 4.275409 4.514685 4.743906
1.300000 4.039561 4.286185 4.536176 4.523997 4.765459 4.959369
1.400000 4.298981 4.559526 4.767847 4.764193 4.977614 5.167821
1.545000 4.805783 4.951358 5.121998 5.118659 5.280945 5.448955
1.600000 4.929052 5.102825 5.301233 5.307262 5.502473 5.754008
1.700000 5.209426 5.421073 5.671294 5.676643 5.936128 6.197866
1.800000 5.607416 5.832981 6.069360 6.066177 6.293466 6.512266
1.845000 5.858887 6.052170 6.244743 6.246347 6.441022 6.640064
1.922500 6.096037 6.323680 6.523761 6.523251 6.718466 6.953526
2.000000 6.386592 6.592325 6.791028 6.788254 6.994163 7.167272
2.045000 6.551073 6.753656 6.944223 6.945559 7.144578 7.289751
2.122500 6.826949 7.053157 7.277146 7.274759 7.499052 7.705179
2.200000 7.209577 7.423119 7.621143 7.617602 7.818610 8.028038
2.245000 7.466200 7.632554 7.808868 7.812345 7.990461 8.179447
2.322500 7.635919 7.847588 8.061247 8.072322 8.307069 8.587406
2.400000 7.826121 8.039915 8.301471 8.323498 8.607424 8.928511
2.500000 8.071881 8.332711 8.645928 8.657548 9.004581 9.301383
2.600000 8.332653 8.688967 9.013325 9.010337 9.342842 9.662576
2.700000 8.730948 9.020903 9.351185 9.349021 9.665824 9.981669
2.800000 9.174142 9.432672 9.691641 9.699694 9.959158 10.276240
2.845000 9.394236 9.615382 9.855991 9.870932 10.109885 10.450467
2.922500 9.746206 10.049263 10.366220 10.394130 10.776451 11.088026
3.000000 10.310765 10.583947 10.930728 10.907676 11.213748 11.434096
3.045000 10.591612 10.893848 11.209680 11.163429 11.397202 11.594895
3.100000 10.784841 11.075483 11.358245 11.324797 11.554328 11.734387
3.200000 11.059023 11.355926 11.590152 11.568860 11.777739 11.978652
3.300000 11.318136 11.588135 11.801252 11.790434 11.989714 12.166680
3.400000 11.552697 11.802624 11.997296 11.991176 12.175274 12.339191
3.500000 11.810727 12.026125 12.203882 12.195944 12.377600 12.508765
3.545000 11.933565 12.132713 12.307382 12.299154 12.475463 12.605911
3.600000 12.050210 12.262205 12.435485 12.431884 12.615792 12.777878
3.700000 12.289030 12.472526 12.654042 12.668113 12.850061 13.128286
3.800000 12.494380 12.680650 12.866107 12.889506 13.099489 13.445040
3.900000 12.706919 12.882527 13.054324 13.095730 13.309841 13.707597
4.000000 12.904486 13.075841 13.251564 13.294100 13.531520 13.929511
4.040000 12.990753 13.158456 13.341314 13.388174 13.637573 14.024786
4.080000 13.074437 13.243522 13.429862 13.484796 13.762702 14.133489
4.100000 13.117661 13.291253 13.474106 13.536988 13.820064 14.186158
4.120000 13.168377 13.343114 13.531870 13.588174 13.869367 14.252060
4.160000 13.255271 13.440259 13.637717 13.689705 13.976956 14.327221
4.200000 13.337584 13.544960 13.732375 13.786262 14.073985 14.412503
4.240000 13.451007 13.638697 13.840842 13.888776 14.179935 14.505766
4.280000 13.543643 13.734197 13.949745 13.996054 14.292990 14.623935
4.300000 13.599113 13.788175 14.025332 14.057802 14.351376 14.669624
4.320000 13.662300 13.863782 14.099649 14.128347 14.416152 14.712604
4.360000 13.815755 14.021879 14.274359 14.296870 14.581181 14.822769
4.400000 13.942108 14.188645 14.457772 14.451725 14.707502 14.916087
4.440000 14.191554 14.407681 14.654499 14.639101 14.871212 15.021179
4.480000 14.401422 14.605048 14.828580 14.810392 15.001079 15.152528
4.500000 14.477699 14.706815 14.907005 14.888712 15.059386 15.214849
4.520000 14.570022 14.794230 14.984269 14.967919 15.120972 15.285011
4.560000 14.868339 15.026004 15.137833 15.135528 15.239508 15.425882
4.585000 14.989624 15.123161 15.218513 15.223625 15.314569 15.512309
