depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.050000 0.005843 0.034477 0.123649 0.139048 0.244437 0.384327
0.100000 0.098166 0.170273 0.263049 0.272512 0.374016 0.497768
0.150000 0.195782 0.300342 0.392608 0.398698 0.499656 0.604280
0.170000 0.270961 0.357358 0.452836 0.455037 0.557137 0.658968
0.200000 0.345864 0.432347 0.528812 0.532116 0.634220 0.737656
0.250000 0.460092 0.553922 0.647378 0.650536 0.752509 0.859347
0.290000 0.559034 0.649304 0.744544 0.748144 0.848588 0.960529
0.300000 0.586417 0.677436 0.772618 0.775794 0.877319 0.986413
0.350000 0.693107 0.789454 0.884867 0.892747 0.998099 1.115654
0.400000 0.806306 0.894239 0.996701 1.003649 1.116827 1.238576
0.450000 0.915162 1.004823 1.105603 1.114911 1.230424 1.358670
0.490000 1.007424 1.095431 1.204443 1.212327 1.324455 1.476018
0.530000 1.096441 1.199147 1.299002 1.312657 1.436701 1.577729
0.540000 1.131384 1.229924 1.330283 1.345683 1.469767 1.609775
0.590000 1.269759 1.378581 1.497337 1.508818 1.637027 1.809744
0.640000 1.414967 1.523141 1.658045 1.672800 1.828968 1.999379
0.650000 1.446248 1.559603 1.697101 1.709658 1.866373 2.048782
0.690000 1.536885 1.667105 1.826310 1.839287 2.014744 2.198789
0.740000 1.678473 1.812538 1.995925 2.008998 2.207053 2.433442
0.750000 1.723974 1.850434 2.039339 2.054574 2.257788 2.480338
0.790000 1.921546 2.103681 2.372406 2.422813 2.755547 3.173664
0.840000 2.309862 2.632183 3.152167 3.102789 3.511347 3.809806
0.890000 3.281954 3.502890 3.729201 3.723354 3.948376 4.127041
0.940000 3.571133 3.774714 3.988579 3.979119 4.178366 4.375756
0.990000 3.827313 4.023333 4.225557 4.216435 4.398922 4.595293
1.010000 3.935125 4.122837 4.317397 4.312221 4.490483 4.697609
1.030000 4.037629 4.224554 4.414964 4.410923 4.584252 4.783534
1.080000 4.248284 4.462185 4.649388 4.652444 4.840606 5.075137
1.130000 4.470328 4.688290 4.876073 4.875374 5.064736 5.300926
1.180000 4.708826 4.888216 5.096108 5.087787 5.286739 5.473875
1.230000 4.925401 5.122557 5.309404 5.309498 5.500993 5.713452
1.280000 5.135921 5.329569 5.567099 5.568603 5.806757 6.065767
1.330000 5.321888 5.569038 5.845411 5.844696 6.113302 6.425570
1.380000 5.540545 5.826747 6.133668 6.122614 6.395349 6.676650
1.430000 5.763253 6.096343 6.420484 6.399380 6.676968 6.929251
1.500000 6.240836 6.538673 6.808454 6.790473 7.044115 7.243991
1.550000 6.595620 6.843360 7.079839 7.057965 7.258005 7.435722
1.580000 6.755002 6.996432 7.221768 7.197456 7.388231 7.552652
1.600000 6.833260 7.078951 7.300264 7.275518 7.464233 7.612171
1.650000 7.003053 7.250382 7.467712 7.449465 7.642948 7.821399
1.700000 7.187039 7.418050 7.628127 7.615808 7.815944 8.034900
1.750000 7.330224 7.563730 7.788172 7.782917 7.984521 8.239722
1.800000 7.517765 7.751444 7.958065 7.961559 8.166401 8.429820
1.850000 7.719671 7.934948 8.143635 8.156419 8.356900 8.647840
1.860000 7.772414 7.984736 8.193831 8.202669 8.411576 8.710055
1.900000 8.011103 8.228351 8.472359 8.502951 8.795877 9.125302
2.010000 9.109348 9.395088 9.632370 9.649108 9.936723 10.190763
2.020000 9.159805 9.458633 9.694567 9.706247 9.995410 10.246125
2.030000 9.227774 9.506064 9.745842 9.757747 10.041291 10.288565
2.080000 9.467619 9.734996 10.009898 10.010699 10.282658 10.556142
2.130000 9.677975 9.998333 10.279441 10.276547 10.556375 10.847467
2.180000 9.950181 10.280389 10.605798 10.581444 10.873438 11.144651
2.300000 10.891818 11.155460 11.357598 11.359405 11.573677 11.785153
2.330000 11.035979 11.304277 11.509166 11.506549 11.728836 11.936008
2.380000 11.309076 11.530140 11.746619 11.742785 11.952391 12.166446
2.430000 11.545976 11.765575 11.984435 11.976771 12.194531 12.376195
2.480000 11.801367 12.038735 12.236862 12.230270 12.442797 12.605209
2.510000 11.996961 12.209559 12.396596 12.391867 12.581799 12.733440
2.560000 12.289963 12.511037 12.676500 12.663837 12.815140 12.990748
2.590000 12.489552 12.681674 12.820086 12.817310 12.956538 13.129641
2.610000 12.562777 12.756129 12.891353 12.893929 13.042939 13.205322
2.660000 12.743937 12.888748 13.046220 13.049013 13.208791 13.392844
2.710000 12.888989 13.029034 13.180973 13.193729 13.365239 13.555444
2.760000 13.034683 13.174494 13.333270 13.347718 13.526600 13.720346
2.780000 13.107612 13.243299 13.411888 13.423091 13.606892 13.791356
2.810000 13.219896 13.375233 13.557545 13.571243 13.771928 13.979000
2.860000 13.401039 13.621906 13.833151 13.832741 14.049588 14.312468
2.910000 13.604364 13.873190 14.114593 14.120542 14.367439 14.653274
3.000000 14.028798 14.406504 14.673151 14.662919 14.924746 15.218038
3.050000 14.296198 14.651831 14.949798 14.923601 15.191923 15.447768
3.100000 14.602655 14.916402 15.228600 15.199906 15.459229 15.697783
3.150000 14.897537 15.208927 15.499569 15.481067 15.733440 15.999688
3.200000 15.202949 15.527020 15.801593 15.795153 16.048984 16.352913
3.240000 15.415766 15.785319 16.068191 16.065354 16.355647 16.686674
3.250000 15.508083 15.864741 16.137568 16.140800 16.433282 16.742403
3.280000 16.163399 16.503049 16.776596 16.769599 17.029826 17.282470
3.300000 16.314433 16.643212 16.938404 16.922275 17.195542 17.493840
3.350000 16.827663 17.127099 17.495437 17.522467 17.943775 18.327703
3.400000 17.181819 17.559073 17.998184 17.981173 18.388876 18.711452
3.450000 17.707077 18.153501 18.520516 18.486672 18.815685 19.068997
3.500000 18.414334 18.701080 18.936845 18.929084 19.156265 19.395655
3.530000 18.576603 18.869791 19.117168 19.114721 19.360917 19.627582
3.580000 18.813164 19.128060 19.401172 19.414050 19.716164 20.069510
3.630000 19.032755 19.393286 19.699501 19.722944 20.052506 20.537106
3.680000 19.299545 19.655527 20.012849 20.027964 20.403943 20.897836
3.730000 19.558713 19.935963 20.338639 20.337861 20.725265 21.206489
3.780000 19.856168 20.251057 20.660994 20.656246 21.053941 21.477771
3.830000 20.141719 20.592650 21.003518 20.993291 21.382899 21.792327
3.880000 20.484691 20.938564 21.339961 21.329409 21.736994 22.113752
3.940000 20.988576 21.372546 21.770253 21.753856 22.113396 22.487950
3.980000 21.290549 21.650551 22.026932 22.014825 22.366023 22.750157
4.010000 21.489342 21.849573 22.221520 22.209541 22.555560 22.915550
4.060000 21.940875 22.305536 22.620677 22.604735 22.905108 23.210415
4.110000 22.492531 22.739681 22.996109 22.993059 23.238576 23.498805
4.120000 22.528870 22.788317 23.050796 23.047865 23.299494 23.562349
4.160000 22.742543 23.006418 23.282882 23.298662 23.592970 23.923128
4.210000 22.914035 23.249495 23.601992 23.631892 23.993907 24.538670
4.260000 23.101863 23.529996 23.947277 23.960509 24.388624 24.972594
4.310000 23.297628 23.763470 24.251741 24.277776 24.815044 25.386824
4.360000 23.523510 23.991814 24.562257 24.581906 25.175350 25.723533
4.410000 23.736083 24.268114 24.904596 24.909813 25.522593 26.156236
4.505000 24.242961 24.872647 25.627133 25.656466 26.416304 27.222620
