depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.100000 0.230948 0.479446 0.693062 0.688357 0.909020 1.088514
0.125000 0.380454 0.596931 0.779665 0.785431 1.000380 1.160039
0.200000 0.640756 0.843035 1.019716 1.030123 1.233471 1.435065
0.298000 1.001107 1.168211 1.340279 1.354595 1.546868 1.793940
0.300000 1.005597 1.176785 1.351103 1.364336 1.555462 1.807603
0.400000 1.463761 1.761327 2.245284 2.265532 2.790351 3.202998
0.497500 2.591732 2.856570 3.196473 3.148704 3.409383 3.762605
0.500000 2.608490 2.867773 3.214015 3.163632 3.429191 3.777296
0.600000 3.127064 3.539235 4.006020 4.036716 4.575240 5.022770
0.695000 4.082694 4.473448 4.905405 4.863221 5.226180 5.487593
0.700000 4.103496 4.503474 4.933102 4.891595 5.252005 5.515051
0.800000 4.663588 5.093179 5.483882 5.456580 5.807091 6.079088
0.898000 5.502511 5.746187 6.047863 6.022819 6.251508 6.520090
0.900000 5.510164 5.753472 6.059728 6.033857 6.258803 6.526744
1.000000 5.949125 6.377115 6.688850 6.690283 7.021066 7.319386
1.100000 6.865789 7.137179 7.373900 7.359288 7.590728 7.792043
1.110000 6.905400 7.195234 7.433106 7.414790 7.637664 7.836881
1.200000 7.315249 7.643009 7.895903 7.900017 8.156974 8.477054
1.295000 7.988773 8.193848 8.415720 8.433316 8.661104 9.009015
1.300000 8.026908 8.221616 8.449095 8.462199 8.687970 9.047765
1.350000 8.522805 8.785747 9.141200 9.135664 9.475665 9.732006
1.390000 9.008097 9.288194 9.547602 9.549064 9.809565 10.025444
1.410000 9.135779 9.444150 9.693880 9.690422 9.954178 10.163577
1.450000 9.454757 9.760167 10.014963 10.016843 10.291395 10.552135
1.495000 9.894192 10.146368 10.427588 10.446617 10.765565 11.027103
1.500000 9.918646 10.172186 10.457853 10.472830 10.795756 11.056682
1.510000 9.971547 10.223348 10.507959 10.523887 10.848348 11.103346
1.550000 10.151735 10.446711 10.758910 10.763567 11.093641 11.358734
1.600000 10.410848 10.729440 11.067364 11.061274 11.385571 11.673452
1.695000 11.184168 11.427636 11.664826 11.676974 11.964742 12.161065
1.700000 11.195256 11.453798 11.686974 11.700177 11.980681 12.176085
1.800000 11.663382 11.849767 12.075681 12.071149 12.287151 12.431618
1.895000 12.014477 12.235940 12.451131 12.426276 12.602832 12.712076
1.900000 12.039230 12.253195 12.472813 12.447336 12.619993 12.726024
2.000000 12.491744 12.681167 12.860768 12.848996 13.009795 13.143429
2.085000 12.882087 13.073075 13.272405 13.282414 13.494395 13.716820
2.100000 12.940287 13.127978 13.343153 13.347919 13.566427 13.803683
2.200000 13.264861 13.480289 13.717187 13.728018 13.993479 14.255324
2.250000 13.457519 13.673833 13.930702 13.941427 14.225300 14.458171
2.295000 13.659126 13.850644 14.122035 14.133147 14.412217 14.638793
2.300000 13.679043 13.872371 14.139931 14.153490 14.437000 14.655654
2.350000 13.842202 14.055834 14.315919 14.324313 14.595063 14.810481
2.400000 14.041099 14.240536 14.509064 14.501017 14.757296 14.973999
2.450000 14.233149 14.414086 14.728417 14.693570 14.930277 15.163399
2.490000 14.406378 14.556539 14.898221 14.851521 15.080215 15.300013
2.495000 14.425563 14.572826 14.915918 14.870595 15.096518 15.324104
2.500000 14.451244 14.592998 14.931824 14.889586 15.113983 15.340779
2.550000 14.625115 14.796634 15.070783 15.050514 15.266142 15.456179
2.600000 14.814066 15.026221 15.235298 15.223346 15.422096 15.581513
2.650000 15.006792 15.221362 15.403962 15.399783 15.586734 15.752049
2.700000 15.211246 15.406813 15.587238 15.584130 15.760386 15.935989
2.750000 15.431987 15.600649 15.764615 15.763822 15.931456 16.091449
2.800000 15.597727 15.756381 15.925338 15.922833 16.096713 16.235748
2.850000 15.741444 15.907638 16.072068 16.071541 16.245756 16.392502
2.900000 15.861490 16.046829 16.203615 16.205581 16.388840 16.531422
2.950000 15.986041 16.177373 16.340511 16.341001 16.520764 16.657001
2.990000 16.106694 16.291193 16.454387 16.457449 16.641321 16.774794
2.995000 16.121012 16.307513 16.469501 16.473714 16.655478 16.791884
3.050000 16.274287 16.473795 16.638657 16.636306 16.814456 16.969926
3.100000 16.393498 16.604307 16.770701 16.770523 16.958747 17.109816
3.150000 16.533650 16.723965 16.889028 16.900750 17.105388 17.260561
3.200000 16.657036 16.852855 17.009035 17.029008 17.237524 17.421248
3.250000 16.798076 16.981025 17.129953 17.155127 17.362457 17.550969
3.295000 16.882007 17.092694 17.237257 17.268005 17.481648 17.694994
3.300000 16.902064 17.108546 17.251511 17.283774 17.497955 17.717674
3.350000 17.040032 17.243474 17.402734 17.427109 17.637052 17.861184
3.400000 17.154586 17.366833 17.541249 17.559258 17.759749 17.993290
3.450000 17.297041 17.492451 17.681869 17.690713 17.889473 18.109569
3.500000 17.443009 17.636732 17.818989 17.828820 18.023697 18.247122
3.550000 17.573253 17.770108 17.964874 17.969464 18.157410 18.390639
3.600000 17.707824 17.908971 18.105612 18.111646 18.319421 18.534494
3.700000 17.972355 18.174985 18.381191 18.396218 18.599763 18.913009
3.800000 18.251633 18.463465 18.679603 18.703919 18.942578 19.303439
3.900000 18.554724 18.757706 18.990650 19.034828 19.318341 19.748506
4.000000 18.806773 19.025154 19.294077 19.345532 19.686804 20.044699
4.100000 19.020072 19.248562 19.544046 19.585839 19.958931 20.305626
4.203333 19.234809 19.458505 19.778127 19.821483 20.205802 20.592738
4.306667 19.459110 19.688531 20.001317 20.051716 20.456943 20.855894
4.410000 19.674571 19.920791 20.256694 20.289308 20.685457 21.105127
4.543333 20.004108 20.305948 20.684896 20.736133 21.177084 21.685166
4.676667 20.408521 20.733567 21.178615 21.212876 21.692798 22.215978
4.810000 20.819399 21.169551 21.687348 21.695971 22.187469 22.754070
4.943333 21.286150 21.673839 22.222877 22.193744 22.643482 23.202312
5.076667 21.826545 22.219300 22.678184 22.679444 23.092176 23.615885
5.210000 22.299909 22.700087 23.084128 23.108792 23.484492 23.950147
5.310000 22.533295 22.919053 23.297640 23.327309 23.730785 24.128574
5.410000 22.744909 23.141774 23.500360 23.534208 23.939905 24.385456
5.510000 22.976616 23.360727 23.703162 23.744490 24.165228 24.575500
5.643333 23.288403 23.677616 24.033511 24.066008 24.459190 24.889777
5.776667 23.601522 23.993875 24.368222 24.394390 24.801339 25.222335
5.910000 23.916593 24.323464 24.720900 24.719087 25.110723 25.498224
6.043333 24.262155 24.654363 25.062381 25.045411 25.430630 25.783373
6.176667 24.591859 24.966858 25.393062 25.372176 25.735325 26.086387
6.310000 24.916281 25.300745 25.719398 25.689378 26.034316 26.409034
6.430000 25.181552 25.524251 25.948133 25.919720 26.261129 26.651582
6.550000 25.387644 25.772669 26.165867 26.150041 26.495002 26.900113
6.670000 25.564811 26.008951 26.387983 26.380740 26.725221 27.148481
6.790000 25.797460 26.271432 26.620571 26.617499 26.963952 27.401455
6.910000 26.083092 26.553987 26.881454 26.883707 27.202636 27.681656
