age(kyr) mean(permil) sigma(permil)
0.000000 3.246607 0.105421
0.100000 3.246012 0.103493
0.200000 3.246037 0.102107
0.300000 3.246484 0.101140
0.400000 3.247662 0.100772
0.500000 3.249405 0.100899
0.600000 3.251310 0.101094
0.700000 3.252900 0.101462
0.800000 3.253895 0.101780
0.900000 3.253415 0.102175
1.000000 3.251233 0.102558
1.100000 3.247853 0.102615
1.200000 3.243115 0.102417
1.300000 3.238040 0.101725
1.400000 3.233370 0.100672
1.500000 3.229685 0.099320
1.600000 3.226955 0.097583
1.700000 3.225556 0.095710
1.800000 3.224817 0.093649
1.900000 3.224385 0.091581
2.000000 3.223931 0.089691
2.100000 3.223275 0.087811
2.200000 3.222091 0.086289
2.300000 3.220607 0.084949
2.400000 3.219455 0.083931
2.500000 3.218575 0.083208
2.600000 3.218014 0.082485
2.700000 3.218419 0.081881
2.800000 3.219429 0.081287
2.900000 3.220327 0.080947
3.000000 3.221264 0.080920
3.100000 3.221703 0.080942
3.200000 3.221292 0.081309
3.300000 3.220430 0.081775
3.400000 3.218993 0.082550
3.500000 3.216837 0.083627
3.600000 3.214836 0.084787
3.700000 3.212806 0.086259
3.800000 3.210750 0.087910
3.900000 3.209129 0.089917
4.000000 3.208177 0.092305
4.100000 3.207653 0.094801
4.200000 3.208288 0.097525
4.300000 3.209789 0.100280
4.400000 3.212332 0.103142
4.500000 3.215963 0.105957
4.600000 3.220255 0.108453
4.700000 3.224576 0.110667
4.800000 3.228872 0.112515
4.900000 3.233148 0.114111
5.000000 3.237184 0.115543
5.100000 3.240782 0.116679
5.200000 3.243977 0.117688
5.300000 3.246665 0.118483
5.400000 3.248488 0.119251
5.500000 3.249431 0.119977
5.600000 3.249927 0.120513
5.700000 3.250026 0.120918
5.800000 3.249951 0.121185
5.900000 3.249629 0.121432
6.000000 3.249081 0.121599
6.100000 3.248551 0.121535
6.200000 3.248130 0.121360
6.300000 3.247932 0.120948
6.400000 3.248805 0.120311
6.500000 3.250870 0.119542
6.600000 3.253455 0.118570
6.700000 3.257057 0.117569
6.800000 3.261310 0.116566
6.900000 3.265784 0.115840
7.000000 3.270368 0.115479
7.100000 3.275210 0.115477
7.200000 3.279836 0.116025
7.300000 3.284380 0.117163
7.400000 3.288666 0.119064
7.500000 3.292766 0.121701
7.600000 3.297014 0.124881
7.700000 3.301951 0.128744
7.800000 3.307231 0.133041
7.900000 3.313248 0.137695
8.000000 3.320214 0.142463
8.100000 3.327749 0.147104
8.200000 3.336011 0.151500
8.300000 3.345005 0.155376
8.400000 3.354585 0.158588
8.500000 3.364489 0.160966
8.600000 3.374314 0.162497
8.700000 3.383717 0.163168
8.800000 3.392648 0.163000
8.900000 3.400926 0.162067
9.000000 3.408684 0.160606
9.100000 3.416100 0.158783
9.200000 3.422457 0.156840
9.300000 3.428387 0.154975
9.400000 3.434072 0.153539
9.500000 3.438939 0.152573
9.600000 3.443362 0.151979
9.700000 3.447995 0.151802
9.800000 3.452662 0.151914
9.900000 3.457946 0.152198
10.000000 3.464122 0.152560
10.100000 3.470924 0.152860
10.200000 3.478729 0.153091
10.300000 3.487265 0.153072
10.400000 3.496371 0.152828
10.500000 3.506695 0.152202
10.600000 3.517967 0.151030
