depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.015000 0.012859 0.082946 0.241225 0.270326 0.444411 0.725899
0.235000 0.464882 0.734440 0.974675 0.986538 1.230992 1.574061
0.465000 2.552615 2.955575 3.265733 3.267883 3.580208 3.980207
0.645000 3.065925 3.465062 3.781278 3.788826 4.119938 4.547921
0.935000 7.862052 8.193175 8.475369 8.495075 8.811165 9.212970
1.095000 10.576504 11.073695 11.434490 11.434864 11.809362 12.279153
1.145000 10.942760 11.381899 11.763917 11.756819 12.146243 12.494414
1.215000 11.231535 11.665845 12.048869 12.028017 12.388400 12.691624
1.255000 11.309138 11.781172 12.159582 12.126134 12.466575 12.739741
1.315000 11.587302 12.078967 12.442147 12.405076 12.707791 13.057051
1.545000 13.760638 14.196321 14.632315 14.624988 15.035000 15.518125
1.625000 14.029838 14.453346 14.887401 14.866011 15.245145 15.667650
1.730000 15.004377 15.526813 15.927345 15.914323 16.309071 16.785008
1.865000 15.134336 15.601743 15.970135 15.964282 16.329837 16.765726
2.015000 15.606693 16.015724 16.347997 16.343628 16.675996 17.045226
2.265000 16.533458 17.039074 17.402215 17.396588 17.773090 18.162502
2.315000 16.778007 17.169356 17.493292 17.484433 17.798390 18.119514
2.405000 17.155543 17.551418 17.884308 17.868273 18.161786 18.537888
2.465000 17.929194 18.348733 18.674567 18.678159 19.004683 19.445969
2.565000 18.095255 18.408706 18.710112 18.715051 18.999725 19.408855
2.785000 19.708615 20.197854 20.555211 20.563843 20.922053 21.471622
2.865000 19.504496 19.913147 20.230768 20.227000 20.533192 20.948393
3.065000 20.747159 21.112176 21.452161 21.447367 21.772667 22.116899
3.145000 21.331519 21.894997 22.239034 22.229097 22.587606 22.969197
3.465000 23.565314 24.053583 24.442154 24.443605 24.835905 25.299690
3.465000 23.499825 23.953619 24.332289 24.341507 24.733337 25.201632
3.705000 25.215277 25.729104 26.069306 26.083332 26.477286 26.931320
3.905000 27.060739 27.455665 27.804739 27.831129 28.226999 28.704538
4.145000 28.886670 29.296618 29.674875 29.663242 29.995356 30.509234
4.145000 29.216665 29.715722 30.071108 30.069062 30.442995 30.817194
4.225000 29.379582 30.035692 30.446045 30.439225 30.848444 31.395386
4.505000 31.742784 32.443425 33.205237 33.144870 33.772748 34.349533
