depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.015000 4.687896 5.134558 5.497430 5.482718 5.824435 6.224783
0.095000 6.250570 6.625842 6.946110 6.935853 7.236654 7.575080
0.255000 8.559697 9.025518 9.410559 9.423353 9.828027 10.331407
0.355000 9.931105 10.479503 10.928059 10.947724 11.431596 12.061261
0.455000 9.661036 10.200157 10.607305 10.615457 11.037435 11.613507
0.555000 10.783528 11.334286 11.779511 11.778212 12.256477 12.647814
0.655000 12.671712 13.058860 13.383284 13.424779 13.786811 14.467055
0.755000 13.955573 14.717042 15.323727 15.295490 15.871433 16.510560
0.835000 15.845853 16.418556 16.841067 16.834473 17.261424 17.765250
0.875000 16.154190 16.766862 17.237960 17.224996 17.698211 18.170827
0.995000 17.119642 17.673741 18.098262 18.086442 18.507722 18.983362
1.145000 18.282860 18.827827 19.280182 19.292741 19.777582 20.339086
1.305000 19.531876 20.110335 20.557899 20.560976 21.023317 21.620155
1.545000 22.210353 22.828761 23.308533 23.310573 23.779484 24.457931
1.655000 23.542010 24.258004 24.848463 24.834265 25.418035 26.072218
1.665000 24.300148 24.935377 25.418549 25.392432 25.822525 26.417219
1.755000 23.469145 24.182117 24.769091 24.752511 25.330421 25.906061
1.765000 24.343460 24.955548 25.388665 25.364293 25.757585 26.293771
1.995000 26.780669 27.418204 27.859988 27.881626 28.369952 28.957463
2.255000 28.177409 29.001998 29.617982 29.612371 30.230655 30.937163
2.525000 30.999343 31.817355 32.720296 32.722133 33.619211 34.581291
