depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.015000 0.008023 0.053725 0.163461 0.182173 0.308494 0.444687
0.056667 0.164049 0.248492 0.365451 0.380549 0.519035 0.663888
0.098333 0.332145 0.430678 0.552481 0.569299 0.715120 0.866243
0.140000 0.527482 0.604835 0.736914 0.752281 0.890317 1.071891
0.187500 0.704608 0.814116 0.944168 0.957630 1.096949 1.297952
0.235000 0.903615 1.022276 1.166986 1.179183 1.332336 1.536178
0.281000 1.107878 1.258759 1.449918 1.503989 1.763395 2.151488
0.327000 1.335504 1.533033 1.834732 1.886528 2.273107 2.607728
0.373000 1.611209 1.877571 2.295504 2.288957 2.674666 2.927020
0.419000 2.014150 2.371615 2.716154 2.691486 2.993524 3.220848
0.465000 2.530170 2.847938 3.072699 3.062371 3.295347 3.495379
0.510000 2.834029 3.100470 3.340504 3.327572 3.556428 3.781527
0.555000 3.084012 3.333408 3.573027 3.571432 3.808380 4.055375
0.600000 3.368019 3.572444 3.823087 3.827168 4.073975 4.319661
0.645000 3.656724 3.887191 4.130924 4.134409 4.380712 4.658882
0.693333 4.090048 4.392055 4.777842 4.818080 5.271903 5.665350
0.741667 4.569533 5.025487 5.550612 5.544961 6.037339 6.541916
0.790000 5.263659 5.748358 6.265870 6.287329 6.819610 7.312755
0.838333 6.063436 6.557142 7.044764 7.040533 7.533604 7.987977
0.886667 6.995348 7.341948 7.801763 7.782241 8.192629 8.565956
0.935000 8.108059 8.316889 8.537646 8.556473 8.812301 9.065183
0.975000 8.586396 8.855665 9.211228 9.209134 9.540567 9.843054
1.015000 9.151001 9.510628 9.886338 9.871887 10.227076 10.588599
1.055000 9.881256 10.160849 10.508235 10.514835 10.869875 11.197527
1.095000 10.665468 10.928627 11.187950 11.164611 11.387493 11.560626
1.120000 10.940385 11.180203 11.422260 11.399274 11.600397 11.769122
1.145000 11.215248 11.407944 11.610793 11.598795 11.784102 11.926711
1.180000 11.462953 11.647979 11.817240 11.814424 11.991293 12.132789
1.215000 11.662531 11.855008 12.011324 12.008819 12.170248 12.304576
