depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.015000 5.057048 5.336990 5.595638 5.603073 5.873913 6.134684
0.020000 5.119761 5.401491 5.673359 5.671878 5.937880 6.203424
0.057500 5.691283 5.944838 6.259794 6.253666 6.562496 6.832836
0.095000 6.380089 6.618270 6.879735 6.873208 7.125021 7.344623
0.135000 6.831949 7.154051 7.515460 7.556887 7.933100 8.592489
0.175000 7.255473 7.740378 8.208409 8.214471 8.702346 9.128019
0.215000 7.865822 8.456192 8.874729 8.835221 9.232978 9.549690
0.255000 8.805569 9.143159 9.397799 9.396090 9.662916 9.906127
0.305000 9.301185 9.650095 9.918938 9.905223 10.164166 10.423027
0.355000 9.790820 10.074017 10.344176 10.333785 10.584429 10.822825
0.388333 10.018496 10.305948 10.571733 10.566991 10.818800 11.084349
0.421667 10.289668 10.540642 10.786312 10.794048 11.038906 11.341180
0.455000 10.524727 10.770032 11.020746 11.024037 11.259539 11.574248
0.488333 10.785506 11.033272 11.286192 11.297012 11.558517 11.891070
0.521667 11.068034 11.327698 11.582464 11.595331 11.880558 12.163000
0.555000 11.388235 11.669022 11.946786 11.951655 12.250231 12.478838
0.605000 11.977957 12.290941 12.641344 12.634081 12.958379 13.278004
0.655000 12.883905 13.122926 13.392048 13.401268 13.672500 14.017242
0.705000 13.454581 13.879949 14.351208 14.374696 14.880394 15.409169
0.755000 14.521181 14.985922 15.388554 15.364251 15.735377 16.132054
0.795000 15.257734 15.731766 16.109721 16.092688 16.457228 16.769275
0.835000 16.217946 16.481717 16.729036 16.718474 16.959055 17.178879
0.875000 16.627102 16.930423 17.153522 17.146693 17.364407 17.590984
0.915000 16.967620 17.257079 17.496797 17.494279 17.737537 17.969947
0.955000 17.326545 17.564638 17.813116 17.813179 18.059368 18.310029
0.995000 17.628695 17.875918 18.103520 18.114442 18.372605 18.603688
1.032500 17.900915 18.144346 18.399847 18.400856 18.645665 18.942023
1.070000 18.188552 18.415629 18.673196 18.687301 18.959505 19.263225
1.107500 18.467670 18.700446 18.963517 18.973899 19.253134 19.537588
1.145000 18.726896 18.986820 19.260011 19.263690 19.527668 19.815158
1.185000 18.985992 19.304971 19.583255 19.592584 19.863421 20.247302
1.225000 19.315315 19.614957 19.892824 19.914460 20.218375 20.649276
1.265000 19.676127 19.956557 20.222508 20.252066 20.570069 21.016979
1.305000 20.045005 20.303594 20.587672 20.615862 20.928987 21.334919
1.353000 20.393838 20.710452 21.077383 21.125378 21.521249 22.217346
1.401000 20.747815 21.159852 21.610406 21.663842 22.202652 22.777507
1.449000 21.205255 21.678521 22.203668 22.217756 22.753469 23.234857
1.497000 21.748118 22.349630 22.806746 22.797834 23.273214 23.652831
1.545000 22.703682 23.052829 23.439044 23.412451 23.744610 24.091186
1.581667 23.170714 23.520182 23.895467 23.878692 24.207109 24.485638
1.618333 23.634860 24.023170 24.320025 24.309939 24.608829 24.884065
1.655000 24.184039 24.469832 24.713571 24.710978 24.956488 25.169299
1.665000 24.324670 24.568447 24.803231 24.804356 25.044824 25.263437
1.710000 24.643284 24.873757 25.107108 25.107775 25.337310 25.555031
1.755000 24.966334 25.178333 25.418263 25.408180 25.625013 25.816813
1.765000 25.056917 25.281796 25.510163 25.496324 25.705837 25.905401
1.811000 25.403014 25.640323 25.908957 25.940807 26.238420 26.678956
1.857000 25.778499 26.018594 26.346602 26.383657 26.759875 27.226067
1.903000 26.133435 26.425114 26.795933 26.827715 27.236558 27.647041
1.949000 26.573129 26.889990 27.238057 27.261352 27.645340 28.079681
1.995000 27.040875 27.338364 27.682046 27.697101 28.075146 28.443498
2.038333 27.351938 27.671052 28.059230 28.062273 28.439567 28.832185
2.081667 27.663347 27.987285 28.408975 28.409714 28.815135 29.225004
2.125000 27.953405 28.328499 28.740733 28.753256 29.170913 29.613870
2.168333 28.350127 28.669387 29.073887 29.091566 29.497847 30.014298
2.211667 28.680948 29.008604 29.407965 29.431133 29.857320 30.316230
2.255000 29.057971 29.368665 29.755998 29.779046 30.189158 30.658138
2.300000 29.398249 29.730490 30.138339 30.172468 30.613510 31.214532
2.345000 29.702602 30.055741 30.535101 30.584603 31.092020 31.700081
2.390000 30.063371 30.427092 30.952361 31.009959 31.593992 32.344967
2.435000 30.420812 30.807340 31.346220 31.428004 32.057529 32.815737
2.480000 30.795055 31.234586 31.813013 31.872959 32.518341 33.248329
2.525000 31.165502 31.643808 32.249146 32.312717 32.988896 33.670049
2.572500 31.509620 32.047223 32.698239 32.768819 33.484887 34.226121
2.620000 31.858317 32.457386 33.184312 33.232186 34.065181 34.758584
