depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.015000 0.012807 0.084645 0.242803 0.274249 0.446211 0.744152
0.235000 0.456440 0.728767 0.965760 0.977649 1.220930 1.572314
0.465000 2.558704 2.946379 3.260009 3.266698 3.578479 4.017500
0.645000 3.031706 3.449366 3.779215 3.782125 4.118620 4.539897
0.935000 7.859502 8.190176 8.473198 8.490534 8.810247 9.181542
1.095000 10.575283 11.069766 11.425485 11.432995 11.805929 12.291429
1.145000 10.925700 11.375078 11.755271 11.753168 12.150169 12.506318
1.215000 11.229379 11.657671 12.051211 12.023560 12.387511 12.663366
1.255000 11.306297 11.769606 12.150383 12.117602 12.456552 12.768379
1.315000 11.617847 12.081654 12.452389 12.407340 12.706903 13.054632
1.545000 13.759973 14.185899 14.625624 14.616699 15.031430 15.509824
1.625000 14.014516 14.447577 14.888123 14.860372 15.244304 15.673566
1.730000 15.027577 15.534098 15.933736 15.929929 16.325790 16.816481
1.865000 15.103266 15.582079 15.969328 15.958436 16.335134 16.775237
2.015000 15.578204 16.003272 16.334873 16.333186 16.673447 17.041087
2.265000 16.508631 17.032656 17.404077 17.397077 17.780428 18.186252
2.315000 16.784294 17.166765 17.491729 17.487047 17.805772 18.127826
2.405000 17.170883 17.552014 17.876234 17.863218 18.156456 18.530341
2.465000 17.956793 18.339376 18.666465 18.667449 18.988365 19.446641
2.565000 18.064377 18.398874 18.704523 18.703378 18.996392 19.382831
2.785000 19.688471 20.187327 20.564376 20.567151 20.935343 21.486116
2.865000 19.527051 19.908698 20.223445 20.222133 20.524386 20.927466
3.065000 20.734353 21.101241 21.456907 21.444826 21.778986 22.110589
3.145000 21.348466 21.896609 22.241895 22.228118 22.579171 22.959305
3.465000 23.589304 24.042949 24.433095 24.439458 24.841180 25.309407
3.465000 23.458371 23.949009 24.337807 24.341860 24.741785 25.197918
3.705000 25.204554 25.727425 26.081892 26.088445 26.474960 26.949948
3.905000 27.057779 27.449760 27.812139 27.831492 28.226229 28.668481
4.145000 28.892559 29.291413 29.668556 29.657183 29.989916 30.474248
4.145000 29.223302 29.716127 30.075110 30.070563 30.444312 30.834444
4.225000 29.354814 30.030100 30.444259 30.430930 30.837575 31.393179
4.505000 31.729084 32.453747 33.214155 33.146136 33.760961 34.329573
