depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.015000 4.664745 5.145608 5.501577 5.485052 5.816349 6.212231
0.095000 6.265697 6.617467 6.942718 6.929011 7.224571 7.543973
0.255000 8.556397 9.031659 9.407269 9.417076 9.818726 10.336353
0.355000 9.910035 10.458699 10.933221 10.943647 11.420860 12.060778
0.455000 9.681938 10.192849 10.610190 10.614525 11.041074 11.632060
0.555000 10.751223 11.324254 11.786811 11.768622 12.234412 12.619547
0.655000 12.611811 13.041850 13.383096 13.412860 13.780630 14.442001
0.755000 13.989818 14.718843 15.332884 15.301183 15.860152 16.459525
0.835000 15.829888 16.384217 16.825695 16.815176 17.245783 17.791428
0.875000 16.179935 16.775047 17.243287 17.233192 17.710961 18.176654
0.995000 17.124858 17.666006 18.104807 18.086013 18.498942 18.943391
1.145000 18.259267 18.826179 19.271170 19.286687 19.773320 20.378144
1.305000 19.535612 20.116393 20.569461 20.572886 21.030964 21.630800
1.545000 22.251287 22.843182 23.310917 23.318688 23.792764 24.472715
1.655000 23.473109 24.239218 24.836116 24.819216 25.403214 26.051177
1.665000 24.255699 24.952686 25.413682 25.396873 25.828374 26.453246
1.755000 23.454961 24.200374 24.779639 24.759723 25.325622 25.914971
1.765000 24.365627 24.952482 25.388166 25.366784 25.762591 26.309483
1.995000 26.804157 27.406836 27.854687 27.873341 28.360683 28.916231
2.255000 28.115450 29.007872 29.617106 29.605508 30.226397 30.926245
2.525000 30.991785 31.843735 32.751958 32.741884 33.632429 34.547246
