depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.015000 0.012813 0.072369 0.207385 0.219798 0.356281 0.525110
0.056667 0.200461 0.295295 0.431175 0.443223 0.585158 0.776127
0.098333 0.376364 0.492126 0.635130 0.648861 0.801607 1.026279
0.140000 0.556015 0.682639 0.840390 0.852366 1.017509 1.266198
0.160000 0.647855 0.775928 0.935956 0.952761 1.120312 1.377522
0.197500 0.822519 0.959416 1.131515 1.142746 1.325592 1.565338
0.235000 0.993300 1.136473 1.330872 1.341138 1.540658 1.764584
0.240000 1.018929 1.165867 1.363743 1.372573 1.572991 1.807391
0.280000 1.223745 1.411029 1.622474 1.632994 1.867234 2.080936
0.320000 1.433523 1.646170 1.888067 1.895266 2.158361 2.410214
0.360000 1.666950 1.897227 2.162746 2.164258 2.424713 2.673816
0.390000 1.855695 2.090848 2.377491 2.368984 2.636126 2.883584
0.420000 2.059462 2.305001 2.572196 2.574817 2.834347 3.097005
0.465000 2.360545 2.627524 2.869046 2.875755 3.129183 3.385354
0.480000 2.438973 2.727747 2.962350 2.970190 3.226245 3.474521
0.520000 2.682257 2.964141 3.185802 3.203517 3.466733 3.755254
0.560000 2.922149 3.205285 3.423123 3.436701 3.696481 3.993804
0.600000 3.171814 3.463310 3.661963 3.688156 3.927738 4.297637
0.640000 3.510024 3.730520 3.924386 3.962276 4.200530 4.607923
0.645000 3.554103 3.774632 3.966430 4.004298 4.245159 4.668446
0.682500 3.811667 4.118663 4.418468 4.455863 4.814927 5.170934
0.720000 4.146640 4.507134 4.940245 4.949284 5.377637 5.845115
0.755000 4.451097 4.962894 5.434896 5.438474 5.930684 6.359251
0.790000 4.846472 5.432171 5.938280 5.930142 6.433755 6.925743
0.800000 4.949289 5.531539 6.050939 6.045729 6.566844 7.038128
0.840000 5.774350 6.221060 6.717113 6.712799 7.158631 7.660906
0.887500 6.859417 7.204731 7.617979 7.630360 8.053538 8.430632
0.935000 7.982009 8.265487 8.504384 8.529194 8.821777 9.143527
0.940000 8.031851 8.322862 8.571660 8.588586 8.880581 9.194628
0.980000 8.704585 8.997215 9.325086 9.332857 9.654172 10.013204
1.000000 8.999600 9.297739 9.612210 9.611807 9.908808 10.302633
1.020000 9.279548 9.581350 9.888730 9.894037 10.202912 10.532650
1.040000 9.595646 9.866011 10.168554 10.178729 10.492116 10.800596
1.060000 9.893206 10.171850 10.471009 10.477932 10.794886 11.067420
1.095000 10.702040 10.946628 11.188982 11.169726 11.377077 11.584639
1.100000 10.748058 10.991791 11.236752 11.222215 11.432785 11.642318
1.120000 10.986895 11.213476 11.430165 11.416660 11.613293 11.776300
1.130000 11.103289 11.310120 11.513553 11.503514 11.700782 11.846055
1.140000 11.204100 11.393384 11.585216 11.581687 11.782784 11.914935
1.145000 11.238666 11.423734 11.620900 11.617878 11.817920 11.946358
1.160000 11.347478 11.540823 11.708151 11.714465 11.907341 12.060948
1.180000 11.473737 11.672961 11.825101 11.838536 12.022214 12.178656
1.200000 11.613075 11.789856 11.949519 11.961005 12.149562 12.288631
1.215000 11.712898 11.884916 12.036966 12.052474 12.242237 12.393460
1.220000 11.747223 11.916886 12.069499 12.083742 12.275475 12.419192
1.255000 11.978165 12.114937 12.280728 12.283599 12.473950 12.595082
1.260000 12.012931 12.146284 12.311737 12.315656 12.505644 12.620458
1.300000 12.235384 12.389322 12.556702 12.564742 12.756181 12.893351
1.315000 12.334554 12.487093 12.656845 12.669382 12.864592 13.043939
1.320000 12.367550 12.516176 12.692110 12.705730 12.898592 13.097155
1.340000 12.486817 12.649719 12.839515 12.855746 13.069497 13.291407
1.360000 12.599805 12.781346 12.983971 13.009512 13.244644 13.510070
1.380000 12.724674 12.914709 13.144466 13.166573 13.419239 13.710206
1.400000 12.840152 13.049797 13.304385 13.322807 13.599125 13.902950
1.430000 13.039979 13.256705 13.532434 13.554390 13.859954 14.205023
1.460000 13.229473 13.468800 13.783321 13.789819 14.114325 14.451707
1.480000 13.372935 13.603824 13.937643 13.946376 14.279458 14.583711
1.500000 13.530789 13.766115 14.099208 14.102001 14.433651 14.709062
1.540000 13.870373 14.089594 14.409377 14.411393 14.738069 14.974474
1.545000 13.904352 14.130267 14.439697 14.447984 14.778871 15.004827
1.560000 14.007042 14.239711 14.534054 14.543274 14.875207 15.080791
1.590000 14.175086 14.427633 14.711120 14.717725 15.040372 15.198997
1.620000 14.352623 14.601555 14.878469 14.880994 15.187737 15.330369
1.625000 14.382281 14.631595 14.908549 14.907910 15.209947 15.354862
1.660000 14.572271 14.821958 15.080981 15.076796 15.346471 15.485661
1.680000 14.677042 14.937816 15.180969 15.176083 15.429640 15.572003
1.700000 14.771353 15.044088 15.287811 15.275477 15.521478 15.649715
1.730000 14.916608 15.186788 15.442074 15.416171 15.643840 15.762814
1.755000 15.025761 15.300661 15.552299 15.525187 15.745433 15.854892
1.780000 15.139667 15.410192 15.666359 15.632029 15.845885 15.949726
1.820000 15.285968 15.567562 15.843593 15.794775 16.005459 16.117286
1.840000 15.385578 15.657130 15.931519 15.884747 16.088865 16.192898
1.860000 15.474379 15.744724 16.029454 15.975417 16.182314 16.293784
1.865000 15.498866 15.764071 16.055399 15.998319 16.206956 16.311634
1.900000 15.690141 15.907546 16.176796 16.132241 16.337392 16.446652
1.940000 15.849353 16.057599 16.313425 16.279062 16.488196 16.605502
1.980000 15.994107 16.212711 16.431710 16.420259 16.639283 16.749789
2.015000 16.132059 16.338362 16.547566 16.549214 16.771327 16.898803
2.020000 16.154832 16.360173 16.569303 16.571269 16.794990 16.922373
2.060000 16.350742 16.518714 16.716467 16.718864 16.925357 17.055951
2.100000 16.516528 16.673593 16.865675 16.866881 17.071455 17.217765
2.140000 16.682060 16.824559 17.004458 17.012143 17.210164 17.370878
2.180000 16.850695 16.973584 17.144699 17.157069 17.348604 17.512097
2.220000 16.999687 17.126272 17.289425 17.304087 17.478729 17.685371
2.260000 17.155018 17.276282 17.431831 17.451201 17.629993 17.814915
2.265000 17.176840 17.296984 17.453103 17.473847 17.648087 17.842368
2.300000 17.347458 17.467980 17.614281 17.625449 17.785453 17.980943
2.315000 17.415224 17.539491 17.681705 17.694674 17.850821 18.054678
2.340000 17.540766 17.659458 17.796434 17.810279 17.958254 18.150216
2.372500 17.693420 17.812152 17.944393 17.956786 18.102368 18.293782
2.405000 17.849969 17.963083 18.093028 18.104226 18.236932 18.440454
2.420000 17.919623 18.036237 18.165786 18.177680 18.312765 18.518239
2.440000 18.028540 18.141329 18.268953 18.279766 18.418270 18.611987
2.465000 18.152415 18.274043 18.394476 18.406079 18.546263 18.714022
2.480000 18.220266 18.346101 18.469443 18.481432 18.628665 18.785865
2.500000 18.309898 18.438012 18.569631 18.579395 18.728939 18.873192
2.520000 18.413273 18.535849 18.665765 18.677595 18.822489 18.973658
2.565000 18.590592 18.746585 18.892371 18.895980 19.050324 19.206444
2.592500 18.735750 18.875182 19.036633 19.040066 19.200737 19.396409
2.620000 18.868784 19.012490 19.187690 19.188055 19.353645 19.568781
2.640000 18.962717 19.123036 19.291493 19.298843 19.474630 19.696774
2.660000 19.065934 19.223212 19.398954 19.406311 19.592052 19.798944
2.701667 19.280178 19.448874 19.614528 19.628178 19.818896 20.017189
2.743333 19.514782 19.660326 19.839837 19.846781 20.030520 20.225896
2.785000 19.722855 19.879276 20.048919 20.063304 20.255794 20.415322
2.822500 19.905821 20.080037 20.222931 20.246270 20.442933 20.602193
2.860000 20.086740 20.266314 20.407368 20.429765 20.626156 20.778050
2.865000 20.115405 20.292331 20.432077 20.455685 20.652037 20.798819
2.900000 20.289624 20.467797 20.622420 20.636452 20.826754 21.000697
2.940000 20.500272 20.663511 20.830876 20.842376 21.033393 21.245409
2.980000 20.684557 20.866855 21.036354 21.049518 21.230937 21.502224
3.020000 20.897913 21.076680 21.253975 21.267026 21.453993 21.749652
3.060000 21.094306 21.291772 21.488097 21.496361 21.687688 22.010399
3.065000 21.121805 21.318881 21.528718 21.530014 21.718270 22.047195
3.100000 21.341634 21.517120 21.781205 21.774071 22.019727 22.287476
3.120000 21.457091 21.635022 21.931935 21.924590 22.196042 22.467520
3.140000 21.564487 21.747667 22.088447 22.074035 22.363304 22.636894
3.145000 21.598672 21.779175 22.127193 22.110819 22.402091 22.690339
3.180000 21.794378 21.981807 22.351626 22.348879 22.683511 22.966975
3.220000 21.972253 22.209561 22.625342 22.617629 22.982968 23.341437
3.260000 22.197212 22.466954 22.885785 22.884292 23.286960 23.622683
3.300000 22.433094 22.722053 23.173726 23.161436 23.586470 23.872999
3.320000 22.546687 22.867862 23.329574 23.306946 23.725271 23.998540
3.340000 22.689764 23.020176 23.469566 23.454427 23.876440 24.136219
3.360000 22.838004 23.213524 23.619810 23.601957 24.000646 24.264635
3.400000 23.207636 23.532695 23.899947 23.885171 24.231622 24.492804
3.420000 23.397481 23.712944 24.053141 24.035669 24.354561 24.576831
3.440000 23.607301 23.880411 24.195719 24.183645 24.486905 24.717778
3.465000 23.844286 24.078391 24.380218 24.369998 24.652748 24.860465
3.480000 23.947192 24.179995 24.497992 24.481050 24.768344 24.959655
3.500000 24.069876 24.317403 24.645815 24.628498 24.912223 25.181036
3.520000 24.188495 24.465744 24.785808 24.773684 25.066731 25.369191
3.540000 24.330804 24.621944 24.938862 24.925333 25.216944 25.517803
3.580000 24.595955 24.919103 25.227531 25.218396 25.506860 25.871318
3.620000 24.880025 25.210932 25.505888 25.510063 25.813372 26.210882
3.660000 25.184026 25.524958 25.778970 25.806328 26.111613 26.484811
3.700000 25.623119 25.830098 26.056819 26.102832 26.414645 26.754996
3.705000 25.646770 25.872874 26.097112 26.141952 26.460810 26.797075
3.720000 25.759612 25.991557 26.215565 26.264666 26.569559 26.906204
3.750000 25.956807 26.210191 26.488271 26.519510 26.856834 27.200721
3.780000 26.181256 26.441561 26.745641 26.771469 27.110330 27.456575
3.810000 26.390379 26.686886 27.024338 27.026261 27.347746 27.732289
3.840000 26.677218 26.939154 27.279006 27.283103 27.604575 28.040843
3.860000 26.828693 27.103121 27.438142 27.451510 27.775364 28.211316
3.880000 27.010641 27.279162 27.598817 27.620083 27.965042 28.387932
3.900000 27.167857 27.442508 27.762711 27.787665 28.136419 28.518454
3.905000 27.212893 27.482830 27.804883 27.829296 28.173485 28.555471
3.940000 27.478791 27.783382 28.109540 28.124657 28.456640 28.854782
3.980000 27.759948 28.105408 28.445043 28.455931 28.820599 29.142660
4.020000 28.062260 28.436814 28.813403 28.802528 29.168950 29.455080
4.060000 28.414214 28.815693 29.164104 29.142722 29.476986 29.730644
4.100000 28.803378 29.199050 29.498451 29.474786 29.746884 29.974612
4.140000 29.350371 29.572057 29.836536 29.817129 30.035637 30.227925
4.145000 29.379738 29.618660 29.876416 29.858152 30.073529 30.262759
4.160000 29.479678 29.742922 29.993968 29.978637 30.196477 30.387581
4.200000 29.726469 30.049936 30.310567 30.301429 30.537505 30.807748
4.225000 29.880087 30.233144 30.523007 30.508548 30.781699 31.041847
4.240000 29.972908 30.351893 30.639535 30.639686 30.948560 31.237639
4.270000 30.211858 30.580337 30.922411 30.919759 31.264751 31.583961
4.300000 30.379606 30.806684 31.205376 31.195255 31.581330 31.967403
4.340000 30.677511 31.123472 31.571016 31.559831 31.996262 32.412838
4.380000 30.992765 31.432377 31.937733 31.919513 32.390262 32.807898
4.420000 31.380141 31.783257 32.293913 32.277776 32.765227 33.189172
4.460000 31.674601 32.133086 32.634147 32.616270 33.090056 33.495655
4.480000 31.832081 32.276932 32.800914 32.780479 33.247891 33.659438
4.500000 32.042103 32.426180 32.949795 32.930630 33.403409 33.800930
