depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.015000 5.110205 5.408429 5.698757 5.695072 5.983406 6.280634
0.020000 5.182483 5.486358 5.772765 5.765975 6.051329 6.324478
0.050000 5.678161 5.932699 6.221265 6.220898 6.489644 6.756014
0.095000 6.397145 6.663475 6.905088 6.907601 7.158433 7.410040
0.120000 6.723831 7.010606 7.316968 7.328670 7.646534 8.046081
0.150000 7.036154 7.419322 7.792316 7.811236 8.232010 8.653172
0.180000 7.426149 7.850929 8.288976 8.283245 8.701300 9.058393
0.215000 7.922264 8.465929 8.852469 8.823122 9.193989 9.530145
0.250000 8.632262 9.023870 9.338567 9.323964 9.634662 9.915318
0.255000 8.705103 9.095617 9.402341 9.388463 9.693639 9.967192
0.280000 8.987428 9.362352 9.681585 9.674911 9.997153 10.270377
0.317500 9.393364 9.720371 10.079840 10.063028 10.386023 10.654218
0.355000 9.734824 10.059780 10.434338 10.422256 10.772980 11.029776
0.380000 9.945888 10.267832 10.657102 10.633975 10.984381 11.251957
0.420000 10.273256 10.561284 10.976270 10.955046 11.322976 11.586897
0.450000 10.502267 10.798679 11.215165 11.200305 11.573175 11.822037
0.455000 10.544239 10.843240 11.258284 11.245061 11.624273 11.856722
0.480000 10.799990 11.099131 11.475311 11.474216 11.850355 12.077714
0.520000 11.142363 11.493689 11.837912 11.838744 12.211305 12.400919
0.550000 11.465667 11.784928 12.124059 12.127825 12.484779 12.677255
0.555000 11.529114 11.848022 12.178581 12.185221 12.535802 12.732040
0.580000 11.849219 12.172093 12.539618 12.516641 12.844653 13.124496
0.620000 12.371857 12.711585 13.058128 13.054953 13.369417 13.861834
0.650000 12.827303 13.158684 13.458599 13.496325 13.806293 14.467106
0.655000 12.895665 13.236015 13.536419 13.575711 13.894906 14.544044
0.680000 13.286828 13.652646 14.025686 14.066322 14.492699 15.052318
0.720000 13.989154 14.404217 14.864355 14.853281 15.303073 15.635093
0.750000 14.540657 14.991469 15.401267 15.372429 15.758939 16.025782
0.755000 14.605875 15.083973 15.476686 15.452143 15.831762 16.092128
0.780000 15.087983 15.584731 15.929239 15.879838 16.169248 16.360378
0.820000 16.034717 16.266511 16.481426 16.478991 16.701530 16.908981
0.835000 16.231486 16.455565 16.663904 16.664885 16.878301 17.085017
0.850000 16.388848 16.616392 16.829347 16.827605 17.050231 17.256063
0.875000 16.575292 16.839057 17.057956 17.055544 17.277836 17.536862
0.880000 16.618726 16.881386 17.101818 17.100553 17.323588 17.583253
0.920000 16.896183 17.188623 17.424196 17.425771 17.667533 17.915847
0.950000 17.111259 17.436720 17.679680 17.675671 17.910652 18.190091
0.980000 17.408460 17.670362 17.938344 17.936161 18.176998 18.492156
0.995000 17.540742 17.801975 18.075996 18.074288 18.333951 18.648784
1.020000 17.726039 18.006514 18.288352 18.299234 18.596008 18.940637
1.050000 17.977080 18.275778 18.562536 18.575220 18.897913 19.230775
1.080000 18.207124 18.526104 18.821037 18.841754 19.174465 19.517053
1.120000 18.535136 18.866231 19.164557 19.188796 19.550153 19.872137
1.145000 18.740056 19.085266 19.383575 19.410660 19.782518 20.084920
1.150000 18.784243 19.131899 19.435951 19.457263 19.827966 20.142207
1.180000 19.055170 19.373599 19.697820 19.722114 20.096704 20.419184
1.220000 19.394018 19.700430 20.021715 20.062292 20.435200 20.778177
1.250000 19.669945 19.942622 20.291441 20.320220 20.700463 21.053413
1.280000 19.925238 20.195091 20.552468 20.579495 20.980223 21.342493
1.305000 20.146286 20.419511 20.779111 20.808730 21.226750 21.612380
1.320000 20.266423 20.544846 20.922533 20.960023 21.401030 21.779201
1.350000 20.515915 20.801557 21.251958 21.266230 21.722676 22.059494
1.380000 20.763213 21.069346 21.596646 21.577238 22.046005 22.415307
1.420000 21.106401 21.467459 22.005258 21.984615 22.467558 22.840204
1.450000 21.418331 21.785223 22.358495 22.299053 22.749726 23.108596
1.480000 21.707082 22.155075 22.675143 22.611055 23.005025 23.399068
1.520000 22.159463 22.676769 23.091242 23.032854 23.350058 23.750256
1.545000 22.516971 23.012295 23.350510 23.314114 23.586952 23.982749
1.550000 22.601924 23.074880 23.402782 23.371312 23.638652 24.036974
1.580000 22.983982 23.437675 23.708637 23.701227 23.962978 24.340611
1.620000 23.570057 23.891233 24.089847 24.124062 24.394308 24.774818
1.650000 23.919639 24.197230 24.371347 24.434933 24.757793 25.089628
1.655000 23.980498 24.242192 24.415025 24.485528 24.815372 25.128393
1.665000 24.133941 24.338279 24.507876 24.579284 24.911377 25.221795
1.680000 24.255010 24.461178 24.638968 24.704175 25.025296 25.320810
1.720000 24.617197 24.771110 24.951018 25.011462 25.305229 25.541311
1.750000 24.861257 25.014399 25.191969 25.246330 25.511452 25.758403
1.755000 24.910977 25.054328 25.240752 25.291069 25.552594 25.796524
1.765000 24.998786 25.142828 25.342747 25.383198 25.638458 25.869818
1.780000 25.099975 25.275615 25.507154 25.528227 25.776652 26.029468
1.820000 25.404004 25.609474 25.887815 25.898360 26.170038 26.471802
1.850000 25.626897 25.873076 26.171766 26.180484 26.471460 26.819938
1.880000 25.862024 26.161818 26.447499 26.467718 26.774224 27.152943
1.920000 26.227255 26.553839 26.841654 26.858764 27.180853 27.531193
1.950000 26.507849 26.829672 27.126845 27.142440 27.456593 27.826367
1.980000 26.869345 27.130951 27.424787 27.437912 27.739711 28.106542
1.995000 27.016857 27.276937 27.570026 27.589455 27.895687 28.268644
2.020000 27.252375 27.505816 27.798284 27.819041 28.139917 28.503225
2.050000 27.497076 27.756146 28.072903 28.084240 28.418576 28.800434
2.080000 27.736514 27.995244 28.338381 28.348477 28.683954 29.089903
2.120000 28.001462 28.312498 28.673988 28.685020 29.046318 29.431746
2.150000 28.226299 28.574026 28.924035 28.939099 29.303558 29.728245
2.180000 28.445575 28.826387 29.182855 29.187927 29.558624 29.985008
2.220000 28.718145 29.147393 29.518292 29.523465 29.892017 30.348901
2.250000 28.959394 29.405754 29.770684 29.785091 30.157578 30.651964
2.255000 28.996821 29.457009 29.818933 29.832544 30.208882 30.684527
2.280000 29.178971 29.709534 30.057407 30.074197 30.463024 30.953102
2.320000 29.529788 30.055324 30.434750 30.460516 30.899594 31.361302
2.350000 29.765029 30.322100 30.714169 30.753273 31.259520 31.760491
2.380000 30.029586 30.578527 31.001179 31.040790 31.554923 32.152919
2.420000 30.337175 30.902412 31.373588 31.416653 31.974128 32.561157
2.450000 30.693582 31.149600 31.667737 31.708819 32.274863 32.903769
2.480000 30.929303 31.425627 31.960881 32.007133 32.585396 33.198711
2.520000 31.286270 31.769288 32.400732 32.404588 33.042831 33.646741
2.525000 31.327690 31.822985 32.446874 32.455967 33.091662 33.701492
2.550000 31.577298 32.081965 32.720849 32.711186 33.367939 33.984616
2.580000 31.836903 32.360529 33.021645 33.027504 33.722033 34.312108
2.620000 32.191547 32.699570 33.457855 33.452217 34.175184 34.830971
