age(kyr) mean(permil) sigma(permil)
0.000000 3.155075 0.143662
0.100000 3.154141 0.139316
0.200000 3.153206 0.134816
0.300000 3.152270 0.130143
0.400000 3.151312 0.125293
0.500000 3.150057 0.120434
0.600000 3.147891 0.116027
0.700000 3.144578 0.112380
0.800000 3.140243 0.109561
0.900000 3.135133 0.107582
1.000000 3.129872 0.106218
1.100000 3.125420 0.105480
1.200000 3.122497 0.105209
1.300000 3.120992 0.105235
1.400000 3.120748 0.105246
1.500000 3.121175 0.105076
1.600000 3.122104 0.104882
1.700000 3.123010 0.104711
1.800000 3.124021 0.104449
1.900000 3.124920 0.104059
2.000000 3.125995 0.103586
2.100000 3.127343 0.103213
2.200000 3.129011 0.102965
2.300000 3.130631 0.102782
2.400000 3.132421 0.102671
2.500000 3.134414 0.102490
2.600000 3.136248 0.102465
2.700000 3.137922 0.102453
2.800000 3.139631 0.102533
2.900000 3.141108 0.102608
3.000000 3.142031 0.102690
3.100000 3.142401 0.103020
3.200000 3.142105 0.103534
3.300000 3.141164 0.104157
3.400000 3.139843 0.104795
3.500000 3.138490 0.105432
3.600000 3.137219 0.106205
3.700000 3.136272 0.107179
3.800000 3.135925 0.108324
3.900000 3.136225 0.109600
4.000000 3.137186 0.110859
4.100000 3.139135 0.112231
4.200000 3.142120 0.113720
4.300000 3.145810 0.115123
4.400000 3.150123 0.116363
4.500000 3.154901 0.117417
4.600000 3.160549 0.118433
4.700000 3.166831 0.119297
4.800000 3.173756 0.119993
4.900000 3.181363 0.120572
5.000000 3.189469 0.120961
5.100000 3.198339 0.121415
5.200000 3.207849 0.121752
5.300000 3.217823 0.121915
5.400000 3.227850 0.121906
5.500000 3.238255 0.121665
5.600000 3.248388 0.121252
5.700000 3.258281 0.120695
5.800000 3.267849 0.120252
5.900000 3.277243 0.119957
6.000000 3.286234 0.119905
6.100000 3.294994 0.120384
6.200000 3.303649 0.121501
6.300000 3.312332 0.122987
6.400000 3.321098 0.124684
6.500000 3.330075 0.126555
6.600000 3.339714 0.128646
6.700000 3.349770 0.130646
6.800000 3.360577 0.132623
6.900000 3.371892 0.134537
7.000000 3.383585 0.136219
7.100000 3.395324 0.137840
7.200000 3.407186 0.139520
7.300000 3.418716 0.141243
7.400000 3.429772 0.143100
7.500000 3.440281 0.145183
7.600000 3.449835 0.147594
7.700000 3.458682 0.150451
7.800000 3.466967 0.153718
7.900000 3.474879 0.157345
8.000000 3.482346 0.161259
8.100000 3.489294 0.165508
8.200000 3.495964 0.169959
8.300000 3.502182 0.174646
8.400000 3.508047 0.179516
8.500000 3.513434 0.184491
8.600000 3.518174 0.189610
8.700000 3.521882 0.194876
8.800000 3.524929 0.200189
8.900000 3.527578 0.205505
9.000000 3.530043 0.210846
9.100000 3.532423 0.216243
9.200000 3.534696 0.221792
9.300000 3.537087 0.227607
9.400000 3.539557 0.233748
9.500000 3.542661 0.240257
9.600000 3.547014 0.247231
9.700000 3.552870 0.254627
9.800000 3.560129 0.262389
9.900000 3.568973 0.270473
10.000000 3.579195 0.278843
10.100000 3.591088 0.287461
10.200000 3.604691 0.296335
10.300000 3.619614 0.305591
10.400000 3.635623 0.315258
10.500000 3.652029 0.325199
10.600000 3.668600 0.335048
10.700000 3.685094 0.343941
10.800000 3.701176 0.350903
10.900000 3.716607 0.355473
11.000000 3.731472 0.357876
11.100000 3.745870 0.358393
11.200000 3.759623 0.357188
11.300000 3.773099 0.354474
11.400000 3.786500 0.350480
11.500000 3.800087 0.345489
11.600000 3.814189 0.339991
11.700000 3.828819 0.334283
11.800000 3.844152 0.328507
11.900000 3.860179 0.322909
12.000000 3.876646 0.317477
12.100000 3.893558 0.311836
12.200000 3.910911 0.305450
12.300000 3.928654 0.298379
12.400000 3.946306 0.291314
12.500000 3.963832 0.284585
12.600000 3.981053 0.278216
12.700000 3.998073 0.272521
12.800000 4.014665 0.268259
12.900000 4.030795 0.266034
13.000000 4.046668 0.266061
13.100000 4.061931 0.268286
13.200000 4.076403 0.272572
13.300000 4.090151 0.278442
13.400000 4.103233 0.285250
13.500000 4.115813 0.292217
13.600000 4.127972 0.298460
13.700000 4.140031 0.303334
13.800000 4.152312 0.306538
13.900000 4.165188 0.308071
14.000000 4.178564 0.308089
14.100000 4.192263 0.306878
14.200000 4.206802 0.304630
