depth(m) lower_95.4(kyr) lower_68.2(kyr) median(kyr) mean(kyr) upper_68.2(kyr) upper_95.4(kyr)
0.015000 0.013073 0.083664 0.239159 0.272169 0.443344 0.751991
0.235000 0.473520 0.732297 0.975169 0.989277 1.229602 1.613464
0.465000 2.541371 2.950256 3.261897 3.267318 3.581152 4.033871
0.645000 3.012953 3.451093 3.773833 3.784705 4.124175 4.583415
0.935000 7.871947 8.194945 8.479034 8.499353 8.815029 9.241029
1.095000 10.594726 11.080383 11.427341 11.435938 11.812500 12.319430
1.145000 10.967574 11.397450 11.763629 11.766360 12.154149 12.504316
1.215000 11.224415 11.653682 12.049981 12.025586 12.391579 12.693423
1.255000 11.312326 11.784579 12.158827 12.129559 12.471044 12.753929
1.315000 11.534331 12.064978 12.446680 12.398691 12.707428 13.051517
1.545000 13.760005 14.190743 14.625195 14.625034 15.051138 15.541168
1.625000 14.016315 14.463079 14.887517 14.869319 15.251056 15.688937
1.730000 14.994319 15.542456 15.939191 15.929302 16.321009 16.817558
1.865000 15.056085 15.584846 15.975063 15.964068 16.339917 16.833327
2.015000 15.569256 16.000821 16.340625 16.335786 16.669753 17.058268
2.265000 16.494301 17.034946 17.394084 17.390613 17.764179 18.192378
2.315000 16.790221 17.178838 17.499458 17.492774 17.804056 18.149974
2.405000 17.126437 17.536896 17.879500 17.861009 18.161043 18.547832
2.465000 17.921756 18.343456 18.673195 18.675568 19.002486 19.446808
2.565000 18.087323 18.405223 18.709894 18.713667 19.001639 19.421944
2.785000 19.711185 20.202059 20.566873 20.575024 20.931679 21.519076
2.865000 19.494113 19.917421 20.231261 20.230141 20.541236 20.956465
3.065000 20.702607 21.096989 21.450278 21.442989 21.783309 22.139459
3.145000 21.341746 21.885345 22.239933 22.225359 22.584306 22.977407
3.465000 23.539881 24.033068 24.425906 24.431674 24.837211 25.311372
3.465000 23.505893 23.959954 24.331994 24.344459 24.738733 25.219266
3.705000 25.151518 25.725818 26.081132 26.086852 26.487435 26.957913
3.905000 27.016338 27.451074 27.810710 27.835474 28.239309 28.728727
4.145000 28.884471 29.292183 29.668954 29.660240 29.997806 30.516005
4.145000 29.203365 29.717067 30.077784 30.073672 30.448976 30.833650
4.225000 29.377913 30.029275 30.449921 30.435585 30.840985 31.429102
4.505000 31.721198 32.453619 33.206747 33.142080 33.770077 34.353756
