depth(m) lower_95.4(kyr) lower_68.2(kyr) median(kyr) mean(kyr) upper_68.2(kyr) upper_95.4(kyr)
0.015000 4.658036 5.135004 5.493136 5.481220 5.822971 6.235422
0.095000 6.241461 6.625724 6.936676 6.930449 7.230985 7.590113
0.255000 8.548897 9.037601 9.420479 9.427872 9.823175 10.344451
0.355000 9.848022 10.460409 10.932745 10.943244 11.424838 12.112856
0.455000 9.662115 10.196740 10.603747 10.613681 11.033755 11.639876
0.555000 10.744402 11.340144 11.779890 11.770910 12.244917 12.629522
0.655000 12.642750 13.048722 13.374138 13.415917 13.780857 14.499484
0.755000 13.967470 14.677826 15.312894 15.285551 15.842232 16.503443
0.835000 15.827106 16.412909 16.837803 16.829006 17.248399 17.800320
0.875000 16.126540 16.771589 17.233669 17.223901 17.690588 18.179058
0.995000 17.093023 17.679767 18.103509 18.092051 18.513264 18.999217
1.145000 18.258964 18.820070 19.271850 19.284376 19.767602 20.361453
1.305000 19.508200 20.094130 20.567778 20.569428 21.044258 21.647348
1.545000 22.186545 22.840721 23.325198 23.320949 23.792861 24.505620
1.655000 23.493288 24.247222 24.853682 24.833569 25.421400 26.064690
1.665000 24.309174 24.939101 25.409791 25.394246 25.827387 26.459030
1.755000 23.424304 24.186148 24.777543 24.758565 25.351187 25.965981
1.765000 24.315846 24.949867 25.389901 25.367609 25.762131 26.349759
1.995000 26.808063 27.404244 27.858624 27.881920 28.372284 28.969879
2.255000 28.089523 28.989163 29.611797 29.598397 30.224592 30.947747
2.525000 30.906492 31.820437 32.740473 32.736909 33.638162 34.612356
