depth(m) lower_95.4(kyr) lower_68.2(kyr) median(kyr) mean(kyr) upper_68.2(kyr) upper_95.4(kyr)
0.015000 0.003615 0.040729 0.174574 0.196874 0.360698 0.450927
0.056667 0.107480 0.219763 0.384132 0.392786 0.584769 0.682019
0.098333 0.317184 0.396380 0.584723 0.583329 0.757900 0.932381
0.140000 0.523929 0.604024 0.778340 0.787808 0.938739 1.279441
0.160000 0.593756 0.684964 0.879521 0.882663 1.010345 1.390541
0.197500 0.730184 0.842072 1.057927 1.060228 1.224781 1.541174
0.235000 0.830179 1.015645 1.241877 1.233638 1.400725 1.726647
0.240000 0.877963 1.037894 1.275087 1.266157 1.440861 1.748772
0.280000 1.053864 1.286350 1.540152 1.538976 1.816937 2.068450
0.320000 1.274264 1.497161 1.820090 1.827247 2.108079 2.455165
0.360000 1.516305 1.829518 2.140287 2.128956 2.420495 2.821605
0.390000 1.756160 2.091465 2.361039 2.369202 2.635714 2.996669
0.420000 2.051209 2.313603 2.621912 2.612413 2.877808 3.119727
0.465000 2.368826 2.648721 2.931020 2.935171 3.276782 3.482588
0.480000 2.457461 2.742246 3.022249 3.031655 3.369227 3.673782
0.520000 2.672266 2.968441 3.226545 3.247023 3.554482 3.877142
0.560000 2.895134 3.169509 3.458709 3.468466 3.775246 4.171953
0.600000 3.141634 3.424219 3.710699 3.716238 4.004275 4.425864
0.640000 3.364668 3.623032 3.978649 3.991913 4.345940 4.631868
0.645000 3.388340 3.657788 4.011032 4.032673 4.395223 4.709387
0.682500 3.755298 4.021574 4.457446 4.481186 4.874263 5.203029
0.720000 4.086764 4.504573 5.009127 4.997479 5.499335 5.873684
0.755000 4.388756 4.974482 5.499164 5.508034 6.024802 6.638591
0.790000 5.054485 5.443685 6.101024 6.021220 6.524779 7.088733
0.800000 5.135016 5.590284 6.170972 6.140752 6.651301 7.256541
0.840000 5.729970 6.342718 6.785174 6.802147 7.337765 7.745998
0.887500 6.979044 7.256142 7.707890 7.685844 8.040622 8.489676
0.935000 8.119980 8.251782 8.556647 8.550482 8.821813 9.029253
0.940000 8.156399 8.301296 8.601451 8.603857 8.879841 9.099057
0.980000 8.740660 9.063926 9.393576 9.377249 9.701516 9.971112
1.000000 8.922664 9.360045 9.666158 9.651202 9.957098 10.197372
1.020000 9.286948 9.534403 9.976482 9.933180 10.234002 10.590628
1.040000 9.520771 9.907161 10.249766 10.228056 10.519991 10.822690
1.060000 9.824133 10.131053 10.528948 10.493177 10.829964 11.141922
1.095000 10.617727 10.881203 11.180538 11.152643 11.389472 11.556802
1.100000 10.671982 10.940433 11.223350 11.203175 11.438221 11.601311
1.120000 10.956886 11.164516 11.432890 11.401152 11.628275 11.775208
1.130000 11.041272 11.252778 11.506116 11.487525 11.711123 11.829154
1.140000 11.092345 11.348109 11.592394 11.563759 11.766362 11.919916
1.145000 11.127951 11.374587 11.627606 11.599735 11.789947 11.996322
1.160000 11.336567 11.494991 11.686473 11.692481 11.902992 12.074956
1.180000 11.486267 11.630760 11.794935 11.811867 11.984279 12.194933
1.200000 11.631382 11.784500 11.909890 11.932446 12.085753 12.318823
1.215000 11.729578 11.851924 12.026451 12.023609 12.178569 12.381996
1.220000 11.751677 11.877106 12.064211 12.053699 12.213964 12.400624
1.255000 11.945170 12.070319 12.243862 12.242613 12.414979 12.650479
1.260000 11.970990 12.094396 12.278803 12.272052 12.443207 12.669759
1.300000 12.105688 12.317962 12.476944 12.493995 12.706886 12.882199
1.315000 12.245121 12.409923 12.579740 12.593040 12.823668 12.965416
1.320000 12.267830 12.430454 12.612461 12.624999 12.868887 12.990257
1.340000 12.392818 12.569281 12.748166 12.771833 13.005615 13.185966
1.360000 12.488571 12.703113 12.899872 12.923876 13.154431 13.471570
1.380000 12.610179 12.843488 13.055149 13.070572 13.300366 13.623265
1.400000 12.729762 12.974688 13.201411 13.229795 13.506589 13.820789
1.430000 12.899929 13.150168 13.444652 13.459782 13.815133 14.033056
1.460000 13.121462 13.324329 13.668990 13.687690 14.055027 14.250654
1.480000 13.237737 13.498319 13.858739 13.842679 14.197729 14.414653
1.500000 13.353787 13.660123 14.052265 14.003607 14.300478 14.526417
1.540000 13.916308 14.122330 14.412625 14.390429 14.612196 14.815540
1.545000 13.944323 14.152250 14.457926 14.430127 14.648611 14.826271
1.560000 13.993352 14.248834 14.555932 14.526653 14.737532 14.909286
1.590000 14.263921 14.490223 14.708089 14.699550 14.898327 15.028664
1.620000 14.441107 14.677353 14.871934 14.858781 15.033703 15.213815
1.625000 14.468630 14.690705 14.888371 14.882587 15.058345 15.230520
1.660000 14.666751 14.882207 15.060559 15.041313 15.205630 15.376742
1.680000 14.765183 14.979346 15.146468 15.139476 15.307565 15.456384
1.700000 14.819733 15.067680 15.240471 15.231195 15.393888 15.552364
1.730000 14.955679 15.198585 15.397270 15.373564 15.538653 15.717671
1.755000 15.057421 15.281736 15.502614 15.480689 15.660552 15.814096
1.780000 15.200466 15.377907 15.609420 15.590027 15.752879 15.951523
1.820000 15.398489 15.536132 15.795442 15.761326 15.919251 16.082994
1.840000 15.456449 15.633222 15.868195 15.849370 16.013767 16.157884
1.860000 15.528525 15.701150 15.963815 15.934776 16.112265 16.274328
1.865000 15.554903 15.726014 15.982062 15.955968 16.135299 16.294092
1.900000 15.743092 15.856522 16.124039 16.097261 16.259018 16.439664
1.940000 15.865228 16.047474 16.271788 16.244504 16.420568 16.596093
1.980000 15.980987 16.194264 16.405642 16.391086 16.588612 16.730849
2.015000 16.053897 16.313511 16.564943 16.531973 16.723033 16.899471
2.020000 16.083591 16.332632 16.586203 16.555327 16.746874 16.917980
2.060000 16.220904 16.513588 16.750054 16.720112 16.909863 17.065440
2.100000 16.407332 16.683382 16.905947 16.879891 17.109955 17.275538
2.140000 16.588956 16.794321 17.030289 17.039795 17.285158 17.490061
2.180000 16.770667 16.935499 17.156613 17.182216 17.436517 17.646799
2.220000 16.924438 17.083277 17.275735 17.327363 17.597882 17.736786
2.260000 17.100700 17.250156 17.435396 17.492949 17.772222 17.905376
2.265000 17.121291 17.273721 17.465506 17.515708 17.787904 17.929513
2.300000 17.226078 17.413445 17.585712 17.658435 17.920573 18.066688
2.315000 17.287959 17.487742 17.648706 17.726506 17.999474 18.132652
2.340000 17.439829 17.611617 17.794869 17.842680 18.120941 18.227270
2.372500 17.610706 17.760455 17.939744 17.984909 18.241914 18.386998
2.405000 17.752393 17.909700 18.100819 18.132185 18.386589 18.520440
2.420000 17.847858 17.981668 18.199226 18.206415 18.473212 18.605839
2.440000 17.933976 18.094464 18.322659 18.309001 18.535226 18.726078
2.465000 18.066305 18.231672 18.450770 18.442857 18.683749 18.870094
2.480000 18.130170 18.308403 18.510516 18.517247 18.761280 18.912607
2.500000 18.228656 18.383594 18.612939 18.611265 18.838710 18.995279
2.520000 18.299997 18.474237 18.699586 18.711707 18.952227 19.099760
2.565000 18.509737 18.719388 18.916599 18.933713 19.159284 19.343641
2.592500 18.639779 18.865073 19.048435 19.076792 19.295626 19.529851
2.620000 18.802415 18.988929 19.210308 19.218359 19.438872 19.688899
2.640000 18.916069 19.087541 19.322101 19.327525 19.547530 19.820588
2.660000 19.009185 19.209064 19.431614 19.447004 19.685202 19.965194
2.701667 19.244345 19.455176 19.628292 19.664012 19.890105 20.177734
2.743333 19.476538 19.608648 19.860290 19.879460 20.107060 20.391463
2.785000 19.681904 19.852918 20.065077 20.094102 20.351341 20.576568
2.822500 19.851649 20.027919 20.228472 20.271358 20.562211 20.755529
2.860000 20.031444 20.222267 20.417561 20.457651 20.731123 20.959124
2.865000 20.055241 20.254158 20.439372 20.484512 20.753702 20.984153
2.900000 20.264989 20.442471 20.624697 20.668386 20.968385 21.084906
2.940000 20.426065 20.649424 20.891302 20.890315 21.150435 21.288261
2.980000 20.688325 20.867638 21.096986 21.098992 21.347282 21.472430
3.020000 20.900089 21.078242 21.318855 21.312853 21.524077 21.686981
3.060000 21.165485 21.291680 21.543897 21.544579 21.745148 21.952880
3.065000 21.194269 21.318767 21.580784 21.573140 21.777272 21.978294
3.100000 21.361048 21.595979 21.783824 21.780354 21.998895 22.211463
3.120000 21.477293 21.747576 21.912940 21.911363 22.118175 22.320471
3.140000 21.592365 21.897493 22.022309 22.039210 22.221128 22.476184
3.145000 21.616540 21.936099 22.062327 22.075320 22.256057 22.511673
3.180000 21.805816 22.071925 22.306954 22.296020 22.508875 22.868357
3.220000 21.958663 22.276687 22.548901 22.551859 22.817131 23.199568
3.260000 22.191865 22.466477 22.764886 22.778150 23.094477 23.655941
3.300000 22.377862 22.696279 23.007455 23.039195 23.380626 23.948459
3.320000 22.516418 22.793803 23.140696 23.171175 23.505722 24.029473
3.340000 22.738772 22.986102 23.293838 23.326529 23.704418 24.139557
3.360000 22.851334 23.134609 23.473233 23.485244 23.860556 24.292836
3.400000 23.228192 23.447417 23.785354 23.790480 24.101049 24.434220
3.420000 23.404855 23.664474 23.922132 23.945208 24.243353 24.578972
3.440000 23.529260 23.851847 24.096626 24.116282 24.383066 24.728785
3.465000 23.873798 24.072360 24.324349 24.332347 24.569725 24.851252
3.480000 24.002516 24.163847 24.447901 24.449438 24.741142 25.010610
3.500000 24.064767 24.311052 24.567978 24.593649 24.887809 25.142673
3.520000 24.228762 24.450775 24.721511 24.745152 25.027299 25.361567
3.540000 24.333790 24.593620 24.847977 24.894661 25.195772 25.573209
3.580000 24.493725 24.850551 25.172313 25.172133 25.488219 25.902222
3.620000 24.794067 25.141790 25.484258 25.501352 25.829805 26.320941
3.660000 25.102603 25.434144 25.809635 25.815970 26.197995 26.658862
3.700000 25.520894 25.860123 26.111261 26.153927 26.502606 26.985068
3.705000 25.559081 25.896312 26.173358 26.195030 26.530214 27.029347
3.720000 25.685142 25.984039 26.319882 26.327324 26.701181 27.142144
3.750000 25.912852 26.223835 26.570332 26.585475 26.905190 27.351343
3.780000 26.176461 26.499057 26.817934 26.832279 27.210005 27.527174
3.810000 26.354120 26.747455 27.119546 27.087125 27.425439 27.716564
3.840000 26.649083 27.015029 27.371520 27.341058 27.666685 27.967438
3.860000 26.808998 27.168702 27.527896 27.516387 27.840096 28.128572
3.880000 27.041224 27.324092 27.710239 27.689167 28.034619 28.295769
3.900000 27.204789 27.550013 27.877428 27.874484 28.211184 28.422306
3.905000 27.246347 27.576634 27.914539 27.918366 28.256009 28.485436
3.940000 27.508881 27.831231 28.230523 28.214008 28.558057 28.818789
3.980000 27.731184 28.188099 28.637026 28.591648 28.950942 29.328524
4.020000 28.081050 28.536921 28.980428 28.932844 29.339550 29.631832
4.060000 28.339899 28.963249 29.256049 29.262804 29.600637 29.860774
4.100000 28.810023 29.313982 29.585706 29.559264 29.832537 30.049022
4.140000 29.411973 29.670455 29.888849 29.873933 30.080706 30.198689
4.145000 29.462374 29.700245 29.935041 29.914959 30.114376 30.241600
4.160000 29.571760 29.821459 30.047415 30.032201 30.259035 30.434203
4.200000 29.775268 30.072852 30.363837 30.325961 30.547865 30.809361
4.225000 29.885448 30.276568 30.546095 30.528883 30.803987 31.004461
4.240000 29.948388 30.348900 30.647829 30.649850 30.972725 31.177021
4.270000 30.083033 30.555396 30.900262 30.899105 31.253765 31.582110
4.300000 30.284617 30.765362 31.171521 31.170380 31.600025 32.012414
4.340000 30.509700 31.005792 31.517315 31.522284 32.012809 32.430395
4.380000 30.794076 31.315346 31.855439 31.840827 32.354861 32.813837
4.420000 31.208000 31.611097 32.315216 32.185886 32.627389 33.116159
4.460000 31.620443 31.983993 32.622035 32.566498 33.027622 33.618983
4.480000 31.733883 32.095564 32.817285 32.733473 33.258885 33.747808
4.500000 31.852237 32.309511 32.954367 32.899057 33.418106 33.839667
4.505000 31.873228 32.342776 32.993208 32.935047 33.446113 33.877082
4.520000 32.017903 32.469390 33.074852 33.048704 33.575889 33.968780
4.550000 32.223148 32.761595 33.269366 33.253351 33.843449 34.155727
4.580000 32.474286 32.950269 33.451866 33.468287 34.035249 34.380209
4.620000 32.836384 33.276451 33.706308 33.767628 34.326234 34.788233
4.660000 33.126624 33.565537 34.000190 34.042171 34.546184 35.022000
