depth(m) lower_95.4(kyr) lower_68.2(kyr) median(kyr) mean(kyr) upper_68.2(kyr) upper_95.4(kyr)
0.015000 5.074218 5.402990 5.623200 5.652258 5.940060 6.190366
0.020000 5.116504 5.486808 5.741087 5.732134 6.011581 6.205541
0.050000 5.515877 5.907413 6.227577 6.183649 6.459562 6.724351
0.095000 6.353363 6.629945 6.925353 6.899254 7.114109 7.449973
0.120000 6.661667 6.972877 7.306534 7.338119 7.676184 8.247785
0.150000 7.104241 7.476856 7.829234 7.839156 8.195293 8.563257
0.180000 7.488819 7.913426 8.295415 8.316545 8.766728 9.215682
0.215000 8.024946 8.439824 8.786668 8.835550 9.195608 9.603817
0.250000 8.670400 9.036912 9.344590 9.332060 9.660692 10.027755
0.255000 8.732858 9.110094 9.394228 9.402324 9.738736 10.114542
0.280000 9.029664 9.389777 9.694906 9.700479 9.992502 10.342269
0.317500 9.452846 9.839218 10.160435 10.127046 10.464531 10.736566
0.355000 9.849418 10.233451 10.528115 10.516082 10.827374 11.099377
0.380000 10.091473 10.406319 10.726335 10.724659 11.044180 11.309933
0.420000 10.502654 10.773273 11.060626 11.050842 11.333277 11.637773
0.450000 10.665458 11.006332 11.293966 11.285458 11.557597 11.835957
0.455000 10.707008 11.031604 11.365830 11.328690 11.603214 11.879727
0.480000 11.018003 11.313904 11.603710 11.559431 11.825223 12.079339
0.520000 11.350486 11.618659 11.942871 11.920842 12.187400 12.356884
0.550000 11.646763 11.955884 12.213109 12.203507 12.457669 12.718131
0.555000 11.737688 12.022669 12.261708 12.265667 12.504322 12.842995
0.580000 12.004607 12.332135 12.600839 12.624455 12.997958 13.305292
0.620000 12.552770 12.815565 13.127458 13.164679 13.530013 13.955067
0.650000 12.962634 13.227729 13.555728 13.601501 14.032885 14.432362
0.655000 13.036336 13.294119 13.641200 13.676393 14.110063 14.485268
0.680000 13.277818 13.645233 14.100796 14.127177 14.627062 14.925922
0.720000 13.934745 14.447249 14.880401 14.878265 15.276538 15.759240
0.750000 14.369409 14.967933 15.356422 15.333664 15.704530 16.055512
0.755000 14.466576 15.061276 15.433306 15.410398 15.769568 16.146615
0.780000 15.198630 15.614581 15.881323 15.873543 16.159827 16.443904
0.820000 15.950478 16.253645 16.471407 16.475000 16.738976 16.951202
0.835000 16.078800 16.426278 16.703310 16.663463 16.927492 17.086079
0.850000 16.332856 16.553301 16.844023 16.831024 17.106509 17.380350
0.875000 16.514018 16.807203 17.027827 17.041183 17.275915 17.577479
0.880000 16.537731 16.837050 17.090972 17.083479 17.306934 17.620011
0.920000 16.744404 17.175270 17.389491 17.390431 17.631625 17.869512
0.950000 16.935337 17.398195 17.613694 17.629450 17.889829 18.114562
0.980000 17.232735 17.639052 17.860514 17.883130 18.132442 18.397841
0.995000 17.348554 17.781724 17.991461 18.007470 18.257881 18.533802
1.020000 17.723992 18.024273 18.185393 18.220803 18.487006 18.734399
1.050000 18.006919 18.266914 18.438672 18.463077 18.741179 18.958790
1.080000 18.236117 18.485496 18.687426 18.709285 18.984522 19.181777
1.120000 18.581574 18.747225 19.012724 19.032585 19.292779 19.596274
1.145000 18.806537 18.951873 19.239059 19.232605 19.479543 19.771008
