age(kyr) mean(permil) sigma(permil)
0.000000 3.179715 0.114955
0.100000 3.176456 0.111088
0.200000 3.173257 0.107468
0.300000 3.170119 0.104116
0.400000 3.167045 0.101047
0.500000 3.164037 0.098277
0.600000 3.161099 0.095817
0.700000 3.158239 0.093672
0.800000 3.155468 0.091842
0.900000 3.152806 0.090314
1.000000 3.150279 0.089069
1.100000 3.147918 0.088079
1.200000 3.145753 0.087314
1.300000 3.143808 0.086741
1.400000 3.142096 0.086330
1.500000 3.140620 0.086051
1.600000 3.139373 0.085879
1.700000 3.138345 0.085792
1.800000 3.137523 0.085775
1.900000 3.136901 0.085813
2.000000 3.136468 0.085896
2.100000 3.136220 0.086019
2.200000 3.136148 0.086177
2.300000 3.136244 0.086369
2.400000 3.136499 0.086594
2.500000 3.136904 0.086852
2.600000 3.137449 0.087145
2.700000 3.138127 0.087474
2.800000 3.138931 0.087842
2.900000 3.139855 0.088253
3.000000 3.140898 0.088709
3.100000 3.142065 0.089215
3.200000 3.143364 0.089771
3.300000 3.144813 0.090379
3.400000 3.146432 0.091039
3.500000 3.148247 0.091748
3.600000 3.150287 0.092503
3.700000 3.152580 0.093302
3.800000 3.155159 0.094139
3.900000 3.158055 0.095009
4.000000 3.161296 0.095907
4.100000 3.164906 0.096826
4.200000 3.168902 0.097762
4.300000 3.173296 0.098707
4.400000 3.178093 0.099655
4.500000 3.183295 0.100602
4.600000 3.188897 0.101545
4.700000 3.194892 0.102481
4.800000 3.201267 0.103409
4.900000 3.208005 0.104333
5.000000 3.215083 0.105255
5.100000 3.222475 0.106180
5.200000 3.230154 0.107116
5.300000 3.238089 0.108070
5.400000 3.246247 0.109055
5.500000 3.254594 0.110079
5.600000 3.263099 0.111156
5.700000 3.271731 0.112297
5.800000 3.280463 0.113513
5.900000 3.289271 0.114813
6.000000 3.298135 0.116205
6.100000 3.307036 0.117694
6.200000 3.315961 0.119285
6.300000 3.324897 0.120980
6.400000 3.333832 0.122780
6.500000 3.342755 0.124685
6.600000 3.351652 0.126694
6.700000 3.360505 0.128805
6.800000 3.369295 0.131018
6.900000 3.377999 0.133334
7.000000 3.386594 0.135754
7.100000 3.395057 0.138280
7.200000 3.403366 0.140918
7.300000 3.411502 0.143672
7.400000 3.419450 0.146548
7.500000 3.427200 0.149552
7.600000 3.434745 0.152690
7.700000 3.442083 0.155967
7.800000 3.449215 0.159388
7.900000 3.456147 0.162953
8.000000 3.462887 0.166664
8.100000 3.469445 0.170523
8.200000 3.475835 0.174528
8.300000 3.482072 0.178678
8.400000 3.488173 0.182967
8.500000 3.494162 0.187380
8.600000 3.500064 0.191896
8.700000 3.505909 0.196483
8.800000 3.511732 0.201107
8.900000 3.517571 0.205745
9.000000 3.523467 0.210393
9.100000 3.529467 0.215075
9.200000 3.535619 0.219828
9.300000 3.541971 0.224668
9.400000 3.548573 0.229576
9.500000 3.555469 0.234519
9.600000 3.562704 0.239475
9.700000 3.570316 0.244450
9.800000 3.578339 0.249488
9.900000 3.586801 0.254686
10.000000 3.595724 0.260182
10.100000 3.605119 0.266065
10.200000 3.614993 0.272303
10.300000 3.625343 0.278748
10.400000 3.636158 0.285267
10.500000 3.647423 0.291784
10.600000 3.659121 0.298212
10.700000 3.671229 0.304401
10.800000 3.683726 0.310134
10.900000 3.696587 0.315193
11.000000 3.709793 0.319437
11.100000 3.723325 0.322752
11.200000 3.737167 0.324954
11.300000 3.751307 0.325853
11.400000 3.765736 0.325435
11.500000 3.780444 0.323783
11.600000 3.795424 0.320929
11.700000 3.810666 0.316983
11.800000 3.826160 0.312228
11.900000 3.841890 0.306913
12.000000 3.857839 0.301298
12.100000 3.873989 0.295772
12.200000 3.890317 0.290693
12.300000 3.906803 0.286158
12.400000 3.923427 0.282042
12.500000 3.940170 0.278300
12.600000 3.957017 0.275218
12.700000 3.973956 0.273088
12.800000 3.990978 0.272016
12.900000 4.008079 0.272056
13.000000 4.025257 0.273207
13.100000 4.042518 0.275350
13.200000 4.059870 0.278294
13.300000 4.077325 0.281819
13.400000 4.094904 0.285631
13.500000 4.112628 0.289422
13.600000 4.130524 0.292961
13.700000 4.148620 0.296077
13.800000 4.166943 0.298613
13.900000 4.185521 0.300432
