depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.015000 0.014699 0.084781 0.242770 0.272694 0.443381 0.726477
0.235000 0.469212 0.731446 0.974326 0.987857 1.235918 1.626271
0.465000 2.544914 2.947019 3.263028 3.267052 3.581171 4.013716
0.645000 3.038533 3.450819 3.771915 3.781419 4.124548 4.538687
0.935000 7.865820 8.196158 8.476592 8.495399 8.802660 9.190709
1.095000 10.618260 11.080407 11.431948 11.437105 11.804083 12.294952
1.145000 10.966081 11.390422 11.760845 11.761966 12.153169 12.491883
1.215000 11.263741 11.672745 12.057208 12.034996 12.396550 12.680339
1.255000 11.319806 11.768962 12.149043 12.118965 12.463356 12.750871
1.315000 11.546878 12.061151 12.448245 12.396539 12.697515 13.045936
1.545000 13.737353 14.181010 14.623554 14.613267 15.027246 15.492374
1.625000 14.003040 14.445782 14.887431 14.859619 15.239512 15.667791
1.730000 15.028522 15.534106 15.939265 15.925828 16.319524 16.775125
1.865000 15.110225 15.596754 15.971382 15.966122 16.337634 16.799305
2.015000 15.589069 16.010168 16.347056 16.344069 16.681431 17.057561
2.265000 16.532384 17.036139 17.401372 17.395064 17.770082 18.154801
2.315000 16.794055 17.174979 17.491948 17.489079 17.803902 18.146668
2.405000 17.166209 17.546262 17.880873 17.866143 18.159476 18.538540
2.465000 17.956952 18.342762 18.673223 18.680740 19.010268 19.472768
2.565000 18.061866 18.396836 18.705579 18.704097 18.989982 19.396350
2.785000 19.699719 20.196401 20.564549 20.567297 20.930062 21.432408
2.865000 19.529295 19.916315 20.223015 20.221592 20.521371 20.896491
3.065000 20.733201 21.107189 21.457616 21.448194 21.781541 22.117096
3.145000 21.314320 21.888694 22.240892 22.229725 22.592790 22.979362
3.465000 23.599043 24.038943 24.435209 24.440105 24.835849 25.322802
3.465000 23.487724 23.963627 24.329624 24.339239 24.737248 25.159336
3.705000 25.211471 25.724534 26.076113 26.090954 26.487508 26.957439
3.905000 27.067572 27.463523 27.811795 27.838224 28.229671 28.704467
4.145000 28.865714 29.296906 29.666942 29.653770 29.980615 30.472440
4.145000 29.243783 29.730800 30.085067 30.084890 30.464989 30.844662
4.225000 29.309547 30.021892 30.444691 30.428563 30.849927 31.408654
4.505000 31.754217 32.463355 33.214356 33.152930 33.783874 34.325929
