depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.015000 4.680081 5.139335 5.501676 5.484579 5.825387 6.196985
0.095000 6.260161 6.610224 6.939579 6.928889 7.232330 7.576633
0.255000 8.559851 9.028584 9.402479 9.413754 9.808342 10.279327
0.355000 9.879534 10.470361 10.931167 10.944989 11.427230 12.070127
0.455000 9.652730 10.185521 10.603756 10.610097 11.029821 11.610707
0.555000 10.736782 11.335394 11.779581 11.765806 12.233187 12.622510
0.655000 12.636494 13.039022 13.377444 13.413555 13.788693 14.475043
0.755000 13.959729 14.689589 15.327698 15.294187 15.856862 16.495222
0.835000 15.849747 16.410462 16.838983 16.832960 17.261240 17.804818
0.875000 16.195031 16.778240 17.235469 17.230105 17.694343 18.183436
0.995000 17.131604 17.680381 18.104061 18.088305 18.501117 18.951153
1.145000 18.259020 18.833381 19.279534 19.299742 19.782120 20.425735
1.305000 19.545254 20.114490 20.560723 20.570716 21.035868 21.632882
1.545000 22.229139 22.844459 23.325335 23.325322 23.790199 24.471160
1.655000 23.553772 24.252512 24.848934 24.830943 25.398872 26.017320
1.665000 24.301238 24.954013 25.418498 25.400341 25.832346 26.426059
1.755000 23.514422 24.188731 24.770751 24.759193 25.342134 25.893446
1.765000 24.320942 24.961227 25.394160 25.373787 25.773170 26.329271
1.995000 26.832560 27.408943 27.858815 27.875487 28.361944 28.915429
2.255000 28.147984 29.011702 29.616051 29.613907 30.239595 30.921957
2.525000 30.983279 31.811296 32.725180 32.724781 33.632036 34.500687
