depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.015000 0.009938 0.073549 0.192748 0.202368 0.324674 0.460071
0.056667 0.184284 0.264735 0.387230 0.394111 0.525364 0.666001
0.098333 0.358481 0.442455 0.565377 0.577106 0.711028 0.850025
0.140000 0.544253 0.624432 0.750435 0.763431 0.897873 1.069566
0.160000 0.627196 0.713783 0.839420 0.854421 0.987648 1.157719
0.197500 0.775093 0.875856 1.013819 1.022653 1.154309 1.341116
0.235000 0.941415 1.048720 1.195323 1.203993 1.340409 1.549209
0.240000 0.966677 1.079736 1.226418 1.235677 1.373951 1.593249
0.280000 1.170775 1.312390 1.497078 1.531817 1.741756 2.156146
0.320000 1.365398 1.536776 1.807052 1.846411 2.189590 2.505838
0.360000 1.596303 1.814239 2.171972 2.181373 2.560478 2.784926
0.390000 1.792095 2.063896 2.473177 2.439846 2.786430 3.001640
0.420000 2.029857 2.383264 2.723924 2.695883 3.001575 3.194416
0.465000 2.522388 2.819504 3.071860 3.053183 3.270604 3.471300
0.480000 2.619074 2.917895 3.167368 3.150136 3.367775 3.572502
0.520000 2.842612 3.143941 3.394047 3.371066 3.587475 3.803657
0.560000 3.097017 3.363835 3.598946 3.584155 3.795187 4.017691
0.600000 3.332882 3.584321 3.815859 3.809675 4.021334 4.267753
0.640000 3.593624 3.842792 4.048652 4.056280 4.273387 4.590526
0.645000 3.637619 3.875143 4.090029 4.097659 4.318148 4.637517
0.682500 3.943630 4.229457 4.502573 4.546401 4.901176 5.307161
0.720000 4.324674 4.625290 5.006526 5.022338 5.432063 5.873272
0.755000 4.708920 5.071453 5.489163 5.508999 5.957795 6.376875
0.790000 5.111797 5.554296 5.992304 6.013474 6.477994 7.039473
0.800000 5.263171 5.681879 6.116686 6.129390 6.594558 7.109399
0.840000 5.940828 6.339597 6.753633 6.763432 7.191766 7.649481
0.887500 6.908299 7.230013 7.627061 7.632055 8.024120 8.366289
0.935000 8.091862 8.288220 8.490392 8.516517 8.764146 9.028520
0.940000 8.139963 8.339893 8.553343 8.572843 8.820513 9.072183
0.980000 8.742639 9.034389 9.337558 9.336745 9.630697 9.937226
1.000000 9.040570 9.322049 9.614171 9.616427 9.917939 10.252040
1.020000 9.329259 9.592250 9.894343 9.899404 10.204539 10.514896
1.040000 9.663923 9.898096 10.177021 10.192469 10.504263 10.790452
1.060000 9.937458 10.203207 10.461351 10.485502 10.781023 11.072149
1.095000 10.732580 10.970334 11.217707 11.203674 11.431679 11.609877
1.100000 10.791337 11.026209 11.271493 11.257147 11.490464 11.663792
1.120000 11.026881 11.244637 11.477800 11.465784 11.688653 11.794724
1.130000 11.139820 11.340440 11.571043 11.556148 11.766852 11.868089
1.140000 11.223618 11.430689 11.662872 11.637303 11.833120 11.919961
1.145000 11.288805 11.465901 11.703327 11.674628 11.859529 11.947843
1.160000 11.396588 11.572348 11.805377 11.769313 11.935541 12.020443
1.180000 11.513646 11.707950 11.928090 11.885922 12.037840 12.117153
1.200000 11.621915 11.824452 12.038659 11.996899 12.134542 12.226517
1.215000 11.708387 11.915949 12.120960 12.081552 12.215296 12.311870
1.220000 11.748039 11.954415 12.146649 12.110344 12.243151 12.342119
1.255000 11.933191 12.152843 12.313081 12.288812 12.413843 12.501841
1.260000 11.968509 12.184472 12.340860 12.316457 12.441442 12.536377
1.300000 12.207094 12.409473 12.538560 12.527975 12.640916 12.825099
1.315000 12.284553 12.496259 12.620215 12.614785 12.732771 12.936574
1.320000 12.313360 12.520265 12.647400 12.646489 12.765472 12.965394
1.340000 12.436683 12.631779 12.764257 12.781084 12.927988 13.194794
1.360000 12.566528 12.741597 12.897957 12.920611 13.115657 13.403983
1.380000 12.689205 12.853516 13.030241 13.070024 13.291761 13.615841
1.400000 12.808291 12.968769 13.180116 13.218378 13.481153 13.792961
1.430000 12.960332 13.151038 13.415693 13.445134 13.750836 14.068253
1.460000 13.127853 13.352899 13.660409 13.672790 13.995283 14.273618
1.480000 13.263992 13.509802 13.828319 13.828794 14.165557 14.388310
1.500000 13.402098 13.670611 13.991029 13.991104 14.309362 14.526549
1.540000 13.814297 14.057858 14.331160 14.323971 14.586598 14.831031
1.545000 13.859148 14.095054 14.369228 14.360566 14.618334 14.860257
1.560000 13.960791 14.193661 14.482453 14.459830 14.714136 14.944945
1.590000 14.209932 14.387470 14.658217 14.637914 14.865897 15.116683
1.620000 14.376289 14.562891 14.810699 14.804553 15.035306 15.260424
1.625000 14.397996 14.593580 14.836159 14.832086 15.063138 15.288893
1.660000 14.594770 14.773067 14.986719 14.994668 15.224440 15.439930
1.680000 14.698783 14.884609 15.078633 15.090763 15.329090 15.523793
1.700000 14.796035 14.989897 15.164584 15.183804 15.430883 15.608460
1.730000 14.968218 15.135234 15.285334 15.315736 15.558639 15.735116
1.755000 15.083455 15.244006 15.376874 15.419204 15.683037 15.836581
