depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.015000 5.105705 5.388696 5.640063 5.638051 5.881709 6.158407
0.020000 5.194187 5.470617 5.713459 5.713893 5.953840 6.219494
0.050000 5.642212 5.918779 6.182050 6.185595 6.454411 6.727973
0.095000 6.449192 6.673027 6.910672 6.910544 7.160572 7.376605
0.120000 6.764491 7.029250 7.314829 7.330514 7.614351 8.000767
0.150000 7.080117 7.468631 7.801685 7.814613 8.160617 8.588652
0.180000 7.510912 7.921267 8.301663 8.295470 8.673974 9.015766
0.215000 8.101188 8.517141 8.850908 8.842124 9.178963 9.498414
0.250000 8.769935 9.063841 9.359068 9.342117 9.615925 9.870035
0.255000 8.829262 9.132938 9.426225 9.408437 9.669708 9.922988
0.280000 9.120594 9.416154 9.694002 9.680139 9.931532 10.188264
0.317500 9.509577 9.772756 10.031775 10.028217 10.281460 10.556303
0.355000 9.835173 10.116551 10.342371 10.346323 10.574983 10.907180
0.380000 10.021556 10.287275 10.517647 10.525790 10.760106 11.119313
0.420000 10.309280 10.539375 10.781434 10.795980 11.020035 11.412703
0.450000 10.520036 10.783724 10.987714 11.004970 11.224971 11.612679
0.455000 10.563447 10.825772 11.029285 11.046705 11.263933 11.655864
0.480000 10.804759 11.045635 11.247344 11.276171 11.511120 11.874401
0.520000 11.152030 11.384918 11.611859 11.650175 11.946535 12.257336
0.550000 11.419059 11.670235 11.951491 11.970898 12.297389 12.545610
0.555000 11.491189 11.736078 12.029737 12.038016 12.351099 12.612725
0.580000 11.769580 12.070289 12.412721 12.401563 12.705765 13.006580
0.620000 12.319511 12.704417 12.996603 12.997927 13.306080 13.624023
0.650000 12.968255 13.165090 13.447731 13.462360 13.741728 14.051824
0.655000 13.026556 13.253023 13.530740 13.541924 13.826220 14.116930
0.680000 13.379330 13.691653 14.019599 14.032476 14.381631 14.752435
0.720000 14.056993 14.455626 14.840770 14.841910 15.237085 15.588154
0.750000 14.654411 15.062346 15.382946 15.370387 15.678884 15.968052
0.755000 14.735116 15.154160 15.469265 15.453346 15.768105 16.060319
0.780000 15.220509 15.601513 15.937489 15.909235 16.206820 16.458503
0.820000 16.121321 16.332939 16.571428 16.562174 16.783197 16.986913
0.835000 16.374826 16.578736 16.786001 16.775848 16.967607 17.140735
0.850000 16.537966 16.762445 16.966639 16.948685 17.124677 17.304088
0.875000 16.765435 16.999619 17.180739 17.175159 17.353160 17.544485
0.880000 16.819938 17.039107 17.221560 17.217868 17.395877 17.594403
0.920000 17.097045 17.336014 17.516275 17.510734 17.688552 17.887031
0.950000 17.327753 17.550009 17.727935 17.727777 17.907681 18.094930
0.980000 17.554093 17.770992 17.946469 17.949713 18.121826 18.338904
0.995000 17.663772 17.888236 18.059390 18.064299 18.235098 18.450698
1.020000 17.866654 18.074689 18.236573 18.247496 18.422705 18.649236
1.050000 18.066985 18.290120 18.462065 18.469892 18.644899 18.894918
1.080000 18.304615 18.506653 18.671133 18.688075 18.873522 19.143719
1.120000 18.620695 18.788448 18.957920 18.977606 19.164763 19.451280
1.145000 18.810665 18.975724 19.143188 19.167066 19.348195 19.672175
1.150000 18.851810 19.013401 19.179059 19.206308 19.388986 19.706284
