age(kyr) mean(permil) sigma(permil)
0.000000 3.152290 0.144689
0.100000 3.151368 0.140439
0.200000 3.150446 0.136037
0.300000 3.149522 0.131465
0.400000 3.148526 0.126768
0.500000 3.147205 0.122076
0.600000 3.144979 0.117868
0.700000 3.141978 0.114126
0.800000 3.138112 0.111067
0.900000 3.133470 0.109126
1.000000 3.128684 0.107950
1.100000 3.124867 0.107451
1.200000 3.122013 0.107121
1.300000 3.120461 0.106767
1.400000 3.120271 0.106548
1.500000 3.120860 0.106449
1.600000 3.121697 0.106266
1.700000 3.122440 0.105814
1.800000 3.122876 0.105181
1.900000 3.123066 0.104623
2.000000 3.123036 0.104078
2.100000 3.122888 0.103696
2.200000 3.122965 0.103087
2.300000 3.123209 0.102288
2.400000 3.123900 0.101648
2.500000 3.125494 0.101233
2.600000 3.127886 0.100986
2.700000 3.130624 0.100571
2.800000 3.133645 0.099943
2.900000 3.136548 0.099429
3.000000 3.138721 0.099140
3.100000 3.139814 0.099178
3.200000 3.140185 0.099152
3.300000 3.139753 0.099076
3.400000 3.138313 0.099297
3.500000 3.136281 0.099862
3.600000 3.134350 0.100858
3.700000 3.132472 0.101840
3.800000 3.131077 0.102802
3.900000 3.130855 0.104122
4.000000 3.132062 0.105640
4.100000 3.134625 0.107247
4.200000 3.138191 0.108826
4.300000 3.142531 0.110213
4.400000 3.147682 0.111432
4.500000 3.153453 0.112476
4.600000 3.159939 0.113385
4.700000 3.166934 0.114032
4.800000 3.174667 0.114569
4.900000 3.183219 0.114932
5.000000 3.192834 0.115186
5.100000 3.203527 0.115445
5.200000 3.214714 0.115454
5.300000 3.226011 0.115107
5.400000 3.237820 0.114630
5.500000 3.249628 0.114174
5.600000 3.260857 0.113914
5.700000 3.271644 0.113685
5.800000 3.282143 0.113556
5.900000 3.291841 0.113817
6.000000 3.300923 0.114515
6.100000 3.309673 0.115769
6.200000 3.318426 0.117185
6.300000 3.327300 0.118661
6.400000 3.336734 0.120546
6.500000 3.346610 0.122688
6.600000 3.357220 0.124966
6.700000 3.368296 0.127183
6.800000 3.379711 0.129350
6.900000 3.391401 0.131375
7.000000 3.403322 0.133261
7.100000 3.414966 0.135078
7.200000 3.426431 0.136872
7.300000 3.437300 0.138762
7.400000 3.447328 0.141046
7.500000 3.456370 0.143740
7.600000 3.464597 0.146853
7.700000 3.472144 0.150220
7.800000 3.479367 0.153828
7.900000 3.486212 0.157848
8.000000 3.492885 0.162190
8.100000 3.499288 0.166872
8.200000 3.505509 0.171711
8.300000 3.511460 0.176655
8.400000 3.516935 0.181758
8.500000 3.521533 0.187014
8.600000 3.525277 0.192460
8.700000 3.528386 0.197967
8.800000 3.531038 0.203439
8.900000 3.532923 0.208925
9.000000 3.534348 0.214324
9.100000 3.535623 0.219668
9.200000 3.536974 0.224929
9.300000 3.538606 0.230227
9.400000 3.540856 0.235677
9.500000 3.544100 0.241379
9.600000 3.548610 0.247444
9.700000 3.553980 0.253814
9.800000 3.560430 0.260478
9.900000 3.568715 0.267510
10.000000 3.578978 0.274988
10.100000 3.591093 0.282954
10.200000 3.604521 0.291351
10.300000 3.618925 0.300293
10.400000 3.634530 0.309785
10.500000 3.650913 0.319789
10.600000 3.667704 0.330164
10.700000 3.684743 0.340465
10.800000 3.701457 0.349935
10.900000 3.717567 0.357786
11.000000 3.732750 0.363287
11.100000 3.746846 0.365997
11.200000 3.760281 0.365885
11.300000 3.773250 0.363139
11.400000 3.785818 0.358311
11.500000 3.798590 0.352408
11.600000 3.811937 0.346376
11.700000 3.825640 0.340366
11.800000 3.840151 0.334194
11.900000 3.855824 0.327564
12.000000 3.872627 0.320487
12.100000 3.890414 0.313509
12.200000 3.908809 0.306729
12.300000 3.927460 0.299684
12.400000 3.946338 0.292002
12.500000 3.965050 0.283783
12.600000 3.983683 0.275818
12.700000 4.002097 0.269476
12.800000 4.020280 0.265765
12.900000 4.037894 0.265106
13.000000 4.054774 0.267564
13.100000 4.070718 0.273204
13.200000 4.085996 0.281476
13.300000 4.100520 0.291427
13.400000 4.114115 0.301853
13.500000 4.126768 0.311444
13.600000 4.138887 0.319278
13.700000 4.150767 0.324917
13.800000 4.162624 0.328303
13.900000 4.174620 0.329542
14.000000 4.187076 0.328812
14.100000 4.200061 0.326372
14.200000 4.213401 0.322466
14.300000 4.227072 0.317411
14.400000 4.241346 0.311546
14.500000 4.256323 0.305187
14.600000 4.272121 0.298634
14.700000 4.288511 0.291942
14.800000 4.305948 0.284912
14.900000 4.324815 0.277284
15.000000 4.345350 0.268600
15.100000 4.367596 0.258507
15.200000 4.391119 0.246792
15.300000 4.416129 0.233636
15.400000 4.443231 0.219730
15.500000 4.472641 0.205653
15.600000 4.504648 0.192226
15.700000 4.538252 0.179744
15.800000 4.572944 0.168378
15.900000 4.609084 0.157886
16.000000 4.645788 0.148151
16.100000 4.681746 0.139123
16.200000 4.717051 0.131190
16.300000 4.750887 0.124686
16.400000 4.781921 0.120114
16.500000 4.809466 0.117097
16.600000 4.833184 0.115456
16.700000 4.854051 0.114718
16.800000 4.872103 0.114392
16.900000 4.886168 0.114440
17.000000 4.897334 0.114786
17.100000 4.906415 0.115537
17.200000 4.914821 0.116357
17.300000 4.923539 0.117321
17.400000 4.933479 0.118769
17.500000 4.944245 0.120552
17.600000 4.955918 0.122419
17.700000 4.968037 0.123600
17.800000 4.980336 0.123787
17.900000 4.992823 0.123345
18.000000 5.005620 0.122714
18.100000 5.018461 0.122583
18.200000 5.030705 0.122959
18.300000 5.041269 0.123444
18.400000 5.047970 0.123641
18.500000 5.050326 0.123272
