depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.140000 0.603240 0.863274 1.518501 1.520659 2.174513 2.450677
0.160000 0.743707 0.993040 1.667353 1.661119 2.329671 2.587679
0.200000 0.919464 1.243746 1.924008 1.943816 2.616520 3.058407
0.240000 1.109638 1.517892 2.214378 2.217095 2.851143 3.569795
0.280000 1.319413 1.763765 2.459737 2.493748 3.196264 4.026496
0.320000 1.490791 2.006817 2.709388 2.771613 3.504050 4.459960
0.360000 1.680367 2.229300 2.977456 3.051986 3.854706 4.914321
0.390000 1.863206 2.409409 3.195905 3.273422 4.108244 5.247656
0.420000 2.002091 2.602471 3.416605 3.487622 4.331560 5.582171
0.450000 2.167270 2.772461 3.636085 3.707829 4.617179 5.868019
0.480000 2.338243 2.980178 3.829315 3.938790 4.948055 6.239765
0.520000 2.549603 3.220460 4.095679 4.243829 5.312555 6.698923
0.560000 2.757775 3.455861 4.380095 4.555790 5.654235 7.119538
0.600000 2.963017 3.732498 4.718676 4.880933 6.013403 7.513953
0.640000 3.188988 3.985520 5.083383 5.204429 6.433619 7.830465
0.680000 3.472262 4.211254 5.435898 5.542269 6.782493 8.188330
0.720000 3.700574 4.471357 5.816966 5.880221 7.174582 8.527695
0.755000 3.861935 4.784894 6.142710 6.180451 7.572234 8.799821
0.790000 4.032106 5.081126 6.489758 6.493120 7.929515 9.049470
0.800000 4.126660 5.157448 6.591702 6.581180 8.008839 9.105796
0.840000 4.349440 5.568835 6.989646 6.961592 8.406637 9.356698
0.890000 4.685452 6.051973 7.514888 7.449156 8.867479 9.735241
0.940000 5.070520 6.543562 7.999266 7.940978 9.350354 10.242933
0.980000 5.356573 6.964347 8.440688 8.308908 9.670855 10.608155
1.000000 5.521372 7.159326 8.645569 8.494568 9.848641 10.738171
1.020000 5.669318 7.382576 8.835542 8.677209 10.003321 10.890751
1.040000 5.815094 7.546328 9.001944 8.859766 10.183670 11.089861
1.060000 6.069880 7.715272 9.194006 9.041881 10.346053 11.242581
1.100000 6.445103 8.107184 9.588208 9.439959 10.666271 11.804081
1.120000 6.659145 8.239914 9.790657 9.627855 10.856452 12.024820
1.130000 6.853589 8.346285 9.873993 9.717342 10.934007 12.130852
1.140000 6.966799 8.467078 9.951108 9.810159 11.026309 12.222204
1.160000 7.194124 8.732245 10.127836 10.003707 11.193337 12.399601
1.180000 7.456958 8.973445 10.300066 10.196544 11.392413 12.536261
1.200000 7.688005 9.228836 10.469805 10.387905 11.567083 12.716237
1.220000 7.956745 9.452619 10.636575 10.579009 11.753784 12.908293
1.260000 8.670553 9.977076 10.979370 11.004786 12.179337 13.391389
1.300000 9.375946 10.480496 11.353314 11.454394 12.533198 13.789103
1.320000 9.645139 10.686826 11.506889 11.646650 12.729718 13.931072
1.340000 9.803638 10.891947 11.696203 11.829903 12.917913 14.089677
1.360000 10.021098 11.082277 11.854171 12.016731 13.126509 14.250513
1.380000 10.219630 11.261688 12.041571 12.192346 13.314028 14.403581
1.400000 10.503149 11.404262 12.240372 12.365558 13.478375 14.509435
1.430000 10.808406 11.621024 12.519715 12.620181 13.774254 14.711990
1.460000 11.061305 11.813866 12.781511 12.860761 14.056295 14.947460
1.480000 11.291755 11.987637 12.954222 13.025530 14.207514 15.054494
1.500000 11.458240 12.146057 13.118857 13.190751 14.342675 15.157688
1.540000 11.790238 12.507413 13.488620 13.534841 14.652844 15.400552
1.560000 11.965735 12.702740 13.648355 13.703021 14.831202 15.503836
1.590000 12.233537 12.958581 13.894581 13.958070 15.076271 15.653153
1.620000 12.451278 13.259164 14.156482 14.200050 15.292947 15.815635
1.660000 12.697214 13.614911 14.513260 14.532892 15.541476 16.015165
1.680000 12.861131 13.822540 14.689119 14.697859 15.717526 16.126818
1.700000 12.969796 13.989690 14.856335 14.859938 15.865757 16.233881
