depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.020000 4.275369 5.906746 7.287426 7.307524 8.835267 10.116655
0.050000 4.735945 6.286196 7.653149 7.665508 9.065242 10.377361
0.085000 5.234579 6.737951 8.089348 8.099137 9.453633 10.743561
0.120000 5.737835 7.197088 8.564651 8.550271 9.886311 11.166691
0.150000 6.377086 7.633186 8.949876 8.943364 10.221659 11.524837
0.180000 6.764446 8.101899 9.343212 9.340120 10.605960 11.875554
0.215000 7.521452 8.671373 9.775987 9.814363 11.005571 12.300214
0.250000 7.971203 9.304579 10.261552 10.309679 11.437180 12.593541
0.280000 8.440504 9.741599 10.674856 10.708477 11.787387 12.856313
0.330000 9.388274 10.505413 11.444080 11.449624 12.392509 13.398877
0.380000 10.671762 11.354111 12.180728 12.197499 13.068614 13.900085
0.420000 11.307782 12.048594 12.833448 12.844554 13.682355 14.418591
0.450000 11.743116 12.607872 13.273149 13.283119 14.039030 14.738229
0.480000 12.175374 13.007252 13.721162 13.706990 14.422713 15.124050
0.520000 12.867403 13.471316 14.214218 14.224667 14.954742 15.692913
0.550000 13.193679 13.846996 14.548387 14.590974 15.308936 16.079921
0.580000 13.605014 14.227186 14.932893 14.979829 15.742461 16.552299
0.620000 14.045809 14.709530 15.412046 15.492904 16.303762 17.151337
0.650000 14.374259 15.042817 15.819602 15.884671 16.717775 17.627588
0.680000 14.724041 15.371806 16.219831 16.275690 17.083923 18.235477
0.720000 15.117070 15.877207 16.669713 16.783572 17.561498 19.329602
0.750000 15.379738 16.215448 17.048730 17.152125 17.940981 19.926989
0.780000 15.649663 16.513143 17.418306 17.536456 18.462100 20.415200
0.820000 15.978034 16.843521 17.941155 18.081935 19.136196 21.123895
0.850000 16.259242 17.072461 18.338870 18.459337 19.608253 21.609313
0.880000 16.564967 17.367630 18.778201 18.839140 20.066192 22.023596
0.920000 16.894697 17.724219 19.324325 19.334610 20.720416 22.444230
0.950000 17.132029 18.040871 19.701153 19.678190 21.156873 22.660791
0.980000 17.337710 18.288615 20.040922 20.000051 21.583015 22.974867
1.020000 17.524552 18.571206 20.603997 20.418776 22.086746 23.408774
1.050000 17.762843 18.776549 20.920525 20.720717 22.477660 23.652289
1.080000 17.973930 19.002652 21.225500 21.015122 22.857802 23.922251
1.120000 18.152036 19.304459 21.639829 21.400752 23.314957 24.175542
1.150000 18.319983 19.522127 21.942370 21.682808 23.608636 24.468341
1.180000 18.486153 19.752169 22.273016 21.954973 23.911353 24.713395
1.220000 18.774893 20.031286 22.650490 22.295833 24.249302 25.072765
1.250000 18.959130 20.226690 22.971964 22.559495 24.494347 25.353864
1.280000 19.168619 20.470960 23.232575 22.820504 24.714894 25.591595
1.320000 19.424278 20.717755 23.643382 23.157266 25.014417 25.912807
1.350000 19.628777 20.960690 23.958992 23.400648 25.218757 26.243306
1.380000 19.905627 21.142642 24.268586 23.635210 25.422460 26.446369
1.420000 20.142413 21.478225 24.636360 23.937653 25.654477 26.697625
1.450000 20.389200 21.727700 24.912719 24.161275 25.856557 27.018708
1.480000 20.603755 21.975152 25.164469 24.378584 26.047007 27.189309
1.520000 20.896301 22.298416 25.476315 24.664285 26.260047 27.454056
1.550000 21.143447 22.534676 25.644569 24.876052 26.432024 27.699095
1.580000 21.326062 22.817637 25.855946 25.093392 26.610318 27.905515
1.620000 21.700245 23.179830 26.127606 25.380565 26.836225 28.174081
1.650000 21.904946 23.384265 26.302100 25.593527 27.047873 28.390536
1.680000 22.091501 23.590136 26.488562 25.803140 27.240734 28.624416
1.720000 22.325872 23.934194 26.728483 26.080294 27.498647 28.933200
1.750000 22.504284 24.138738 26.889094 26.291285 27.695824 29.217412
1.780000 22.770388 24.387318 27.067395 26.499088 27.898545 29.451994
1.820000 23.062817 24.726065 27.322675 26.778707 28.168764 29.720261
1.850000 23.288048 25.012629 27.496522 26.987607 28.356463 29.929851
1.880000 23.484922 25.388119 27.676360 27.197525 28.534176 30.156369
1.920000 23.783066 25.696463 27.907547 27.476313 28.784424 30.384645
1.950000 23.987261 25.940512 28.072712 27.685727 28.980524 30.539519
1.980000 24.165916 26.171734 28.252613 27.899957 29.207787 30.821998
2.020000 24.627331 26.544650 28.463753 28.186895 29.513109 31.128872
2.050000 24.807996 26.829196 28.639091 28.410368 29.765371 31.326159
2.080000 25.152397 27.100603 28.825820 28.630379 30.019876 31.492618
2.120000 25.532267 27.536598 29.052462 28.920617 30.291927 31.737031
2.150000 25.818083 27.890082 29.247455 29.140659 30.542520 31.967389
2.180000 26.079009 28.193755 29.420587 29.363672 30.777721 32.109260
2.220000 26.381083 28.487182 29.678056 29.653672 31.151083 32.358108
2.250000 26.640750 28.694290 29.860941 29.870532 31.408422 32.531368
2.280000 26.875620 28.947654 30.031063 30.088788 31.628637 32.702234
2.320000 27.251251 29.240860 30.312059 30.378855 31.944016 32.938586
2.350000 27.557640 29.517364 30.489727 30.602342 32.155547 33.109880
2.380000 27.784605 29.796628 30.710839 30.826082 32.327123 33.278787
2.420000 28.243155 30.114563 31.001298 31.129828 32.606963 33.566277
2.450000 28.567448 30.310494 31.237056 31.361612 32.825921 33.873420
2.480000 28.834083 30.548468 31.456543 31.599072 33.043224 34.117835
2.520000 29.123424 30.855534 31.795148 31.920761 33.324245 34.378755
2.550000 29.386134 31.105860 32.046604 32.185265 33.559205 34.616208
2.580000 29.681874 31.330576 32.281702 32.453883 33.826315 34.915387
2.620000 30.044446 31.664235 32.634437 32.820393 34.174927 35.341638
